group,n_seeds,mean_full_objective_mean,mean_full_objective_sd,mean_full_objective_min,mean_full_objective_max,mean_raw_pnl_mean,mean_raw_pnl_sd,mean_raw_pnl_min,mean_raw_pnl_max,loss_rate_mean,loss_rate_sd,loss_rate_min,loss_rate_max,mean_fills_mean,mean_fills_sd,mean_fills_min,mean_fills_max,mean_abs_inventory_mean,mean_abs_inventory_sd,mean_abs_inventory_min,mean_abs_inventory_max,mean_signed_inventory_mean,mean_signed_inventory_sd,mean_signed_inventory_min,mean_signed_inventory_max,mean_terminal_abs_inventory_mean,mean_terminal_abs_inventory_sd,mean_terminal_abs_inventory_min,mean_terminal_abs_inventory_max,action_saturation_rate_mean,action_saturation_rate_sd,action_saturation_rate_min,action_saturation_rate_max,final_log_std_bid_mean,final_log_std_bid_sd,final_log_std_bid_min,final_log_std_bid_max,validation_to_holdout_diff_mean,validation_to_holdout_diff_sd,validation_to_holdout_diff_min,validation_to_holdout_diff_max
A,5,32.32759596634503,2.4109701154280603,29.704019584339242,35.92303385179997,33.28185547657854,2.7759809595569376,29.862628404656405,36.15083560270846,0.199,0.09851395840184272,0.1,0.31,31.166999999999994,9.776356427626808,20.38,41.42,6.209226983068922,4.348365854920672,2.6862437152498857,11.11411938799034,-5.614506412974961,4.879756486136005,-11.105908549633664,-1.416578369551258,9.921000000000001,7.174768637384762,4.31,18.9,0.0,0.0,0.0,0.0,-0.05998683907091614,0.02727800801503388,-0.0815187692642211,-0.0132267866283655,1.3275711179360243,2.440958687991705,-2.9744296401164263,2.9122101763273065
B,5,36.14434869576892,0.6175451021639384,35.340882249386226,36.732631430401256,36.413635886122854,0.6033757736540688,35.56584563912267,36.916001468408616,0.128,0.02413503677229434,0.09,0.155,31.046000000000003,2.2617371642169197,29.105,33.635,3.4523737102151912,0.6030344538232801,2.910741995845905,4.272471710112147,-1.2041853567266472,1.7953232759266784,-3.3689628368631555,0.5447273233689276,5.416,1.044236563236511,4.375,6.555,0.0,0.0,0.0,0.0,-1.5651947736740113,0.041412952636576746,-1.6114099025726318,-1.5197045803070068,-0.8993683004003487,1.9045352116399266,-2.297322331806825,2.3992917006653727
C,5,40.46568547060364,1.120710543775831,38.91421463110394,41.947800867856095,40.71287381721546,1.1105507629748568,39.14674183770644,42.14005455991669,0.101,0.024849547279578353,0.065,0.12,50.902,6.8312723924610115,39.895,56.89,3.4223070891234655,0.5550538577435017,2.9300828835744777,4.279300106613347,-0.8757365398205174,1.8323012652547557,-2.8400503159921326,1.1228305274633086,5.0600000000000005,1.3482998553734251,3.97,6.675,0.0,0.0,0.0,0.0,-0.006737015210092059,0.013652453876629457,-0.0213558822870254,0.0097161522135138,2.1648052947116554,3.221036566995971,-1.130986152061304,6.878453014374578
D,5,41.55204714743413,0.9735733459402963,39.89796140587582,42.33302203124675,41.87230766979208,0.8874671002809875,40.36967469318526,42.56570814671188,0.134,0.019170289512680815,0.12,0.155,63.516000000000005,1.952560498422518,61.19,66.445,4.012801322585688,0.6933178311686415,3.438277614222553,4.9823390394066225,-0.8923556343858948,2.8894768867957463,-4.357490175313455,3.6021441016013345,5.446,1.3534557621141519,4.275,7.265,0.0,0.0,0.0,0.0,-1.5692795991897583,0.011356660465018518,-1.5860264301300049,-1.5573920011520386,6.237183207410605,1.3821618935423883,4.630010420223073,8.091445501429249
