architecture,learner_seed,timestep,path,policy_hash,source
hamilton_ppo,0,700000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed0\ppo_hamilton_ppo_groupB_seed0_t000700000.zip,caa8180cd1aed072dc3ed7cf9f4048f453c19027936aa913deee0813e861d0b5,phase7_reused
hamilton_ppo,0,800000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed0\ppo_hamilton_ppo_groupB_seed0_t000800000.zip,e645165af389e01c94bd61d050d2ca910da769481cd4ca7266d7c85e8ae03cd6,phase7_reused
hamilton_ppo,0,900000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed0\ppo_hamilton_ppo_groupB_seed0_t000900000.zip,7a2bbe91ff081d259634cc0d22d5be34475e9ba4a28f51051e0e9f3be21a4ce1,phase7_reused
hamilton_ppo,0,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed0\ppo_hamilton_ppo_groupB_seed0_t001000000.zip,9a9b4d57c8ea85663696fe858bfb59e073ab0ff6865933130bc15194c02c98fb,phase7_reused
hamilton_ppo,1,16000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000016000.zip,e990742f4234f778eaa8659371e62f5964160201499cb1674f4b1e0fbd9efc8a,phase7_reused
hamilton_ppo,1,32000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000032000.zip,c013d97c699049a79f9f095bac9a27cdba1935aff60c8abc6b9298d090b91512,phase7_reused
hamilton_ppo,1,48000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000048000.zip,ea629fcfbc5c066e3f26b2282480ead6bbcc7f31133ba88a4b51a37af26a2165,phase7_reused
hamilton_ppo,1,64000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000064000.zip,3cbf2f652d4d0f980b5597c8afe7141d4fcd03a8f936ef057cab00cdbdc4f5cf,phase7_reused
hamilton_ppo,1,80000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000080000.zip,7a9b22a0bffb795014d95765ce7089a985651f9e6f2f449a88b107faf450ef8d,phase7_reused
hamilton_ppo,1,96000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000096000.zip,7c9602d2892eb027e3000c33717cdb5441a1bb06de362578551b0087d310c2f2,phase7_reused
hamilton_ppo,1,112000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000112000.zip,3ffa112d854ce380368ffd490cbcdab1010df06e5b940fa6613ffd9d544dec20,phase7_reused
hamilton_ppo,1,128000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000128000.zip,208109cfcdbcc29d81da449b016d2b010995b8f2f058f6ff6a0ff83c2ab8af2c,phase7_reused
hamilton_ppo,1,144000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000144000.zip,a54a81242a2f8c6982c02407fd50e82c7a267b98157945019687d4f368d76519,phase7_reused
hamilton_ppo,1,160000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000160000.zip,d952151056938dbf87759faa66330655a4ea2ba519c6f6ca52b2f907f7160757,phase7_reused
hamilton_ppo,1,176000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000176000.zip,4304d8e03ae25b709a82e11d23c0b78d182fe8c2746081b5d6c6bbee13083d13,phase7_reused
