policy,n,spread_revenue,adverse_selection_loss,carry_jump_pnl,diffusion_pnl,running_penalty,terminal_penalty,full_objective
hamilton_ppo,2500 (5 seeds x 500),52.65378606349155,15.860266049675724,6.3647314706388185,0.003577098509091277,0.4342405312730359,0.12102920000000002,42.60655885169069
return_mlp_ppo,2500 (5 seeds x 500),53.75908538162918,17.94932762425344,11.342688034469685,-0.004497008073980192,1.577372487333718,0.3793124,45.19126389643762
return_lstm_ppo,2500 (5 seeds x 500),53.91579045100171,17.22215559494434,7.700058122060563,-0.0023442202791001034,0.8995882444655734,0.17925560000000001,43.31250491337321
oracle,500 (500),59.96668579739039,17.683683691613222,4.199686695826003,0.003387215941274337,0.17555188664681937,0.033092,46.277432130897644
belief_weighted,500 (500),59.99342746382378,17.736164866386883,4.121230985574703,0.003321716388529085,0.17425830029856154,0.032972,46.17458499910157
frozen_clone,500 (500),59.987165321206525,17.717576552158704,4.24765370959062,0.003243587360356167,0.1739047219497939,0.03283200000000001,46.31374934404902
