evaluation_seed,full_objective,raw_pnl,fills,buy_side_fills,sell_side_fills,total_arrivals,buy_side_arrivals,sell_side_arrivals,fill_to_arrival_ratio,mean_quoted_spread,mean_bid_depth,mean_ask_depth,spread_revenue,spread_revenue_per_fill,adverse_selection_loss,carry_jump_pnl,diffusion_pnl,decomposition_residual,running_penalty,terminal_penalty,mean_abs_inventory,terminal_abs_inventory,mean_signed_inventory,terminal_signed_inventory,max_abs_inventory,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate,episode_duration,n_decision_events,reward_reconciliation_error,path_seed
290000,4.875303018367732,5.715846211089911,71,28,43,289,126,163,0.24567474048442905,1.8747234630751297,0.9765080370410761,0.8982154260340536,60.58661458815297,0.8533325998331404,11.848235495580319,-43.012701902409226,-0.0098309790730935,-4.192202140984591e-13,0.6155431927221791,0.225,6.327586206896552,15.0,6.141379310344828,15.0,15.0,-0.3638619219683268,-0.41486499536954796,0.15873696698859915,0.16720866533493006,0.0,1.0,290,5.329070518200751e-15,290000
290001,39.91441309610011,40.024343163609046,64,29,35,283,141,142,0.22614840989399293,2.0867590197467285,1.052879272655725,1.033879747091003,62.016625936409056,0.9690097802563915,19.019804237644184,-3.0044545925115114,0.03197605735561038,7.105427357601002e-14,0.07393006750893315,0.036000000000000004,2.3098591549295775,6.0,1.5211267605633803,6.0,7.0,-0.31411051266296375,-0.32648759633027197,0.14468933160595637,0.14016800679508318,0.0,1.0,284,0.0,290001
290002,57.74034542006888,58.71202352318164,82,33,49,279,139,140,0.2939068100358423,1.7920250409406122,0.936915664364561,0.8551093765760511,65.94336165783722,0.8041873372906978,8.35927140002926,0.9966577240906094,0.1312755412831566,-8.526512829121202e-14,0.715678103112763,0.256,7.860714285714286,16.0,6.996428571428571,16.0,18.0,-0.3896540454366281,-0.4429460744939362,0.16064904961906665,0.1673215186504661,0.0,1.0,280,4.973799150320701e-14,290002
290003,80.94189272861071,81.02210341663957,59,28,31,287,136,151,0.20557491289198607,2.1401608332848303,1.0565606697887007,1.0836001634961299,57.88813921665951,0.9811549019772798,18.81358451189206,41.90916811788681,0.038380593985048346,2.5579538487363607e-13,0.07121068802885544,0.009000000000000001,2.1840277777777777,3.0,-1.34375,3.0,5.0,-0.3117122969721456,-0.2940976426062544,0.1261624354278828,0.1347186808715759,0.0,1.0,288,4.263256414560601e-14,290003
290004,78.91714615616094,79.28920693529551,62,26,36,269,129,140,0.23048327137546468,2.0059193992124222,1.034438463554943,0.971480935657479,56.71040856631904,0.914684009134178,21.335865801127657,43.926946500791686,-0.01228233068813471,5.826450433232822e-13,0.2720607791345831,0.1,4.303703703703704,10.0,4.303703703703704,10.0,12.0,-0.326123625114415,-0.36713678555462376,0.15285263133867105,0.15582667682211257,0.0,1.0,270,1.4210854715202004e-14,290004
290005,55.13503537181724,55.1624077106203,57,28,29,276,125,151,0.20652173913043478,2.2059249436582142,1.1005790192362657,1.1053459244219483,58.11332190958484,1.0195319633260498,21.216984037393004,18.253171183725165,0.012898654703604328,-3.055333763768431e-13,0.026372338803064135,0.001,1.4007220216606497,1.0,-0.07220216606498195,1.0,4.0,-0.2830369075707952,-0.279931546643949,0.11004779188351173,0.11265149029478316,0.0,1.0,277,0.0,290005
290006,64.45775080901156,64.51049520391598,73,36,37,281,132,149,0.2597864768683274,1.8997881572702735,0.9531815249644486,0.9466066323058249,62.4540089291488,0.8555343688924493,10.036756839811046,12.091200386822292,0.0020427277560112495,-7.105427357601002e-14,0.051744394904418525,0.001,1.7836879432624113,1.0,-0.25177304964539005,1.0,5.0,-0.37905778518372035,-0.3833409445848402,0.1687768999536629,0.15461782679816835,0.0,1.0,282,1.4210854715202004e-14,290006
290007,42.62525843328258,42.69384149563915,64,32,32,298,150,148,0.21476510067114093,2.1247725351095172,1.0832936482360525,1.0414788868734643,62.99240911448849,0.9842563924138826,21.383992738479964,1.05285333865066,0.03257178097984069,1.2789769243681803e-13,0.06858306235656733,0.0,2.0668896321070234,0.0,1.879598662207358,0.0,5.0,-0.2942973194353603,-0.3215371996181704,0.1374597907372877,0.1306670657640559,0.0,1.0,299,7.105427357601002e-15,290007
290008,30.345712919369163,30.46299591168713,84,41,43,268,122,146,0.31343283582089554,1.6456659674473333,0.8284746224720548,0.8171913449752785,62.640235481939946,0.7457170890707137,3.4569069123356218,-28.705251575956996,-0.015081081960601442,4.014566457044566e-13,0.11328299231796726,0.004,2.858736059479554,2.0,1.520446096654275,2.0,8.0,-0.4602970645952605,-0.46764746232720983,0.15494152315374532,0.14402663705992622,0.0,1.0,269,0.0,290008
290009,-24.577180531698975,-23.978415240785125,91,40,51,294,139,155,0.30952380952380953,1.742605434102622,0.9039321015748336,0.8386733325277884,71.1164959420834,0.7814999554075099,10.367217846247373,-84.71419180186801,-0.013501534753923562,7.780442956573097e-13,0.4777652909138509,0.121,5.450847457627119,11.0,5.172881355932203,11.0,12.0,-0.41114091440626005,-0.45365319934565596,0.1553559136771885,0.16450924369180178,0.0,1.0,295,3.552713678800501e-14,290009
