learner_seed,this_run_final_det_mean_objective,phase7_final_det_mean_objective,difference,total_elapsed_seconds
0,28.033166876347085,47.61095,-19.577783123652917,2247.950169324875
1,24.08674860653038,48.785594,-24.69884539346962,2102.9744741916656
2,29.17106847928023,43.019647,-13.84857852071977,2324.1774320602417
3,23.479751719629792,45.999673,-22.51992128037021,1892.1532480716705
4,22.572688288645033,46.462383,-23.88969471135497,1870.8325369358063
