bin_lo,bin_hi,n,mean_predicted,empirical_frequency
0.0,0.05,387340,0.0002866793978970012,0.0002839882273971188
0.05,0.1,6869,0.07602488538806554,0.07468336002329305
0.1,0.15000000000000002,3969,0.12106296755048307,0.1289997480473671
0.15000000000000002,0.2,1905,0.1723316422400417,0.17795275590551182
0.2,0.25,1034,0.22275600792906258,0.22437137330754353
0.25,0.30000000000000004,633,0.2720672647192421,0.2638230647709321
0.30000000000000004,0.35000000000000003,417,0.32469553061075473,0.3117505995203837
0.35000000000000003,0.4,311,0.37514112723223236,0.31189710610932475
0.4,0.45,277,0.4247954061184069,0.41155234657039713
0.45,0.5,247,0.4740324450204405,0.46153846153846156
0.5,0.55,192,0.5242568877646913,0.515625
0.55,0.6000000000000001,173,0.5752259056144822,0.5086705202312138
0.6000000000000001,0.65,153,0.623667857819601,0.6601307189542484
0.65,0.7000000000000001,161,0.67519803639664,0.6273291925465838
0.7000000000000001,0.75,159,0.7243260289055132,0.7484276729559748
0.75,0.8,158,0.7750479443980948,0.7848101265822784
0.8,0.8500000000000001,135,0.827300107773223,0.8148148148148148
0.8500000000000001,0.9,204,0.8768705845398598,0.8725490196078431
0.9,0.9500000000000001,252,0.9261230818097226,0.9087301587301587
0.9500000000000001,1.0,996098,0.9999844711811465,0.9999769099024394
