architecture,learner_seed,metric,n_paths,mean_change_200k_to_1m,sd_change,se_change,normal_ci_lo,normal_ci_hi,normal_ci_contains_zero,bootstrap_ci_lo,bootstrap_ci_hi,bootstrap_ci_contains_zero,win_rate_1m_better
hamilton_ppo,0,full_objective,500,1.7977298315514652,38.23745638917422,1.710031035457544,-1.5538694103910575,5.149329073493988,True,-1.5395641164166056,5.144459401468712,True,0.534
hamilton_ppo,0,fills,500,7.858,3.847524254084897,0.17206651554426006,7.520755826587949,8.195244173412052,False,7.52595,8.198,False,0.974
hamilton_ppo,0,mean_quoted_spread,500,-0.27877352945448014,0.1059630310722197,0.004738810811588113,-0.2880614279747419,-0.2694856309342184,False,-0.2879507502763934,-0.2694518348841372,False,0.0
hamilton_ppo,0,spread_revenue,500,5.223075716518333,4.407384576750104,0.19710423033194743,4.836758523867229,5.609392909169437,False,4.841851188011461,5.60722956856845,False,0.91
hamilton_ppo,0,adverse_selection_loss,500,3.2264935164110478,2.303258103583202,0.10300483378678583,3.024607751955413,3.4283792808666824,False,3.0277959602032127,3.4267435803495494,False,0.96
hamilton_ppo,0,mean_abs_inventory,500,1.2722257683356228,2.2132143458077893,0.09897795452007886,1.0782325422128247,1.466218994458421,False,1.081587835549629,1.4683817903554612,False,0.67
hamilton_ppo,0,running_penalty,500,0.16723598839778578,0.29591468568336904,0.01323370705456994,0.14129839918887505,0.1931735776066965,False,0.1421271382999388,0.1940382397636139,False,0.686
hamilton_ppo,0,terminal_penalty,500,0.052254,0.08424124083437179,0.0037673828202917283,0.04487006535625328,0.059637934643746726,False,0.045043999999999994,0.059994,False,0.668
hamilton_ppo,1,full_objective,500,4.155349723873249,39.74326001494651,1.7773726208173939,0.6717633999635906,7.638936047782907,False,0.6737683524923043,7.636113268427165,False,0.542
hamilton_ppo,1,fills,500,4.944,2.7363917262261115,0.12237515825819158,4.704149097211555,5.1838509027884445,False,4.71,5.18,False,0.956
hamilton_ppo,1,mean_quoted_spread,500,-0.15950203459191584,0.027714938044238444,0.0012394497091822447,-0.16193131138256167,-0.15707275780127,False,-0.16191750273110467,-0.15710854638048677,False,0.0
hamilton_ppo,1,spread_revenue,500,3.0604619525094034,3.2772984172854103,0.14656524087205297,2.773199359014742,3.347724546004065,False,2.770082143252762,3.349986426393928,False,0.862
hamilton_ppo,1,adverse_selection_loss,500,1.4424882601191558,1.6248635401709302,0.0726661065996632,1.3000653082870675,1.584911211951244,False,1.3013115922389102,1.5869537568034566,False,0.85
hamilton_ppo,1,mean_abs_inventory,500,1.955095554920422,2.2780161204050753,0.10187597798132188,1.7554223071872357,2.1547688026536087,False,1.7611972831167362,2.153484210964926,False,0.824
hamilton_ppo,1,running_penalty,500,0.28453817823843225,0.39756412979883343,0.017779608392914825,0.24969078612909312,0.3193855703477714,False,0.2506713859641356,0.32013957616626665,False,0.848
hamilton_ppo,1,terminal_penalty,500,0.079864,0.10172288136494352,0.0045491855519832055,0.07094776015912296,0.08878023984087705,False,0.071152,0.08891254999999999,False,0.804
hamilton_ppo,2,full_objective,500,4.33489454262252,55.450536308055675,2.479823371472654,-0.5254699534845741,9.195259038729613,True,-0.5156793144688665,9.111643923247646,True,0.568
