architecture,learner_seed,n_updates,num_timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,log_std_mean,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,actor_grad_norm_mean,critic_grad_norm_mean,actor_param_update_norm,critic_param_update_norm,frac_sampled_action_clipped,frac_sampled_action_near_bound,log_std_bid,log_std_ask,action_std_bid,action_std_ask,learning_rate,total_loss
hamilton_ppo,0,10,4000,-0.0021294008267570418,49.010526428222654,0.16695864453911782,0.0036727290134876966,0.025374999903142452,0.003063976764678955,0.2219400256872177,2.389352560043335,6.841020584106445,-40.75056457519531,39.81977462768555,2.4763247966766357,6.85152530670166,0.6078403774393439,3.7298931046526973,0.11522920429706573,1.4629791975021362,0.0,0.0,-1.5043936967849731,-1.5063034296035767,0.22215193510055542,0.2217281013727188,0.0003,26.2272891998291
hamilton_ppo,0,20,8000,-0.0008761287968314723,68.77132953643799,0.1743845036625862,0.0024060860741883516,0.009824999957345426,0.017814338207244873,0.22170281410217285,1.5324931144714355,8.306156158447266,-50.8411750793457,48.72303771972656,3.5866196155548096,8.381143569946289,0.6622930303192643,3.552427861696099,0.08639538288116455,1.4697203636169434,0.0,0.0,-1.5112096071243286,-1.501648187637329,0.22064293920993805,0.22276270389556885,0.0003,35.515899658203125
hamilton_ppo,0,30,12000,-0.0019957055874787245,97.20570377349854,0.17193600699305533,0.004598633851855993,0.020374999777413905,0.052948951721191406,0.2223021388053894,2.1076323986053467,9.83724308013916,-84.05552673339844,77.01567077636719,5.810522556304932,10.108499526977539,0.7039389729935861,6.7438319453095845,0.07885316759347916,1.0461331605911255,0.0,0.0,-1.513800859451294,-1.4937355518341064,0.2200719118118286,0.2245323359966278,0.0003,56.30214309692383
hamilton_ppo,0,40,16000,-0.001619560078144282,40.96461627960205,0.17267272531986236,0.002434726804494858,0.011799999899230897,0.09108036756515503,0.22127383947372437,1.8879177570343018,6.3595476150512695,-28.913986206054688,36.43610763549805,8.07362174987793,6.670578479766846,0.6635479844517058,5.000275327579529,0.1193619817495346,1.0176070928573608,0.0,0.0,-1.5197045803070068,-1.49713134765625,0.21877650916576385,0.22377115488052368,0.0003,22.51494598388672
hamilton_ppo,0,50,20000,-0.0012906955731930836,92.24956951141357,0.18051778331398963,0.004466938320547342,0.015974999936297536,0.01965475082397461,0.22087135910987854,3.487985372543335,9.446565628051758,-40.08667755126953,82.0333480834961,11.005221366882324,9.540791511535645,0.6732140221723689,12.35984034160542,0.07245142757892609,1.1444593667984009,0.0,0.0,-1.526197910308838,-1.4944044351577759,0.21736052632331848,0.2243821918964386,0.0003,41.99017333984375
hamilton_ppo,0,60,24000,-0.00045702750469445164,123.87743614196778,0.18072487249970437,0.001981257926672697,0.0016749999672174454,-0.012858986854553223,0.22146297991275787,3.1132700443267822,11.066288948059082,-44.69735336303711,99.4482650756836,14.220703125,10.995817184448242,0.6599317675902807,13.5046264156003,0.08286125212907791,1.124918818473816,0.0,0.0,-1.5238027572631836,-1.4914584159851074,0.21788175404071808,0.22504420578479767,0.0003,78.89704895019531
hamilton_ppo,0,70,28000,-0.0024707854140336182,159.90888427734376,0.17530314296483993,0.0031594322063028812,0.014174999999813736,0.04669421911239624,0.22197043895721436,-1.267923355102539,12.891068458557129,-91.1354751586914,48.71940231323242,12.904378890991211,13.20300579071045,0.6497782777986469,14.4015018489727,0.0908815860748291,1.3826731443405151,0.0,0.0,-1.523542881011963,-1.4872093200683594,0.2179383933544159,0.22600248456001282,0.0003,80.79744720458984
hamilton_ppo,0,80,32000,-0.0032588582374672103,49.27495704650879,0.17122820347547532,0.006249837577342987,0.04417499990668148,0.2107783555984497,0.22212105989456177,0.5916683077812195,7.183885097503662,-37.168182373046875,30.38843536376953,12.568592071533203,8.08648681640625,0.6994477912650541,5.9054052838257585,0.09991706907749176,1.062738060951233,0.0,0.0,-1.525924563407898,-1.4835889339447021,0.21741995215415955,0.226822167634964,0.0003,22.477888107299805
hamilton_ppo,0,90,36000,-0.0010020243423758046,115.66697311401367,0.1703864322602749,0.0036147977225482464,0.020824999986216425,0.19316858053207397,0.2223810851573944,0.8045645952224731,10.788325309753418,-48.847412109375,62.15754318237305,12.833870887756348,12.010541915893555,0.6489153645863596,7.114125679627834,0.09755200892686844,0.5982993245124817,0.0,0.0,-1.5255154371261597,-1.4816901683807373,0.21750891208648682,0.227253258228302,0.0003,60.854400634765625
hamilton_ppo,0,100,40000,-0.0035106157398462523,89.84172500610352,0.17257355332374572,0.005366331897675991,0.0435750002739951,0.2594250440597534,0.22146832942962646,0.8317661881446838,9.519977569580078,-44.0644416809082,58.08231735229492,14.718486785888672,11.062451362609863,0.6677745702065002,6.64256737241885,0.10114333778619766,0.6059578657150269,0.0,0.0,-1.5315817594528198,-1.4839370250701904,0.21619343757629395,0.22674323618412018,0.0003,36.35523223876953
hamilton_ppo,0,110,44000,-0.002637484375509658,100.38781929016113,0.18291375905275345,0.004914486315101385,0.023600000208243727,0.19872373342514038,0.22010737657546997,1.6066490411758423,10.024024963378906,-69.1896743774414,65.3863296508789,16.821500778198242,11.198271751403809,0.6494144655722047,9.039204771562932,0.09098975360393524,0.8530181646347046,0.0,0.0,-1.5378504991531372,-1.4900013208389282,0.21484240889549255,0.22537235915660858,0.0003,61.05229949951172
hamilton_ppo,0,120,48000,-0.002664689441994508,117.57052795410156,0.1915952305495739,0.0035437815822660923,0.019150000056251882,0.16590052843093872,0.219691663980484,0.2012234926223755,11.070664405822754,-57.35456848144531,89.49583435058594,16.053239822387695,12.121734619140625,0.6653333825643692,11.67813814985683,0.09641531854867935,1.3356908559799194,0.0,0.0,-1.5398589372634888,-1.4917794466018677,0.21441133320331573,0.2249719500541687,0.0003,77.9197998046875
hamilton_ppo,0,130,52000,-0.0016363309786400393,112.96301887512207,0.19447402387857438,0.0038394618313759565,0.01472500003874302,0.3491697907447815,0.2195141315460205,-0.8461745381355286,10.83794116973877,-63.196754455566406,47.74938201904297,15.067277908325195,13.434234619140625,0.7026222583604294,14.619273075381207,0.09034711122512817,0.9045221209526062,0.0,0.0,-1.5406107902526855,-1.492641806602478,0.21425020694732666,0.22477807104587555,0.0003,69.1081771850586
hamilton_ppo,0,140,56000,-0.0023689953564549793,123.5663005065918,0.1944337545335293,0.0031504295766353607,0.009874999937601388,0.37554246187210083,0.2197277545928955,1.267330527305603,11.155603408813477,-86.42733764648438,73.33615112304688,15.690552711486816,14.116974830627441,0.6995665645112525,13.140005705367207,0.09801480174064636,0.9137219786643982,0.0,0.00025,-1.543384075164795,-1.4881114959716797,0.21365685760974884,0.22579866647720337,0.0003,56.10408401489258
hamilton_ppo,0,150,60000,-0.0008804788823283171,74.73799114227295,0.19649308174848557,0.003211978357285261,0.008299999944865704,0.41421157121658325,0.2187725305557251,2.2744815349578857,8.665924072265625,-26.990264892578125,64.01412200927734,19.363346099853516,11.322555541992188,0.6503462858543364,12.536782927124545,0.10441385954618454,0.8188853859901428,0.0,0.00025,-1.5440683364868164,-1.4959557056427002,0.2135106921195984,0.2240343689918518,0.0003,35.008575439453125
hamilton_ppo,0,160,64000,-0.0019370051173867985,75.57695209503174,0.2032780419290066,0.004008681979030371,0.012599999965168536,0.43024271726608276,0.21874211728572845,1.1399593353271484,9.03189468383789,-49.439239501953125,37.042999267578125,20.372455596923828,11.965584754943848,0.6197031313143193,14.831816766220443,0.0892951712012291,1.1640480756759644,0.0,0.0,-1.5434246063232422,-1.4968414306640625,0.21364818513393402,0.22383606433868408,0.0003,36.81937789916992
hamilton_ppo,0,170,68000,-0.0007532870814829939,142.94111236572266,0.20475177735090255,0.00248449994251132,0.008049999959766865,0.41679275035858154,0.21808505058288574,0.8206504583358765,12.2301664352417,-112.69401550292969,60.70793533325195,20.44114112854004,16.0147762298584,0.6479612981651952,20.830773635757577,0.06879160553216934,0.9674034714698792,0.0,0.0,-1.5500171184539795,-1.4964407682418823,0.21224433183670044,0.22392573952674866,0.0003,80.60507202148438
hamilton_ppo,0,180,72000,-0.002030882773663871,128.38473388671875,0.20982952311635017,0.0030251783318817616,0.011024999986402691,0.5604681968688965,0.21787667274475098,-0.47311851382255554,11.783153533935547,-79.67545318603516,59.90849304199219,19.846940994262695,17.773229598999023,0.6299140067818992,25.19898971027492,0.0765305608510971,0.9589383602142334,0.0,0.0,-1.5476958751678467,-1.5005128383636475,0.21273759007453918,0.22301575541496277,0.0003,52.36276626586914
hamilton_ppo,0,190,76000,-0.0007385643382173823,48.259957008361816,0.21223852053284645,0.0033263354562222958,0.008474999945610762,0.7429463863372803,0.21746358275413513,-0.36143794655799866,7.280518531799316,-39.318206787109375,27.91795539855957,20.617862701416016,14.359869003295898,0.6655421361636364,14.996599948025356,0.061527494341135025,0.8853897452354431,0.0,0.0,-1.5554691553115845,-1.4968379735946655,0.2110903263092041,0.22383682429790497,0.0003,20.916160583496094
hamilton_ppo,0,200,80000,-0.0005903922299527053,102.95386421203614,0.2159019859135151,0.0025679345708340406,0.0040249999286606905,0.6114545464515686,0.21708549559116364,-0.02946159429848194,10.313639640808105,-59.38639831542969,59.38581085205078,19.021066665649414,16.54592514038086,0.6535020632802958,18.864728679382328,0.06664159893989563,0.8203915357589722,0.0,0.0,-1.5571339130401611,-1.4986491203308105,0.21073919534683228,0.2234317809343338,0.0003,48.96194839477539
hamilton_ppo,0,210,84000,-0.0005101238496825556,112.19237892150879,0.21828544408082962,0.0023050641175359488,0.00392499995417893,0.46568673849105835,0.21703651547431946,1.941973090171814,11.074396133422852,-50.80774688720703,92.25328063964844,21.591577529907227,15.150328636169434,0.6079688945081186,30.264631650307365,0.04271040856838226,1.1841950416564941,0.0,0.0,-1.5567095279693604,-1.499488353729248,0.21082866191864014,0.2232443392276764,0.0003,83.99916076660156
hamilton_ppo,0,220,88000,-0.001771920992182281,36.8882148361206,0.2205990032851696,0.004478622227907181,0.02299999989569187,0.7832592725753784,0.21664267778396606,0.7077619433403015,6.217341423034668,-23.948686599731445,40.186668395996094,20.242523193359375,13.35470962524414,0.6437776169751133,9.015450564391791,0.07432480901479721,1.0628360509872437,0.0,0.0,-1.569911241531372,-1.490670084953308,0.20806364715099335,0.2252216935157776,0.0003,18.23769760131836
hamilton_ppo,0,230,92000,-0.0006910888306380869,62.5141100692749,0.21767821192741393,0.002476633759215474,0.010874999985098839,0.6753376722335815,0.21763217449188232,-0.3907366991043091,7.97874116897583,-28.654220581054688,37.60077667236328,20.539215087890625,14.002915382385254,0.6208735758228747,11.225909024354063,0.08024884760379791,0.6311753392219543,0.0,0.0,-1.5645743608474731,-1.4868340492248535,0.20917703211307526,0.2260873019695282,0.0003,31.53992462158203
hamilton_ppo,0,240,96000,-0.002247401302438812,84.11354793548584,0.21736536800861359,0.002373902592808008,0.017424999978393318,0.5984532833099365,0.21655236184597015,-0.6011216044425964,9.372222900390625,-60.90206527709961,43.766807556152344,19.157485961914062,14.790215492248535,0.6457151821913532,13.743430684390766,0.0710449144244194,1.03180992603302,0.0,0.0,-1.5665814876556396,-1.4945608377456665,0.20875760912895203,0.2243470996618271,0.0003,33.18830490112305
hamilton_ppo,0,250,100000,-0.0004969018015151949,52.25392623901367,0.22661772146821021,0.0016296723624691367,0.006424999944865704,0.6964972615242004,0.21561598777770996,-0.16481490433216095,7.388352870941162,-48.20244598388672,43.350624084472656,18.571836471557617,13.41115951538086,0.635462904853384,10.333657465099982,0.05290669575333595,1.1410664319992065,0.0,0.0,-1.570887565612793,-1.4989196062088013,0.20786060392856598,0.22337137162685394,0.0003,22.751924514770508
hamilton_ppo,0,260,104000,-0.0007813438672441464,65.98052337646484,0.22854987666010856,0.0034276284277439117,0.013124999986030162,0.6330410838127136,0.216282919049263,1.3607187271118164,8.18820571899414,-41.80182647705078,86.36921691894531,19.036596298217773,13.516990661621094,0.7581594412402931,10.328553273404845,0.06513149291276932,1.2169984579086304,0.0,0.0,-1.5706592798233032,-1.493177056312561,0.20790807902812958,0.22465777397155762,0.0003,31.264049530029297
hamilton_ppo,0,270,108000,-0.0015058990023069719,113.10093589782714,0.22741853684186936,0.003217868972569704,0.017024999945424498,0.5197769999504089,0.21572792530059814,-2.048748731613159,10.749571800231934,-60.91722869873047,49.72090530395508,16.87746238708496,15.512067794799805,0.7437280184175323,16.840999703321014,0.10215440392494202,0.7379102110862732,0.0,0.0,-1.5716092586517334,-1.4972474575042725,0.20771066844463348,0.2237451821565628,0.0003,51.893531799316406
hamilton_ppo,0,280,112000,-0.003102400574529023,86.80418827056884,0.23969106867909432,0.004863427020609379,0.03867500012740493,0.6286303997039795,0.213749498128891,-0.9118527173995972,9.37220573425293,-59.1485595703125,69.56161499023438,16.08867835998535,15.379373550415039,0.5942982820349488,13.049909627926539,0.07705866545438766,0.668891429901123,0.0,0.00025,-1.5825011730194092,-1.5049047470092773,0.2054605782032013,0.22203844785690308,0.0003,42.697139739990234
hamilton_ppo,0,290,116000,-0.00038521026105445386,159.7028963470459,0.24872430101037024,0.0022494406439363956,0.004274999964982271,0.5292086005210876,0.21381786465644836,-1.870047688484192,12.880297660827637,-60.57225036621094,81.82212829589844,13.672804832458496,18.77204704284668,0.6072508368840215,26.234278048081592,0.05089402198791504,0.915169358253479,0.0,0.0,-1.5779532194137573,-1.5085134506225586,0.20639710128307343,0.2212386131286621,0.0003,95.0105972290039
hamilton_ppo,0,300,120000,-0.0027305529389879623,155.69558364868163,0.24735474988818168,0.004149877931922674,0.026424999926239253,0.48342365026474,0.2141263782978058,0.6629880666732788,12.783347129821777,-60.74325180053711,93.98335266113281,13.843677520751953,17.785959243774414,0.6267258675502267,17.72788775553072,0.07990555465221405,1.3551156520843506,0.0,0.0,-1.5765459537506104,-1.5070393085479736,0.2066877782344818,0.22156500816345215,0.0003,70.02877807617188
hamilton_ppo,0,310,124000,-0.0028367312594258687,207.37892944335937,0.24894540816545485,0.005839840974658728,0.0385499998414889,0.29951411485671997,0.21324566006660461,0.38827747106552124,14.683560371398926,-78.63368225097656,102.05587768554688,16.05899429321289,17.54412269592285,0.6402370095391378,18.93147856054761,0.06120743975043297,1.3390984535217285,0.0,0.0,-1.5813034772872925,-1.5105680227279663,0.20570680499076843,0.2207845151424408,0.0003,109.6194076538086
hamilton_ppo,0,320,128000,-0.0009791063903137021,83.67939464569092,0.2648800897598267,0.004571788012981415,0.031974999960511924,0.4666919708251953,0.21108703315258026,-0.12610580027103424,9.251069068908691,-56.59754943847656,53.51232147216797,15.045883178710938,12.667848587036133,0.6220311127600775,8.877106141165145,0.09460253268480301,0.6209028363227844,0.0,0.0,-1.5851337909698486,-1.5266895294189453,0.20492038130760193,0.2172536849975586,0.0003,47.525657653808594
hamilton_ppo,0,330,132000,-0.002340938217991788,123.3577431488037,0.2743093839287758,0.004879181273281574,0.030774999954737724,0.3339115381240845,0.21090379357337952,0.6642128229141235,11.227946281433105,-54.46942901611328,59.09370803833008,16.925304412841797,13.757336616516113,0.6348182851192378,10.261593165865866,0.09148100763559341,1.029780387878418,0.0,0.0,-1.5777925252914429,-1.5353639125823975,0.20643028616905212,0.21537728607654572,0.0003,78.08869934082031
hamilton_ppo,0,340,136000,-0.00167699431228175,104.43048809051514,0.2762810775637627,0.0025692542549222708,0.031224999921396376,0.4446842670440674,0.21029993891716003,-1.3110952377319336,10.342865943908691,-88.96900177001953,61.554344177246094,14.529617309570312,13.879406929016113,0.6473456139475934,11.292619111705555,0.060796137899160385,0.9042865633964539,0.0,0.0,-1.5835188627243042,-1.5354984998703003,0.2052515745162964,0.21534830331802368,0.0003,46.58743667602539
hamilton_ppo,0,350,140000,-0.0019331573191469964,146.59201454162599,0.2845869129896164,0.003448100294917822,0.017424999945797028,0.38550543785095215,0.2096528857946396,0.7216689586639404,12.185256004333496,-78.62680053710938,113.25182342529297,15.859914779663086,15.544459342956543,0.7181251493650279,13.206429745455774,0.06564193964004517,1.0202951431274414,0.0,0.0,-1.5827351808547974,-1.5422780513763428,0.20541249215602875,0.21389329433441162,0.0003,65.13697814941406
hamilton_ppo,0,360,144000,-0.0016578706267671795,163.73625785827636,0.2933802258968353,0.0038509562145918608,0.02827499996870756,0.42031264305114746,0.2084392011165619,0.20787939429283142,12.83059310913086,-57.54902267456055,105.71148681640625,13.720244407653809,16.851938247680664,0.6385309676994396,13.817509752661232,0.07202222943305969,0.4802202880382538,0.0,0.0,-1.5831884145736694,-1.5532512664794922,0.20531941950321198,0.2115590125322342,0.0003,82.45610046386719
hamilton_ppo,0,370,148000,-0.0020108609439370363,81.19356193542481,0.2950461533665657,0.0047738212160766125,0.022850000029429794,0.5154759287834167,0.20911413431167603,1.5925381183624268,9.054616928100586,-45.56909942626953,80.94493865966797,17.051589965820312,13.008056640625,0.6407982685421106,11.252170082175589,0.09960126876831055,0.8164269924163818,0.0,0.0,-1.5798660516738892,-1.5501054525375366,0.20600269734859467,0.21222560107707977,0.0003,36.578853607177734
