init_seed,epoch,train_mse,val_mse
0,0,0.011892204321893848,0.00039917510002851486
0,1,0.000338559717587208,0.0002914927899837494
0,2,0.0002918642648577603,0.0002772584557533264
0,3,0.0002643554888453229,0.00025445016217418015
0,4,0.00023778993806096872,0.00023857831547502428
0,5,0.00021226805085781361,0.0001992430625250563
0,6,0.0001892765762142878,0.0001842187630245462
0,7,0.0001691262246184809,0.00017364656378049403
0,8,0.00015291254317817237,0.00015039884601719677
0,9,0.00013828461413567942,0.00014099659165367484
0,10,0.00012604747329811084,0.00013484123337548226
0,11,0.00011784270052169693,0.00012120463361497968
0,12,0.0001092317472509185,0.00011350490240147337
0,13,0.00010180511576091709,0.00011315020674373955
0,14,9.638549887625519e-05,0.00010355787526350468
0,15,9.08469888762316e-05,9.870425856206566e-05
0,16,8.871472581975589e-05,9.849218622548506e-05
0,17,8.501930087313712e-05,0.0001000888369162567
0,18,8.29936020809196e-05,8.801966032478958e-05
0,19,8.062424661815438e-05,8.73314929776825e-05
0,20,7.864991077594246e-05,8.559857087675482e-05
0,21,8.050746975348276e-05,9.56936419242993e-05
0,22,8.053898801961551e-05,9.95424052234739e-05
0,23,7.61896070429752e-05,8.209845691453665e-05
0,24,7.560800886219718e-05,8.001008245628327e-05
0,25,7.44656151218305e-05,7.856320007704198e-05
0,26,7.143593494080802e-05,7.666880264878273e-05
0,27,6.947703773297529e-05,8.108656038530171e-05
0,28,6.953120142988718e-05,7.63675052439794e-05
0,29,7.035517887433974e-05,7.528487913077697e-05
0,30,6.84839929002813e-05,7.462413486791775e-05
0,31,6.667958198708883e-05,7.158883090596646e-05
0,32,6.549477565870698e-05,7.017543248366565e-05
0,33,6.408934387777183e-05,7.312470552278683e-05
0,34,6.488899007531491e-05,6.680222577415407e-05
0,35,6.220140612683539e-05,7.020990597084165e-05
0,36,6.112481143741103e-05,6.454110553022474e-05
0,37,6.00200697935304e-05,6.72877868055366e-05
0,38,5.8204855490202326e-05,6.590884004253894e-05
0,39,6.017684280258959e-05,7.515673496527597e-05
0,40,5.736516073823226e-05,5.893585694138892e-05
0,41,5.528967755249323e-05,5.66432936466299e-05
0,42,5.225322488843842e-05,5.487020098371431e-05
0,43,5.134928592399384e-05,5.415111445472576e-05
0,44,5.067307936503683e-05,5.062435593572445e-05
0,45,4.7703264906808885e-05,5.555078314500861e-05
0,46,4.8632334978810455e-05,5.222359686740674e-05
0,47,4.584495353645145e-05,5.060932380729355e-05
0,48,4.5046559890997824e-05,4.618135790224187e-05
0,49,4.1075401958088324e-05,4.2040657717734575e-05
0,50,4.325728884180668e-05,4.731585431727581e-05
0,51,3.8630817593760246e-05,4.428169995662756e-05
0,52,3.845813850940143e-05,3.584039950510487e-05
