policy,learner_seed,metric_group,metric,n_paths,mean_original,mean_high_penalty,mean_diff_high_minus_original,sd_diff,se_diff,normal_ci_lo,normal_ci_hi,normal_ci_contains_zero,bootstrap_ci_lo,bootstrap_ci_hi,bootstrap_ci_contains_zero,win_rate_high_penalty_larger
hamilton_ppo,0.0,inventory_behaviour,time_avg_signed_inventory,500,2.0724940383582724,3.9397739614388647,1.8672799230805928,3.7950446689145516,0.1697195571468224,1.5346357036007334,2.199924142560452,False,1.5360605802657374,2.20173086724212,False,0.668
hamilton_ppo,0.0,inventory_behaviour,time_avg_abs_inventory,500,4.159038721417443,5.7959647843230195,1.636926062905577,3.156755271762723,0.1411743875198454,1.3602293478271792,1.913622777983975,False,1.362267242921296,1.909279021507186,False,0.674
hamilton_ppo,0.0,inventory_behaviour,integrated_squared_inventory,500,31.25999875467291,59.182755814145956,27.922757059473042,63.71753555872165,2.8495348173612327,22.337771444752107,33.50774267419398,False,22.54805121075796,33.50997643236194,False,0.656
hamilton_ppo,0.0,inventory_behaviour,rms_inventory,500,4.941594114827594,6.54254258407608,1.6009484692484848,3.370420681764145,0.15072979514391627,1.3055234993693086,1.896373439127661,False,1.3140383934246063,1.9034035283539945,False,0.656
hamilton_ppo,0.0,inventory_behaviour,max_abs_inventory,500,9.362,10.956,1.594,4.832377027454599,0.216110470525937,1.1704312610871588,2.0175687389128414,False,1.168,2.0180499999999992,False,0.564
hamilton_ppo,0.0,inventory_behaviour,terminal_inventory,500,4.2,2.312,-1.888,5.711804041703606,0.25543964222814614,-2.388652498990963,-1.3873475010090366,False,-2.392,-1.388,False,0.332
hamilton_ppo,0.0,inventory_behaviour,abs_terminal_inventory,500,7.344,6.82,-0.524,4.893395000330396,0.2188392772299274,-0.9529171017734341,-0.09508289822656596,False,-0.956,-0.096,False,0.416
hamilton_ppo,0.0,inventory_behaviour,squared_terminal_inventory,500,77.92,75.244,-2.676,101.41892634633086,4.535592270308803,-11.565597498363513,6.213597498363512,True,-11.40425,6.208349999999995,True,0.416
hamilton_ppo,0.0,inventory_behaviour,total_fills,500,41.504,53.996,12.492,11.965964424534214,0.535134197392053,11.443156246215828,13.540843753784173,False,11.427950000000001,13.55205,False,0.814
hamilton_ppo,0.0,monetary_penalty,running_penalty_contribution,500,0.312599987546729,5.918275581414596,5.605675593867867,7.347841236690753,0.3286054498623329,4.961620747014112,6.249730440721621,False,4.978147425450062,6.268613744939188,False,0.994
hamilton_ppo,0.0,monetary_penalty,terminal_penalty_contribution,500,0.07792000000000002,0.7524400000000001,0.67452,1.113205414192896,0.04978405958112249,0.5769450362168037,0.7720949637831963,False,0.58202325,0.77500015,False,0.852
hamilton_ppo,0.0,pre_penalty_wealth,terminal_mtm_wealth_pre_penalty,500,42.57882275423564,46.10915581476655,3.5303330605309076,48.03493991312017,2.1481878188170906,-0.6800376963782448,7.74070381744006,True,-0.675847077622473,7.669550317551244,True,0.54
hamilton_ppo,0.0,penalised_objective,final_realised_objective,500,42.18830276668891,39.438440233351955,-2.74986253333696,49.34286131001455,2.206679841870737,-7.074875548814147,1.5751504821402258,True,-7.13743319714644,1.516739627828267,True,0.464
hamilton_ppo,1.0,inventory_behaviour,time_avg_signed_inventory,500,2.028656238057516,1.8485849233814984,-0.1800713146760176,4.073553919545469,0.18217486948228753,-0.5371274977495861,0.17698486839755095,True,-0.5348528912809003,0.18338778795178973,True,0.462
hamilton_ppo,1.0,inventory_behaviour,time_avg_abs_inventory,500,4.824400298034664,2.4442590991000515,-2.3801411989346124,2.5738597983262097,0.11510650947222609,-2.605745811886294,-2.154536585982931,False,-2.6044764785070145,-2.15587243780888,False,0.146
