metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,30,50.86978805531557,38.72429766675857,7.070057118542779,56.042535854280736,28.692051396782528,75.20797984888466,46.51592845210213,37.01247610297172,64.72710000765942,0.06666666666666667,110.7438467293357,belief_weighted,pooled_all_seeds
raw_pnl,30,51.03703055531555,38.7085983293177,7.067190824791364,56.10872085428073,29.098080771782524,75.28274109888469,46.184660327102165,37.18533653872448,64.88872457190662,0.06666666666666667,110.95431672933569,belief_weighted,pooled_all_seeds
mean_abs_inventory,30,2.87265,1.440287663736083,0.26295934757488937,2.263375,1.8933125,3.5474375,1.654125,2.357249678753217,3.388050321246783,0.0,6.18825,belief_weighted,pooled_all_seeds
terminal_abs_inventory,30,4.233333333333333,3.0589984086899777,0.5584941439373027,3.5,2.0,6.0,4.0,3.13868481121622,5.327981855450447,0.0,11.0,belief_weighted,pooled_all_seeds
full_objective,30,57.74028691360487,110.21366601756036,20.12217034105279,58.13669164624368,-1.226975041684974,118.07207496259146,119.29905000427644,18.300833045141403,97.17974078206834,0.3,370.5079170711999,hamilton_ppo,pooled_all_seeds
raw_pnl,30,58.891910996938215,110.32307734585841,20.142146025237942,59.37413789624367,-0.446462523281582,119.34351308759148,119.78997561087306,19.41330478747185,98.37051720640457,0.26666666666666666,372.6290745711999,hamilton_ppo,pooled_all_seeds
mean_abs_inventory,30,8.161674999999999,2.7299313621455505,0.4984149958293076,8.454,6.5004375,9.54625,3.0458125000000003,7.184781608174556,9.138568391825443,0.0,15.18525,hamilton_ppo,pooled_all_seeds
terminal_abs_inventory,30,14.233333333333333,4.477401750656469,0.8174579792825564,14.5,11.0,17.75,6.75,12.631115693939522,15.835550972727143,0.0,26.0,hamilton_ppo,pooled_all_seeds
full_objective,30,44.86665227213372,77.41116325572759,14.133280105959019,60.25507982397229,26.475837355915935,82.4169347539819,55.94109739806597,17.165423264454045,72.56788127981339,0.13333333333333333,293.9729878975726,naive,pooled_all_seeds
raw_pnl,30,45.23252802213373,77.04540781436134,14.066502604036835,60.41145107397229,26.638591730915934,82.63770036360856,55.999108632692625,17.662182918221532,72.80287312604592,0.13333333333333333,291.07653539757257,naive,pooled_all_seeds
mean_abs_inventory,30,4.029441666666666,2.6505681675263553,0.48392532518643894,3.18175,2.262,4.8428125,2.5808125,3.080948029301246,4.977935304032086,0.0,13.34325,naive,pooled_all_seeds
terminal_abs_inventory,30,6.1,4.9154927490046445,0.8974420866276411,5.0,3.0,8.0,5.0,4.341013510209823,7.858986489790176,0.0,24.0,naive,pooled_all_seeds
full_objective,30,50.95591047202061,38.955122003217014,7.112199683842597,53.783758897255744,30.48167182189443,78.46631912537046,47.98464730347603,37.015999091689125,64.8958218523521,0.1,118.01299303698744,oracle,pooled_all_seeds
