metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,training_seed,level
raw_pnl,100,33.083747262348,30.38989872790339,3.038989872790339,34.473509376471824,15.10529593496154,50.376252390040705,35.270956455079165,27.127327111678934,39.04016741301706,0.14,101.3475897454306,hamilton_ppo,0.0,within_training_seed
full_objective,100,32.98113173734798,30.397103519671788,3.039710351967179,34.441369376471826,15.02108718496154,50.3253142650407,35.30422708007916,27.02329944749231,38.93896402720365,0.14,101.2715372454306,hamilton_ppo,0.0,within_training_seed
mean_abs_inventory,100,2.2170775,1.1878187970243586,0.11878187970243585,1.939125,1.33425,2.7619375,1.4276875000000002,1.9842650157832256,2.449889984216774,0.0,6.44925,hamilton_ppo,0.0,within_training_seed
terminal_abs_inventory,100,3.08,2.4316100165789893,0.24316100165789895,3.0,1.0,4.25,3.25,2.6034044367505182,3.556595563249482,0.0,10.0,hamilton_ppo,0.0,within_training_seed
raw_pnl,100,33.322958615436946,278.6338629150695,27.863386291506952,44.50023764441107,-144.62760843120077,211.877022400878,356.50463083207876,-21.289278515916678,87.93519574679057,0.41,725.3422101403039,return_lstm_ppo,0.0,within_training_seed
full_objective,100,25.16427404043701,278.8864694635604,27.88864694635604,40.21992514441108,-151.1284071812008,204.1645586508779,355.2929658320787,-29.497473974420824,79.82602205529484,0.44,716.6184351403039,return_lstm_ppo,0.0,within_training_seed
mean_abs_inventory,100,23.353342500000007,4.616448723476043,0.46164487234760426,23.825625000000002,19.8224375,26.284375,6.461937500000001,22.448518550198703,24.258166449801312,0.0,34.7895,return_lstm_ppo,0.0,within_training_seed
terminal_abs_inventory,100,35.8,6.854917868938985,0.6854917868938986,36.0,31.0,40.0,9.0,34.456436097687956,37.14356390231204,0.0,52.0,return_lstm_ppo,0.0,within_training_seed
raw_pnl,100,32.81067108765762,27.034628897666032,2.703462889766603,32.2256803538672,16.159719942005783,48.09993469892445,31.940214756918667,27.511883823715074,38.10945835160016,0.11,95.64881595954506,return_mlp_ppo,0.0,within_training_seed
full_objective,100,32.72842886265761,27.043968307680547,2.704396830768055,32.1534916038672,16.125956817005786,48.06603032392445,31.940073506918665,27.42781107435222,38.029046650963,0.11,95.49390845954507,return_mlp_ppo,0.0,within_training_seed
mean_abs_inventory,100,1.9825674999999998,0.9801070132351245,0.09801070132351244,1.7405,1.2889375,2.3965,1.1075625,1.7904665254059153,2.174668474594084,0.0,5.3605,return_mlp_ppo,0.0,within_training_seed
terminal_abs_inventory,100,2.75,2.194460426997162,0.21944604269971618,2.0,1.0,4.0,3.0,2.3198857563085564,3.1801142436914436,0.0,9.0,return_mlp_ppo,0.0,within_training_seed
