epsilon,episode,policy,raw_pnl,full_objective,mean_absolute_inventory,terminal_absolute_inventory,steps_taken,raw_pnl_pct,full_objective_pct
0.5,4,naive,-6.984261931863671,-7.601516931863662,6.2015,10.0,4000,-0.0006984261931863671,-0.0007601516931863662
0.5,5,oracle,69.67096799242802,69.43042299242802,3.928,6.0,4000,0.006967096799242802,0.006943042299242802
0.5,5,belief,62.49896831691865,62.264678316918655,3.533,6.0,4000,0.006249896831691864,0.006226467831691865
0.5,5,randomised,58.23510433836094,58.09977433836094,2.575,5.0,4000,0.005823510433836094,0.005809977433836094
0.5,5,naive,46.56341503644366,46.50024253644366,2.09475,1.0,4000,0.004656341503644365,0.004650024253644366
0.5,6,oracle,40.60364813899719,40.31838813899719,4.685,5.0,4000,0.004060364813899719,0.00403183881389972
0.5,6,belief,45.54373793376692,45.13701543376692,5.50925,6.0,4000,0.004554373793376692,0.004513701543376692
0.5,6,randomised,40.754760858964914,40.37073585896492,5.236,7.0,4000,0.004075476085896491,0.004037073585896492
0.5,6,naive,36.68292925416904,36.09178675416906,6.44225,9.0,4000,0.003668292925416904,0.0036091786754169058
0.5,7,oracle,74.15465146571557,74.11090896571558,1.36875,3.0,4000,0.0074154651465715565,0.007411090896571559
0.5,7,belief,72.18670365208177,72.14998615208177,1.51375,2.0,4000,0.007218670365208178,0.007214998615208176
0.5,7,randomised,112.06740047294761,111.8532854729476,3.3975,7.0,4000,0.01120674004729476,0.011185328547294761
0.5,7,naive,52.44712305302265,52.39176055302265,1.87925,1.0,4000,0.005244712305302265,0.005239176055302264
0.5,8,oracle,43.182768515557086,42.74549351555709,5.2935,8.0,4000,0.004318276851555709,0.004274549351555709
0.5,8,belief,40.00413941670354,39.46324941670354,5.919,10.0,4000,0.004000413941670353,0.003946324941670354
0.5,8,randomised,35.60565350823924,34.96244350823924,6.4235,11.0,4000,0.0035605653508239245,0.0034962443508239236
0.5,8,naive,44.73921746276051,44.57103996276051,2.32825,8.0,4000,0.004473921746276051,0.004457103996276051
0.5,9,oracle,69.1031961615538,69.07267616155379,1.256,2.0,4000,0.00691031961615538,0.006907267616155378
0.5,9,belief,65.06559183133896,65.01747683133897,1.61,3.0,4000,0.006506559183133897,0.006501747683133897
0.5,9,randomised,84.97595422572661,84.9204667257266,1.81175,1.0,4000,0.008497595422572661,0.00849204667257266
0.5,9,naive,24.876342563291303,24.775932563291306,2.627,1.0,4000,0.00248763425632913,0.0024775932563291304
0.5,10,oracle,111.26184836642562,110.94573086642562,4.55575,3.0,4000,0.011126184836642563,0.011094573086642563
0.5,10,belief,103.26754815043441,103.03543565043441,3.86675,2.0,4000,0.010326754815043441,0.010303543565043441
0.5,10,randomised,113.28273180641551,112.9895193064155,4.33175,2.0,4000,0.011328273180641552,0.011298951930641551
0.5,10,naive,130.61648095893202,130.19925095893203,5.447,4.0,4000,0.0130616480958932,0.013019925095893203
0.5,11,oracle,50.84205544376789,50.65263044376789,3.098,7.0,4000,0.005084205544376789,0.005065263044376789
0.5,11,belief,54.456982765325165,54.309035265325164,2.80825,6.0,4000,0.005445698276532516,0.005430903526532516
0.5,11,randomised,54.30570063723496,54.15775313723496,2.80825,6.0,4000,0.005430570063723497,0.005415775313723496
0.5,11,naive,20.978276306841053,20.121573806841063,6.69325,16.0,4000,0.0020978276306841052,0.0020121573806841063
0.5,12,oracle,67.67689369776542,67.59493869776541,1.983,5.0,4000,0.006767689369776541,0.006759493869776541
0.5,12,belief,63.62458373432935,63.50050123432935,2.24975,7.0,4000,0.006362458373432934,0.006350050123432935
0.5,12,randomised,75.66837826216258,75.60753326216258,1.8015,3.0,4000,0.0075668378262162585,0.007560753326216257
0.5,12,naive,76.08133922615735,76.05554172615734,1.22825,1.0,4000,0.007608133922615736,0.007605554172615735
0.5,13,oracle,48.89733341783517,48.509498417835175,4.441,6.0,4000,0.0048897333417835176,0.004850949841783517
0.5,13,belief,37.75626578632557,37.376555786325575,4.0275,9.0,4000,0.0037756265786325566,0.0037376555786325576
0.5,13,randomised,27.690036048634397,27.1188360486344,5.3955,10.0,4000,0.0027690036048634396,0.00271188360486344
0.5,13,naive,45.11395726716819,44.63946226716819,4.888,9.0,4000,0.004511395726716819,0.004463946226716819
0.5,14,oracle,27.869852090724407,27.561072090724412,4.183,8.0,4000,0.002786985209072441,0.002756107209072441
0.5,14,belief,16.788631556113614,16.185314056113622,5.91275,11.0,4000,0.0016788631556113615,0.0016185314056113623
0.5,14,randomised,19.881445152914694,19.28290015291469,5.767,12.0,4000,0.0019881445152914695,0.001928290015291469
0.5,14,naive,34.37987194240986,33.87475194240986,5.275,10.0,4000,0.0034379871942409866,0.0033874751942409857
0.5,15,oracle,38.67843112989783,38.602893629897835,1.89825,5.0,4000,0.003867843112989783,0.003860289362989784
0.5,15,belief,50.538683120131,50.51279312013099,1.022,3.0,4000,0.0050538683120131,0.005051279312013099
0.5,15,randomised,45.9026609279432,45.8622334279432,1.23825,4.0,4000,0.00459026609279432,0.00458622334279432
0.5,15,naive,33.03895253367273,32.638830033672726,4.92125,10.0,4000,0.0033038952533672723,0.003263883003367272
0.5,16,oracle,76.23134193207989,76.00238193207989,2.839,9.0,4000,0.007623134193207988,0.007600238193207988
0.5,16,belief,58.64619474771007,58.521524747710075,2.4835,5.0,4000,0.005864619474771007,0.0058521524747710075
0.5,16,randomised,70.42411046044526,70.23567546044526,2.6575,8.0,4000,0.007042411046044526,0.007023567546044526
0.5,16,naive,48.15828842259236,48.00076592259236,3.22475,3.0,4000,0.004815828842259237,0.004800076592259236
0.5,17,oracle,38.95753596139082,38.88924096139082,2.047,2.0,4000,0.0038957535961390813,0.003888924096139082
0.5,17,belief,37.6174903811698,37.5424503811698,2.125,2.0,4000,0.0037617490381169805,0.00375424503811698
0.5,17,randomised,40.11437458560803,40.05390458560803,1.958,1.0,4000,0.0040114374585608036,0.004005390458560803
0.5,17,naive,47.055511463778885,46.89497146377889,3.4145,3.0,4000,0.004705551146377889,0.004689497146377889
0.5,18,oracle,62.14980728103876,62.01914228103877,2.458,5.0,4000,0.006214980728103876,0.006201914228103876
0.5,18,belief,57.910958648944245,57.78954614894425,2.34025,5.0,4000,0.005791095864894425,0.005778954614894425
0.5,18,randomised,56.83458807142921,56.697700571429216,2.66925,5.0,4000,0.005683458807142921,0.005669770057142922
0.5,18,naive,66.43656985803045,66.32197985803046,2.5765,3.0,4000,0.006643656985803046,0.006632197985803046
0.5,19,oracle,49.10531882750516,49.083153827505164,1.1665,2.0,4000,0.004910531882750516,0.004908315382750516
0.5,19,belief,46.195467198141955,46.14082969814196,1.66775,4.0,4000,0.004619546719814196,0.004614082969814196
0.5,19,randomised,47.86809758430405,47.789915084304056,2.25375,4.0,4000,0.004786809758430405,0.004778991508430405
0.5,19,naive,54.46683641278025,54.09326641278026,5.252,8.0,4000,0.005446683641278025,0.005409326641278026
0.12559432157547903,0,oracle,16.266800661691377,15.256590661691382,6.9445,13.0,4000,0.0016266800661691376,0.001525659066169138
0.12559432157547903,0,belief,14.702291830831882,13.774856830831887,6.6045,13.0,4000,0.0014702291830831881,0.0013774856830831887
0.12559432157547903,0,randomised,14.807772623883693,13.797527623883697,6.945,13.0,4000,0.0014807772623883695,0.0013797527623883698
0.12559432157547903,0,naive,12.85102198605773,11.895439486057732,6.81175,14.0,4000,0.001285102198605773,0.0011895439486057733
0.12559432157547903,1,oracle,45.393829902590426,45.26060240259043,2.65625,4.0,4000,0.004539382990259043,0.004526060240259043
0.12559432157547903,1,belief,44.46199460759834,44.33243210759834,2.57125,4.0,4000,0.0044461994607598344,0.004433243210759834
0.12559432157547903,1,randomised,47.08746479187863,46.995924791878636,2.365,3.0,4000,0.004708746479187863,0.004699592479187864
0.12559432157547903,1,naive,38.18427240023925,37.87494740023926,3.9465,7.0,4000,0.0038184272400239253,0.0037874947400239256
0.12559432157547903,2,oracle,54.63367985419518,54.442049854195176,3.202,6.0,4000,0.005463367985419518,0.005444204985419518
0.12559432157547903,2,belief,55.46586859833076,55.22758359833076,3.504,7.0,4000,0.0055465868598330755,0.005522758359833076
0.12559432157547903,2,randomised,56.834198492034716,56.612778492034714,3.4725,6.0,4000,0.005683419849203472,0.005661277849203471
0.12559432157547903,2,naive,57.55358753526332,57.30397753526332,3.545,8.0,4000,0.005755358753526332,0.005730397753526332
0.12559432157547903,3,oracle,48.939519454208394,48.8487894542084,2.4335,1.0,4000,0.004893951945420839,0.00488487894542084
0.12559432157547903,3,belief,51.48873243283373,51.36517993283373,2.87575,3.0,4000,0.005148873243283373,0.005136517993283373
0.12559432157547903,3,randomised,48.68948234824349,48.598752348243494,2.4335,1.0,4000,0.004868948234824349,0.00485987523482435
0.12559432157547903,3,naive,49.70815039406928,49.58115289406929,2.67725,1.0,4000,0.004970815039406928,0.004958115289406929
0.12559432157547903,4,oracle,53.384975020828165,53.10200252082817,4.36975,5.0,4000,0.0053384975020828165,0.0053102002520828175
0.12559432157547903,4,belief,53.788174363372605,53.46151936337262,4.6,6.0,4000,0.005378817436337261,0.005346151936337262
0.12559432157547903,4,randomised,53.7548837521482,53.47191125214821,4.36975,5.0,4000,0.0053754883752148205,0.005347191125214821
0.12559432157547903,4,naive,47.81342635669989,47.1603088566999,6.37825,10.0,4000,0.00478134263566999,0.00471603088566999
0.12559432157547903,5,oracle,62.095317784607914,61.97147278460791,2.521,3.0,4000,0.0062095317784607905,0.006197147278460791
0.12559432157547903,5,belief,62.42257407599709,62.29872907599709,2.521,3.0,4000,0.0062422574075997085,0.006229872907599709
0.12559432157547903,5,randomised,61.90215148974471,61.797066489744715,2.157,3.0,4000,0.006190215148974471,0.0061797066489744715
0.12559432157547903,5,naive,71.43104262597808,71.16936512597808,3.69775,6.0,4000,0.007143104262597808,0.007116936512597807
0.12559432157547903,6,oracle,65.86219556668442,65.5501230666844,5.17225,4.0,4000,0.006586219556668441,0.0065550123066684405
0.12559432157547903,6,belief,66.25120059033776,65.93164059033775,5.253,4.0,4000,0.006625120059033775,0.006593164059033775
0.12559432157547903,6,randomised,66.47101035805207,66.15145035805206,5.253,4.0,4000,0.006647101035805207,0.006615145035805206
0.12559432157547903,6,naive,66.22472610891077,65.83859110891078,5.5905,5.0,4000,0.006622472610891077,0.006583859110891078
0.12559432157547903,7,oracle,60.0926383451758,60.0473558451758,1.68225,2.0,4000,0.00600926383451758,0.00600473558451758
0.12559432157547903,7,belief,60.24923184552753,60.20394934552753,1.68225,2.0,4000,0.006024923184552753,0.006020394934552754
0.12559432157547903,7,randomised,59.96531180982467,59.92002930982467,1.68225,2.0,4000,0.005996531180982467,0.005992002930982467
0.12559432157547903,7,naive,61.2393039367625,61.156363936762496,2.128,4.0,4000,0.006123930393676249,0.0061156363936762485
0.12559432157547903,8,oracle,69.54536369193443,68.90511119193444,6.07825,13.0,4000,0.006954536369193442,0.0068905111191934435
0.12559432157547903,8,belief,68.13114173202916,67.52935673202917,5.8495,13.0,4000,0.006813114173202917,0.006752935673202917
0.12559432157547903,8,randomised,67.90246168191584,67.19612418191585,6.30025,14.0,4000,0.006790246168191585,0.0067196124181915845
0.12559432157547903,8,naive,66.28781369429316,63.6953836942932,12.4575,25.0,4000,0.006628781369429316,0.00636953836942932
0.12559432157547903,9,oracle,50.67332157020047,50.60523907020047,2.03775,2.0,4000,0.005067332157020047,0.005060523907020047
0.12559432157547903,9,belief,50.5777017379489,50.5096192379489,2.03775,2.0,4000,0.0050577701737948896,0.005050961923794889
0.12559432157547903,9,randomised,53.852313079030395,53.8142555790304,1.47625,1.0,4000,0.00538523130790304,0.00538142555790304
0.12559432157547903,9,naive,53.47750915474953,53.40596915474953,2.188,2.0,4000,0.005347750915474953,0.005340596915474953
0.12559432157547903,10,oracle,75.34477348227443,75.14022848227444,3.5885,4.0,4000,0.007534477348227444,0.007514022848227444
0.12559432157547903,10,belief,75.299196966093,75.09465196609301,3.5885,4.0,4000,0.007529919696609301,0.007509465196609301
0.12559432157547903,10,randomised,75.82415521179212,75.62701021179213,3.5485,3.0,4000,0.007582415521179212,0.0075627010211792136
0.12559432157547903,10,naive,75.23945846491654,75.03976596491654,3.56975,4.0,4000,0.0075239458464916534,0.0075039765964916546
0.12559432157547903,11,oracle,62.29384539021703,61.95446039021703,4.6175,9.0,4000,0.006229384539021702,0.006195446039021704
0.12559432157547903,11,belief,62.65101323790475,62.31162823790475,4.6175,9.0,4000,0.006265101323790474,0.006231162823790475
0.12559432157547903,11,randomised,62.6637913016566,62.3244063016566,4.6175,9.0,4000,0.00626637913016566,0.006232440630165661
0.12559432157547903,11,naive,62.13560446627366,61.86610696627366,4.11075,8.0,4000,0.006213560446627367,0.006186610696627367
0.12559432157547903,12,oracle,56.94107994237481,56.71264994237481,3.0945,9.0,4000,0.005694107994237481,0.005671264994237481
0.12559432157547903,12,belief,65.7331686442327,65.6083861442327,2.12875,7.0,4000,0.006573316864423271,0.0065608386144232695
0.12559432157547903,12,randomised,57.18494983584071,57.031554835840716,2.6725,7.0,4000,0.005718494983584071,0.005703155483584072
0.12559432157547903,12,naive,64.02752951772447,63.90928451772447,2.011,7.0,4000,0.006402752951772447,0.006390928451772447
0.12559432157547903,13,oracle,76.96894616016613,76.81085866016613,2.97475,3.0,4000,0.007696894616016612,0.007681085866016612
0.12559432157547903,13,belief,73.10375346874434,72.87549346874434,3.8345,4.0,4000,0.007310375346874434,0.007287549346874434
0.12559432157547903,13,randomised,73.10142304795971,72.84542304795971,3.8905,6.0,4000,0.007310142304795972,0.007284542304795971
0.12559432157547903,13,naive,74.73782397295759,74.39584397295758,4.2525,7.0,4000,0.007473782397295759,0.007439584397295758
0.12559432157547903,14,oracle,70.23265183825953,70.08024183825952,2.96,5.0,4000,0.0070232651838259535,0.007008024183825953
0.12559432157547903,14,belief,72.73343155644784,72.56962655644784,2.889,6.0,4000,0.007273343155644784,0.007256962655644784
0.12559432157547903,14,randomised,71.16763749544475,71.00033749544475,2.998,6.0,4000,0.007116763749544476,0.007100033749544475
0.12559432157547903,14,naive,70.74444554794445,70.44006804794445,3.62725,9.0,4000,0.007074444554794446,0.007044006804794445
0.12559432157547903,15,oracle,47.4405345927089,46.892954592708904,6.1505,10.0,4000,0.00474405345927089,0.004689295459270891
0.12559432157547903,15,belief,46.10712788765022,45.40555038765023,7.14925,11.0,4000,0.004610712788765022,0.004540555038765023
0.12559432157547903,15,randomised,47.692225178723675,47.14464517872368,6.1505,10.0,4000,0.004769222517872367,0.004714464517872368
0.12559432157547903,15,naive,43.93409409812239,42.11605159812241,10.90275,19.0,4000,0.004393409409812238,0.004211605159812241
0.12559432157547903,16,oracle,73.42531353970014,73.21259603970014,2.84825,7.0,4000,0.007342531353970014,0.007321259603970015
0.12559432157547903,16,belief,68.87895947225275,68.73693947225274,2.746,5.0,4000,0.0068878959472252746,0.006873693947225275
0.12559432157547903,16,randomised,72.65708530443726,72.39698030443726,3.049,8.0,4000,0.0072657085304437255,0.007239698030443727
0.12559432157547903,16,naive,71.8241345479504,71.64601954795039,2.9485,6.0,4000,0.00718241345479504,0.007164601954795039
0.12559432157547903,17,oracle,56.072432514925595,55.91849001492559,3.05925,4.0,4000,0.00560724325149256,0.005591849001492559
0.12559432157547903,17,belief,55.82862266193541,55.718965161935415,2.77525,2.0,4000,0.005582862266193541,0.005571896516193542
0.12559432157547903,17,randomised,55.864924269277196,55.7596992692772,2.6295,2.0,4000,0.005586492426927719,0.00557596992692772
0.12559432157547903,17,naive,53.723146132982265,53.60143363298227,2.94975,2.0,4000,0.005372314613298227,0.005360143363298227
0.12559432157547903,18,oracle,71.91600319047879,71.73916069047878,3.22725,0.0,4000,0.007191600319047879,0.007173916069047878
0.12559432157547903,18,belief,67.63049536030087,67.42310036030086,3.309,2.0,4000,0.006763049536030088,0.0067423100360300865
0.12559432157547903,18,randomised,70.49264538819752,70.28016288819751,3.44625,1.0,4000,0.007049264538819751,0.00702801628881975
0.12559432157547903,18,naive,63.846264386262305,63.56702188626231,3.77225,4.0,4000,0.006384626438626231,0.0063567021886262315
0.12559432157547903,19,oracle,64.03746312899966,63.805803128999656,3.6935,8.0,4000,0.0064037463128999664,0.006380580312899966
0.12559432157547903,19,belief,63.80638721160176,63.48182221160176,4.7205,8.0,4000,0.006380638721160176,0.006348182221160177
0.12559432157547903,19,randomised,65.11357140191774,64.76809890191774,4.65275,9.0,4000,0.006511357140191774,0.0064768098901917745
0.12559432157547903,19,naive,62.151969685730364,61.76170968573037,4.903,10.0,4000,0.006215196968573036,0.006176170968573037
0.03154786722400966,0,oracle,48.36323447749419,47.62935447749418,6.214,11.0,4000,0.004836323447749419,0.004762935447749418
0.03154786722400966,0,belief,48.33068347405947,47.59680347405946,6.214,11.0,4000,0.004833068347405946,0.0047596803474059465
0.03154786722400966,0,randomised,48.36393400013958,47.63005400013957,6.214,11.0,4000,0.004836393400013957,0.0047630054000139576
0.03154786722400966,0,naive,49.26180278982679,48.13432278982679,7.362,15.0,4000,0.0049261802789826795,0.004813432278982679
0.03154786722400966,1,oracle,57.49456741260957,57.38342991260957,2.70775,3.0,4000,0.005749456741260957,0.0057383429912609574
0.03154786722400966,1,belief,57.56136129372601,57.45111879372601,2.67875,3.0,4000,0.0057561361293726005,0.0057451118793726014
0.03154786722400966,1,randomised,57.58420508625642,57.47396258625642,2.67875,3.0,4000,0.005758420508625642,0.005747396258625642
0.03154786722400966,1,naive,57.473181819558135,57.322301819558135,3.036,4.0,4000,0.005747318181955814,0.005732230181955814
0.03154786722400966,2,oracle,60.70400830703261,60.28106580703261,4.07925,11.0,4000,0.006070400830703261,0.006028106580703261
0.03154786722400966,2,belief,61.42086194475962,61.024809444759626,4.04775,10.0,4000,0.006142086194475962,0.006102480944475962
0.03154786722400966,2,randomised,61.463821812047286,61.06776931204729,4.04775,10.0,4000,0.006146382181204729,0.006106776931204728
0.03154786722400966,2,naive,59.68665385225154,59.323958852251536,3.643,11.0,4000,0.0059686653852251545,0.005932395885225154
0.03154786722400966,3,oracle,63.072227570096274,62.98042757009628,2.4605,1.0,4000,0.006307222757009628,0.006298042757009628
0.03154786722400966,3,belief,63.01314432579818,62.92134432579819,2.4605,1.0,4000,0.006301314432579818,0.006292134432579818
0.03154786722400966,3,randomised,63.009425825861726,62.917625825861734,2.4605,1.0,4000,0.006300942582586172,0.006291762582586173
0.03154786722400966,3,naive,65.27880929558457,65.12851679558456,2.94725,1.0,4000,0.006527880929558456,0.0065128516795584564
0.03154786722400966,4,oracle,65.77211397794815,65.28853897794816,5.566,8.0,4000,0.006577211397794816,0.006528853897794816
0.03154786722400966,4,belief,65.85190181428231,65.36832681428233,5.566,8.0,4000,0.006585190181428231,0.006536832681428233
0.03154786722400966,4,randomised,65.86487341441273,65.38129841441274,5.566,8.0,4000,0.006586487341441272,0.0065381298414412745
0.03154786722400966,4,naive,63.875964575961916,62.620929575961924,8.542,15.0,4000,0.006387596457596192,0.006262092957596192
0.03154786722400966,5,oracle,71.24406122939098,71.13250122939098,2.6225,3.0,4000,0.007124406122939098,0.007113250122939098
0.03154786722400966,5,belief,71.29673343404079,71.18517343404079,2.6225,3.0,4000,0.007129673343404078,0.007118517343404079
0.03154786722400966,5,randomised,71.24535869684308,71.13379869684309,2.6225,3.0,4000,0.0071245358696843085,0.007113379869684309
0.03154786722400966,5,naive,72.72934989321209,72.43301239321208,3.81425,7.0,4000,0.007272934989321209,0.007243301239321208
0.03154786722400966,6,oracle,71.90303595396826,71.72605345396825,3.85775,1.0,4000,0.007190303595396826,0.007172605345396824
0.03154786722400966,6,belief,71.93316161929731,71.7561791192973,3.85775,1.0,4000,0.007193316161929731,0.00717561791192973
0.03154786722400966,6,randomised,71.99679726314481,71.8198147631448,3.85775,1.0,4000,0.007199679726314482,0.0071819814763144805
0.03154786722400966,6,naive,70.83523577392141,70.6582532739214,3.85775,1.0,4000,0.007083523577392141,0.007065825327392141
0.03154786722400966,7,oracle,59.29555553155939,59.16878553155939,2.6735,5.0,4000,0.005929555553155939,0.005916878553155939
0.03154786722400966,7,belief,59.3266058968631,59.1998358968631,2.6735,5.0,4000,0.0059326605896863095,0.00591998358968631
0.03154786722400966,7,randomised,59.263461101875976,59.136691101875975,2.6735,5.0,4000,0.005926346110187598,0.005913669110187598
0.03154786722400966,7,naive,59.579795533095194,59.47090553309519,2.4125,5.0,4000,0.005957979553309519,0.005947090553309519
0.03154786722400966,8,oracle,79.06042522932626,78.35321272932626,6.28175,14.0,4000,0.007906042522932626,0.007835321272932625
0.03154786722400966,8,belief,78.83356550941471,78.12005050941471,6.363,14.0,4000,0.00788335655094147,0.007812005050941472
0.03154786722400966,8,randomised,78.75556303658573,78.04204803658573,6.363,14.0,4000,0.007875556303658573,0.007804204803658573
0.03154786722400966,8,naive,74.14205572943911,71.46437822943916,12.73925,25.0,4000,0.007414205572943911,0.007146437822943916
0.03154786722400966,9,oracle,57.484825913854024,57.431953413854025,1.84475,1.0,4000,0.0057484825913854025,0.005743195341385402
0.03154786722400966,9,belief,58.66230478606633,58.62747228606633,1.42225,0.0,4000,0.005866230478606633,0.0058627472286066325
0.03154786722400966,9,randomised,57.35787296173635,57.30500046173635,1.84475,1.0,4000,0.005735787296173634,0.005730500046173635
0.03154786722400966,9,naive,60.777461390975645,60.65754889097565,2.73025,4.0,4000,0.006077746139097565,0.006065754889097564
0.03154786722400966,10,oracle,68.94233290237412,68.78056790237412,3.0235,5.0,4000,0.006894233290237412,0.006878056790237412
0.03154786722400966,10,belief,68.90448803425221,68.74272303425221,3.0235,5.0,4000,0.006890448803425222,0.0068742723034252206
0.03154786722400966,10,randomised,69.46271415607049,69.31354165607048,2.91825,4.0,4000,0.006946271415607049,0.006931354165607048
0.03154786722400966,10,naive,69.50187901467916,69.33843151467916,2.99225,4.0,4000,0.006950187901467916,0.006933843151467915
0.03154786722400966,11,oracle,65.51260390997322,65.25255890997323,3.8945,8.0,4000,0.006551260390997322,0.006525255890997323
0.03154786722400966,11,belief,66.5789642821245,66.3650017821245,3.53025,7.0,4000,0.00665789642821245,0.006636500178212449
0.03154786722400966,11,randomised,65.57492411804037,65.31487911804038,3.8945,8.0,4000,0.006557492411804037,0.006531487911804038
0.03154786722400966,11,naive,66.7218798838669,66.41429238386691,4.41725,8.0,4000,0.00667218798838669,0.0066414292383866905
0.03154786722400966,12,oracle,71.13949086624791,71.05829836624791,1.56925,6.0,4000,0.007113949086624791,0.007105829836624791
0.03154786722400966,12,belief,71.11680451256052,71.03561201256052,1.56925,6.0,4000,0.007111680451256052,0.007103561201256051
0.03154786722400966,12,randomised,71.07637288064484,70.99518038064484,1.56925,6.0,4000,0.007107637288064484,0.007099518038064484
0.03154786722400966,12,naive,67.75960817523173,67.50365317523173,3.026,10.0,4000,0.006775960817523173,0.006750365317523174
0.03154786722400966,13,oracle,81.05974288299126,80.87340038299126,3.27975,3.0,4000,0.008105974288299126,0.008087340038299126
0.03154786722400966,13,belief,81.26103456557342,81.06125706557343,3.37125,3.0,4000,0.008126103456557341,0.008106125706557343
0.03154786722400966,13,randomised,81.21897951316356,81.03263701316357,3.27975,3.0,4000,0.008121897951316357,0.008103263701316357
0.03154786722400966,13,naive,79.81612807924603,79.21235057924602,5.68925,9.0,4000,0.007981612807924603,0.007921235057924603
0.03154786722400966,14,oracle,71.90475417799519,71.71512417799518,2.9235,7.0,4000,0.007190475417799518,0.007171512417799519
0.03154786722400966,14,belief,71.89415820343379,71.70452820343378,2.9235,7.0,4000,0.007189415820343379,0.007170452820343378
0.03154786722400966,14,randomised,71.93587473872469,71.74624473872468,2.9235,7.0,4000,0.007193587473872469,0.007174624473872469
0.03154786722400966,14,naive,72.70843928776844,72.38786178776844,3.34775,10.0,4000,0.007270843928776844,0.0072387861787768445
0.03154786722400966,15,oracle,60.63729469174757,60.08408219174757,6.36875,10.0,4000,0.006063729469174757,0.006008408219174757
0.03154786722400966,15,belief,60.624237072815845,60.071024572815844,6.36875,10.0,4000,0.006062423707281585,0.006007102457281584
0.03154786722400966,15,randomised,60.70074212969655,60.14752962969655,6.36875,10.0,4000,0.006070074212969655,0.006014752962969655
0.03154786722400966,15,naive,62.312466464754834,59.946523964754874,12.41625,22.0,4000,0.006231246646475484,0.0059946523964754875
0.03154786722400966,16,oracle,76.10338403051469,75.92256153051468,2.78275,6.0,4000,0.007610338403051469,0.0075922561530514686
0.03154786722400966,16,belief,74.87312386247822,74.72713636247822,2.73425,5.0,4000,0.007487312386247823,0.007472713636247822
0.03154786722400966,16,randomised,76.1354142844882,75.9545917844882,2.78275,6.0,4000,0.00761354142844882,0.0075954591784488205
0.03154786722400966,16,naive,75.20454834614748,75.01901084614748,2.95275,6.0,4000,0.007520454834614748,0.0075019010846147476
0.03154786722400966,17,oracle,57.91251229319823,57.78942729319823,2.8785,3.0,4000,0.005791251229319823,0.005778942729319823
0.03154786722400966,17,belief,57.97793225399175,57.85484725399175,2.8785,3.0,4000,0.005797793225399176,0.005785484725399175
0.03154786722400966,17,randomised,57.81672461749872,57.69363961749872,2.8785,3.0,4000,0.005781672461749872,0.005769363961749872
0.03154786722400966,17,naive,58.35727825186403,58.247735751864035,2.88725,0.0,4000,0.005835727825186403,0.005824773575186404
0.03154786722400966,18,oracle,63.35935974449745,63.14251474449745,3.41,3.0,4000,0.006335935974449746,0.006314251474449745
0.03154786722400966,18,belief,63.455051984762434,63.23820698476243,3.41,3.0,4000,0.006345505198476244,0.006323820698476243
