n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,mean_episode_length,total_timesteps,tag,learner_seed,training_env_seed
5,23.7289709709644,34.4169035340372,23.909528217894266,4.8,-0.000985282344127084,0.0011645806596010417,0.0011467881908742996,0.002515031141475225,276.6,0,baseline_untrained,2,70000
5,17.528056518159268,47.810140264328396,18.053736311383563,9.2,0.08310066216671738,-0.0844459700649328,0.06908401662380523,0.028026263416226892,276.6,16000,timestep_16000,2,70000
5,22.50789280071097,42.343964503892536,22.96761799963475,8.8,0.05561195663037587,-0.03629907943286131,0.18330277127823802,0.07810279004893968,276.6,32000,timestep_32000,2,70000
5,12.051143702318129,48.57696428392213,12.417919342862842,9.0,0.10351386792060972,0.050465305125211524,0.1833852313836439,0.11004322029948661,276.6,48000,timestep_48000,2,70000
5,11.720104412082598,46.253657644397215,12.23542927073961,11.2,0.17313931916859904,0.025942497372149813,0.22651158904276403,0.10392079070503296,276.6,64000,timestep_64000,2,70000
5,16.743010447158394,41.73571524609527,16.990131727001177,7.2,0.20206358193992943,0.21434382606359684,0.2583566058647884,0.11483965243023161,276.6,80000,timestep_80000,2,70000
5,19.845866815713993,27.363080312242225,20.09716494849714,7.8,0.29225561425052127,0.23412800830804398,0.3257367036895707,0.1295813697013941,276.6,96000,timestep_96000,2,70000
5,23.40851649126847,21.456160963695798,23.472516001411034,3.2,0.3021991572929351,0.32001910094960995,0.1839415304799565,0.11232769455808848,276.6,112000,timestep_112000,2,70000
5,21.554273975232416,25.851142229386213,21.68654275270108,4.4,0.29286975722892705,0.1926647516900831,0.26012621651410583,0.10308408242420783,276.6,128000,timestep_128000,2,70000
5,25.38511513734135,21.949978424256916,25.55584578549115,5.6,0.2792284760243022,0.27990308903367817,0.308500464130359,0.1408341462168028,276.6,144000,timestep_144000,2,70000
5,17.73202094940192,20.065775156865673,17.961912194631402,6.2,0.3214205034118919,0.2650992772578978,0.29011651287618767,0.18048088710044727,276.6,160000,timestep_160000,2,70000
5,10.796767817352128,24.47296369150851,10.988712916189135,5.8,0.48104347927487084,0.3045647975854678,0.307996900911274,0.22450811764978662,276.6,176000,timestep_176000,2,70000
5,14.245884334559246,17.785968599714895,14.300221751634563,3.0,0.5429383640690011,0.43141204513480114,0.23607778700001886,0.17220380339088295,276.6,192000,timestep_192000,2,70000
5,8.721138986763162,22.41635697698478,8.816073514722296,4.0,0.6467833010532333,0.3498282912823648,0.2593101017274771,0.1399711661249662,276.6,200000,final_post_training,2,70000
