training_seed,n,full_obj_mean,full_obj_std,raw_pnl_mean,raw_pnl_std,mean_signed_inv,mean_abs_inv,term_signed_inv_mean,term_signed_inv_std,term_abs_inv_mean,term_inv_min,term_inv_max,frac_terminal_positive,bid_mean,ask_mean,bid_std,ask_std,mean_quoted_spread,max_reconciliation,recurrent_state_verified
0,30,92.8658729693068,573.1226084946347,122.50780555264028,571.150462138682,42.785875,42.786791666666666,76.93333333333334,8.729392811105175,76.93333333333334,61.0,93.0,1.0,-0.7850053455193837,0.24660377024350064,0.0692297204584562,0.01714837173785457,4.653691971826985,2.4556356947869062e-11,True
1,30,38.58079674618791,57.31554517891508,38.807589746187894,57.323426631616755,2.1289500000000006,3.229366666666666,3.6666666666666665,4.751285367527209,4.533333333333333,-8.0,13.0,0.7666666666666667,-0.06689138074632109,0.03377511806356095,0.0034867010779395732,0.0071993736175915155,3.2246422436744195,5.4143356464919634e-12,True
2,30,-220.7868691310334,623.2616901336996,-187.48408304770027,616.5161431344509,-43.014575,43.021474999999995,-85.96666666666667,15.191838401687548,85.96666666666667,-112.0,-55.0,0.0,-0.6256326188405354,-1.0,0.005764489585089998,0.0,2.4954382898847256,1.9326762412674725e-11,True
3,30,29.900737213539127,47.502526564836025,30.107206463539125,47.5436421396702,3.0738250000000003,3.1412916666666666,6.533333333333333,2.738402924098761,6.533333333333333,1.0,11.0,1.0,0.23542473635313407,0.9514716801350315,0.032566376142058005,0.07164632231022507,4.169286136416155,6.536993168992922e-12,True
