n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
10,42.919606339948295,18.238582375950603,43.10868258994844,3.8,-0.0022537444788086987,0.0007530006388564289,0.001298451251545251,0.0009869725192897544,0,baseline_untrained
10,38.703311130856335,16.274499921567614,38.8705716308567,4.5,-0.043367727735301016,0.07481979024554603,0.0415965172148951,0.0350366081239811,8000,timestep_8000
10,43.34700790656003,17.418439029648862,43.52225415656079,3.8,-0.001504209583683405,0.08385508836675436,0.022714258716381684,0.11758532984753049,16000,timestep_16000
10,43.81121115364314,20.27826647181922,43.97622090364349,3.6,-0.0006609521864331327,0.10275973806502298,0.010639491522283448,0.15906865335875595,24000,timestep_24000
10,49.35939485400128,27.498390617276222,49.561322354000495,4.0,-0.026892943065334112,0.08541806666475604,0.012681037491930456,0.17179443863849098,32000,timestep_32000
10,47.62456656189535,35.42394845012488,47.85257206189516,4.9,-0.09192619457276305,0.059306874528573826,0.03139951659075148,0.2240058853283919,40000,timestep_40000
10,30.495782083019623,30.71793515975319,30.90861933301984,8.7,-0.19019677616441621,0.15861466678512515,0.05338267571859899,0.20881493229649342,48000,timestep_48000
10,29.938283742872933,35.40596155541857,30.47854324287306,10.1,-0.2369357947524637,0.14783385759309167,0.06016872755047009,0.23698147829898702,56000,timestep_56000
10,29.736290731886026,21.65255340659345,30.043955231885644,7.4,-0.1329021828317549,0.19643097447063773,0.05036922755129699,0.21991344233914187,64000,timestep_64000
10,26.362754142692882,26.30908187398915,26.558320642692564,5.7,-0.05492643590664957,0.2396522523350548,0.09913194217279482,0.218699132230684,72000,timestep_72000
10,33.33722467541325,23.23901047030247,33.586928175413576,6.9,-0.055397132592299024,0.32388819802340585,0.02933775711446905,0.2634700889042585,80000,timestep_80000
10,37.174017408919646,20.698498895979938,37.33034815891973,4.0,0.03323896163397003,0.276501494408201,0.08229936659803859,0.23584302265554513,88000,timestep_88000
10,34.47116200848148,24.111595168124225,34.6727375084817,5.7,-0.02046027086735703,0.3272698652416002,0.05118929082875301,0.27008872826555125,96000,timestep_96000
10,36.17728168083881,24.9941846455734,36.413352430838806,6.0,-0.052657293285196645,0.2587178341863211,0.02901174657896363,0.25318854950370057,100000,final_post_training
