n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
5,43.499845184955646,17.455754010501302,43.72673068495557,4.0,0.002693542715307558,0.0010793034130474552,0.0002614604131137943,0.00017501910550807187,0,baseline_untrained
5,35.060896750789645,60.629636984251015,35.362349750789406,8.2,-0.30762939766421915,-0.1182012916367501,0.03958135658310607,0.012561909495002844,40000,timestep_40000
5,67.95658892929167,35.77179860487654,68.39893942929119,5.2,-0.17180554750300944,-0.23156610779985787,0.011989869136619863,0.010234624916916476,80000,timestep_80000
5,28.58592297989672,59.901412051050755,28.8465199798968,7.4,-0.3384298628926277,-0.11365760169513524,0.055064870519151446,0.020518921522291945,120000,timestep_120000
5,34.8781055346875,63.982882067183255,35.19742053468717,8.6,-0.3349980709567666,-0.1273456377632916,0.020421824294444797,0.008110139754178907,160000,timestep_160000
5,24.627315449542213,27.875560743595553,24.873093949542636,7.2,-0.15700459183827042,0.10546261400356889,0.009827087980113596,0.005047001268089272,200000,timestep_200000
5,19.480010524926968,48.84891670244552,19.79610902492692,8.8,-0.2192659813091159,0.05504526118468493,0.017050482601246555,0.005977485608005232,200000,final_post_training
