metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,training_seed,level
raw_pnl,200,33.51018584352526,59.248866001814314,4.1895274927495985,37.151464516542745,0.963740541476362,68.08573551774731,67.12199497627094,25.298711957736046,41.72165972931447,0.245,205.7301208033192,hamilton_ppo,1.0,within_training_seed
full_objective,200,33.138361568525255,59.28978021404777,4.192420564441317,36.71472451654273,0.7691742914763652,67.56224902914356,66.7930747376672,24.921217262220274,41.355505874830236,0.245,204.96702080331926,hamilton_ppo,1.0,within_training_seed
mean_abs_inventory,200,5.0631375,1.9539483599395102,0.13816501354015606,4.851875,3.7973125,6.1771875,2.3798749999999997,4.792334073461294,5.333940926538705,0.0,11.339,hamilton_ppo,1.0,within_training_seed
terminal_abs_inventory,200,4.335,2.81645826987187,0.19915367415553306,4.0,2.0,6.0,4.0,3.9446587986551553,4.725341201344845,0.0,17.0,hamilton_ppo,1.0,within_training_seed
raw_pnl,200,37.866139662193355,97.45558307218442,6.8911503654830515,38.22740490719829,-13.960629315566905,87.74270708911774,101.70333640468465,24.359484945846575,51.372794378540135,0.325,332.36046494618085,return_lstm_ppo,1.0,within_training_seed
full_objective,200,36.62162733719337,97.51217768740364,6.895152209103066,37.693386157198304,-14.996537440566886,86.85987521411776,101.85641265468465,23.107129007351357,50.13612566703537,0.325,330.9720124461809,return_lstm_ppo,1.0,within_training_seed
mean_abs_inventory,200,7.863742500000001,3.4480231756278963,0.24381205691748595,7.766375,5.416437500000001,10.3834375,4.966999999999999,7.385870868441728,8.341614131558273,0.0,17.73625,return_lstm_ppo,1.0,within_training_seed
terminal_abs_inventory,200,14.84,6.195670396195351,0.4381000551146476,15.0,11.0,19.0,8.0,13.98132389197529,15.69867610802471,0.0,34.0,return_lstm_ppo,1.0,within_training_seed
raw_pnl,200,32.90190925335197,34.49696047261109,2.439303468050759,34.72733621929774,14.631918647732224,51.05782390226575,36.42590525453353,28.12087445597248,37.68294405073145,0.155,143.95093256407108,return_mlp_ppo,1.0,within_training_seed
full_objective,200,32.77754202835197,34.51166277960084,2.4403430781479125,34.62964094143292,14.601666147732223,50.96851566122462,36.3668495134924,27.994469595182057,37.56061446152187,0.155,143.51173756407107,return_mlp_ppo,1.0,within_training_seed
mean_abs_inventory,200,2.6097175,1.24129839101905,0.0877730509765521,2.3695000000000004,1.721125,3.2546874999999997,1.5335624999999997,2.437682320085958,2.781752679914042,0.0,6.942,return_mlp_ppo,1.0,within_training_seed
terminal_abs_inventory,200,3.235,2.310077333431104,0.1633471347534471,3.0,1.0,5.0,4.0,2.9148396158832437,3.555160384116756,0.0,10.0,return_mlp_ppo,1.0,within_training_seed
