n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
5,43.41718427148824,17.475442450621344,43.64406977148816,4.0,0.0004024804112405775,-0.0008236660950585986,0.0013814891616915465,0.0005184790600537408,0,baseline_untrained
5,43.53977916505191,28.55172001947159,43.8088086650519,5.6,0.023919312856579198,0.04579423594067339,0.020932596194448934,0.1307343996884142,40000,timestep_40000
5,23.987394757404378,22.211352643431695,24.134978257405287,4.2,-0.014297056189039722,0.15637589140092023,0.050720502472941374,0.07179458810729303,80000,timestep_80000
5,7.149656766819705,39.64416424591044,7.375130766819899,5.8,0.017937709571793675,0.31797883910918606,0.028543585510637844,0.10499050782371104,120000,timestep_120000
5,-14.854102527458897,63.16906953355224,-14.367343527458354,8.8,-0.1285649283870822,0.34611425222335385,0.08971170831721703,0.1480143130513132,160000,timestep_160000
5,-23.59185713000486,90.91652318874145,-22.821717630003445,11.4,-0.2113855383024318,0.2757954455735162,0.13155987014082732,0.14048259982983408,200000,timestep_200000
5,-36.26530876648702,96.21161015032729,-35.256834266486045,13.0,-0.2183354552957928,0.3413086893118918,0.1377137360224614,0.14919882521176436,200000,final_post_training
