training_seed,mean_symmetry_error,max_symmetry_error
0,0.7409031531086775,1.3314513564109802
1,0.529312227453773,0.9225649833679199
2,0.5367209802334658,1.0791998133063316
3,0.47936920967009483,1.1012794971466064
4,0.48826371919307293,1.0356796979904175
