q,tau,b,bid_action,ask_action_mirror,symmetry_error
-20,1.0,0.0,-0.27656322717666626,0.5505442023277283,-0.8271074295043945
-20,1.0,0.1,-0.2856332063674927,0.6007451415061951,-0.8863783478736877
-20,1.0,0.2,-0.29458746314048767,0.6494508385658264,-0.9440383017063141
-20,1.0,0.3,-0.303367018699646,0.696510910987854,-0.9998779296875
-20,1.0,0.4,-0.31191763281822205,0.7418026328086853,-1.0537202656269073
-20,1.0,0.5,-0.3201911151409149,0.7852327823638916,-1.1054238975048065
-20,1.0,0.6,-0.32814571261405945,0.8267383575439453,-1.1548840701580048
-20,1.0,0.7,-0.33574631810188293,0.8662846684455872,-1.20203098654747
-20,1.0,0.8,-0.3429644703865051,0.9038642644882202,-1.2468287348747253
-20,1.0,0.9,-0.3497777581214905,0.9394927024841309,-1.2892704606056213
-20,1.0,1.0,-0.35616928339004517,0.9732059836387634,-1.3293752670288086
-20,0.75,0.0,-0.2514289617538452,0.6903896331787109,-0.9418185949325562
-20,0.75,0.1,-0.2605591118335724,0.7394928336143494,-1.0000519454479218
-20,0.75,0.2,-0.26957154273986816,0.786834180355072,-1.0564057230949402
-20,0.75,0.3,-0.27840656042099,0.8322875499725342,-1.1106941103935242
-20,0.75,0.4,-0.2870091497898102,0.8757566213607788,-1.162765771150589
-20,0.75,0.5,-0.295330286026001,0.9171756505966187,-1.2125059366226196
-20,0.75,0.6,-0.30332741141319275,0.956508994102478,-1.2598364055156708
-20,0.75,0.7,-0.31096455454826355,0.9937490820884705,-1.304713636636734
-20,0.75,0.8,-0.3182121813297272,1.0,-1.3182121813297272
-20,0.75,0.9,-0.3250470459461212,1.0,-1.3250470459461212
-20,0.75,1.0,-0.3314513564109802,1.0,-1.3314513564109802
-20,0.5,0.0,-0.222370445728302,0.8243137001991272,-1.0466841459274292
-20,0.5,0.1,-0.2315213978290558,0.8717066645622253,-1.1032280623912811
-20,0.5,0.2,-0.2405550479888916,0.9171293377876282,-1.1576843857765198
-20,0.5,0.3,-0.24941140413284302,0.9604820609092712,-1.2098934650421143
-20,0.5,0.4,-0.2580353319644928,1.0,-1.2580353319644928
-20,0.5,0.5,-0.2663775384426117,1.0,-1.2663775384426117
-20,0.5,0.6,-0.27439525723457336,1.0,-1.2743952572345734
-20,0.5,0.7,-0.2820521593093872,1.0,-1.2820521593093872
-20,0.5,0.8,-0.2893182933330536,1.0,-1.2893182933330536
-20,0.5,0.9,-0.2961699664592743,1.0,-1.2961699664592743
-20,0.5,1.0,-0.3025889992713928,1.0,-1.3025889992713928
-20,0.25,0.0,-0.18916431069374084,0.9485757350921631,-1.137740045785904
-20,0.25,0.1,-0.19829493761062622,0.9938226342201233,-1.1921175718307495
-20,0.25,0.2,-0.20731306076049805,1.0,-1.207313060760498
-20,0.25,0.3,-0.21615886688232422,1.0,-1.2161588668823242
-20,0.25,0.4,-0.22477760910987854,1.0,-1.2247776091098785
-20,0.25,0.5,-0.2331203818321228,1.0,-1.2331203818321228
-20,0.25,0.6,-0.24114468693733215,1.0,-1.2411446869373322
-20,0.25,0.7,-0.24881446361541748,1.0,-1.2488144636154175
-20,0.25,0.8,-0.2561000883579254,1.0,-1.2561000883579254
-20,0.25,0.9,-0.2629779279232025,1.0,-1.2629779279232025
-20,0.25,1.0,-0.2694302499294281,1.0,-1.269430249929428
-20,0.05,0.0,-0.15964794158935547,1.0,-1.1596479415893555
-20,0.05,0.1,-0.16872993111610413,1.0,-1.1687299311161041
-20,0.05,0.2,-0.17770785093307495,1.0,-1.177707850933075
-20,0.05,0.3,-0.18652251362800598,1.0,-1.186522513628006
-20,0.05,0.4,-0.19511979818344116,1.0,-1.1951197981834412
-20,0.05,0.5,-0.20345163345336914,1.0,-1.2034516334533691
-20,0.05,0.6,-0.21147608757019043,1.0,-1.2114760875701904
-20,0.05,0.7,-0.219157874584198,1.0,-1.219157874584198
-20,0.05,0.8,-0.22646793723106384,1.0,-1.2264679372310638
-20,0.05,0.9,-0.2333834171295166,1.0,-1.2333834171295166
-20,0.05,1.0,-0.23988699913024902,1.0,-1.239886999130249
-15,1.0,0.0,-0.27571335434913635,0.4995434880256653,-0.7752568423748016
