n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
10,44.85015590406327,22.582035881226126,44.99995315406384,3.5,-0.0009225146522721843,0.002986508944950765,0.00020254868769661703,0.00018069932035591162,0,baseline_untrained
10,46.18352323530691,24.86098199648139,46.439172485307225,5.2,0.06958111548386514,-0.05943429621239193,0.02190932277449896,0.02143912218091526,16000,timestep_16000
10,44.30930083066574,19.26789604726771,44.400461080666915,2.5,0.04108647875173483,0.05050714349300251,0.03256621185287351,0.027575105600510772,32000,timestep_32000
10,44.35523194006279,28.333637850444514,44.69250294006339,7.4,0.15932919308040291,-0.07393836097083986,0.04190436439903791,0.024497391758015435,48000,timestep_48000
10,42.34853248400656,37.72433785891181,42.913719984005546,10.2,0.35186921166814866,-0.05655186194605194,0.05366706804588742,0.01739515431067512,64000,timestep_64000
10,47.60656811676754,57.522115405694265,49.09033436676784,17.5,0.41668975054956975,-0.20429571560136975,0.06296060317936732,0.024094339565378268,80000,timestep_80000
10,49.57280058357628,54.53617644263064,51.0250138335759,17.3,0.38760024743378163,-0.23180181178823114,0.07378024707875622,0.016806968247801864,96000,timestep_96000
10,49.83866845175366,62.22694448308519,51.423575951754586,17.7,0.4733392026416957,-0.21599370972253382,0.04980390943257213,0.012342172748296744,112000,timestep_112000
10,49.469326059373145,75.62808665469343,52.35470155937323,25.3,0.593567806173116,-0.3176915485028178,0.09166788039568942,0.018770310933101976,128000,timestep_128000
10,49.116032179902014,79.07195116787408,52.35125467990292,26.8,0.4540449233174324,-0.3624888183835894,0.09674742042340673,0.03506724844958892,144000,timestep_144000
10,44.44233359432489,35.51032082907929,45.03981359432499,10.1,0.2252900393838063,-0.09997086670692079,0.06616998275216583,0.037826107136911855,160000,timestep_160000
10,50.09717341724669,27.347921172705163,50.748526667246594,11.0,-0.10692939403566998,0.059197527221846395,0.1615429531057017,0.10252392980970568,176000,timestep_176000
10,46.20396886376488,24.94636952648701,46.53198186376509,6.5,-0.07648365695489337,0.13417656306737627,0.06654405772099761,0.07024778522455143,192000,timestep_192000
10,48.324985751736286,25.2540627659886,48.76159225173686,7.9,-0.13156023494737457,0.173006420830125,0.06125699019927428,0.057191793193684524,200000,final_post_training
