n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag,learner_seed,training_env_seed
10,44.885200905284556,22.62397911928534,45.038686405285105,3.5,0.0005528197049704886,-0.00010447674091427928,0.00045953721580260163,0.0003655088552923925,0,baseline_untrained,2,70000
10,46.62314568678853,21.217807842453972,46.75122393678886,3.3,0.1293089216914028,0.041003079327754675,0.007886496755146265,0.008767830797937547,16000,timestep_16000,2,70000
10,52.02821694542339,44.84450843337982,52.93800669542202,13.1,0.19957971998043358,-0.20037580706737937,0.0323411155144854,0.01984312144954271,32000,timestep_32000,2,70000
10,52.67852309972061,48.44004163305686,53.80393859972073,14.8,0.2906447158206254,-0.19320500784628095,0.02799076229073124,0.012050714758363603,48000,timestep_48000,2,70000
10,50.01123694562408,55.37449650976375,51.21145844562324,14.8,0.48871320417523384,-0.13096677493136377,0.016397379481981524,0.014196671191051186,64000,timestep_64000,2,70000
10,48.092974841719034,57.05644408782847,49.269991841717555,14.8,0.5060664826072753,-0.1324514207119122,0.04031744715848301,0.007892526026673598,80000,timestep_80000,2,70000
10,44.987521766819235,50.516270205096305,45.98993976681918,13.6,0.38307820105627177,-0.1295612246086821,0.03013778079260167,0.004882290813577999,96000,timestep_96000,2,70000
10,43.83197560480216,49.47430564697328,44.747080354801916,12.8,0.38577812450528143,-0.09167485694251955,0.008909828495867722,0.007162183692283421,112000,timestep_112000,2,70000
10,44.212786807291124,45.228075081452424,45.0395503072908,12.2,0.34690366917103527,-0.09608544645607471,0.009206196830990467,0.002004742260718081,128000,timestep_128000,2,70000
10,50.357770481303575,51.031994722134655,51.629704231303855,16.2,0.29757228521481155,-0.23867065864130854,0.012223319920124083,0.009370899064776114,144000,timestep_144000,2,70000
10,62.82176762176467,85.5100224148695,65.49422837176478,23.7,0.2580152265496552,-0.34857674746662376,0.010923529579748192,0.011356025069819467,160000,timestep_160000,2,70000
10,51.78588535589372,48.50042179484887,52.87115260589396,14.6,0.1811746387846768,-0.23753329548053442,0.00615212808611415,0.004549788937591379,176000,timestep_176000,2,70000
10,56.85125844878498,65.78254523589692,59.0251709487851,21.2,0.29158459996171293,-0.3098348829060793,0.004795694049357873,0.00296363280365401,192000,timestep_192000,2,70000
10,48.43275411808331,60.877586508637044,49.88061611808364,17.2,0.38147514120489356,-0.22442687590047716,0.005928567761743076,0.002674723796896485,200000,final_post_training,2,70000
