comparison,n,mean_diff,se,ci_lo,ci_hi,median_diff,win_rate
correct_minus_stationary,50,-0.5087058196347126,4.0531828075852205,-8.452944122501744,7.435532483232319,0.1860845685005188,0.58
correct_minus_shuffled,50,1.5382601091907464,4.065642944140534,-6.4304000613247005,9.506920279706193,0.331937706071713,0.56
correct_minus_complement,50,54.90763426576261,45.387753149762844,-34.052361907772564,143.86763043929778,4.907859609413531,0.62
