n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,mean_episode_length,total_timesteps,tag,learner_seed,training_env_seed
5,23.79201626660286,34.39624775276254,23.972573513532726,4.8,0.0021924755615412178,0.00034439594607850655,0.001541520366231034,0.0005686260253870642,276.6,0,baseline_untrained,4,70000
5,24.438858802138498,30.053199057439564,24.55922556760603,3.6,0.07416389741536179,0.07850313319281532,0.03597339845593514,0.05784743334416751,276.6,16000,timestep_16000,4,70000
5,16.719744351178377,34.080089240923805,16.950761390034295,5.6,0.19216631521590039,0.09082072449946374,0.08803249065833017,0.07008536681702936,276.6,32000,timestep_32000,4,70000
5,23.20775358721863,33.72524948089093,23.394066380871454,4.6,0.14491346733986696,0.1009138969156355,0.10710810928180434,0.1748928396252214,276.6,48000,timestep_48000,4,70000
5,27.74255803996971,32.54489114022051,27.856672528712657,3.4,0.12135864891730039,0.1327636948330779,0.14833702222749698,0.15299038138842758,276.6,64000,timestep_64000,4,70000
5,25.948932680283043,49.17278845621815,26.289950434809686,5.6,0.13541446807602353,0.028496682837158335,0.24813565106743532,0.1731504472122717,276.6,80000,timestep_80000,4,70000
5,25.355034910680768,36.743921470962995,25.496656600204794,3.4,0.05630907381797884,0.05829871334630487,0.1961938779980685,0.14284509632193218,276.6,96000,timestep_96000,4,70000
5,27.802748193334686,23.924448057510403,27.877458269080684,2.8,0.18864325223596995,0.15403194340425377,0.18649113883026958,0.11005949853584451,276.6,112000,timestep_112000,4,70000
5,26.863241522058047,26.223944852770273,26.936154784582698,2.8,0.25506036184540937,0.24561676833999496,0.22743962914956076,0.17160462029606963,276.6,128000,timestep_128000,4,70000
5,31.816105436062497,21.544135370742122,31.868541842897947,2.6,0.2999463283058878,0.2757181596449985,0.2279960647280399,0.18001707318715096,276.6,144000,timestep_144000,4,70000
5,24.551880725986187,16.207420657934453,24.63753385873546,3.0,0.4524183662046644,0.3726861332066759,0.25832890837332484,0.18934842500339222,276.6,160000,timestep_160000,4,70000
5,16.46627394336306,18.149686262784286,16.552123889007806,3.4,0.5290213716947032,0.36403551262107914,0.27303971450993064,0.16422260945001818,276.6,176000,timestep_176000,4,70000
5,13.22620073057352,24.19902502361554,13.337214478849848,3.8,0.6160587204683542,0.35243554185033493,0.28771641292829364,0.15126520697454582,276.6,192000,timestep_192000,4,70000
5,8.769899946510407,31.8887239332828,8.990523540419925,5.6,0.5511109967280343,0.25717767305936146,0.3022669614982825,0.1284590070155388,276.6,200000,final_post_training,4,70000
