n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
5,42.814290145890425,18.409619884159753,43.05260164589032,4.2,-0.0009452932383024745,0.002985477360425284,0.0002163069226231273,0.0001796945192273957,0,baseline_untrained
5,50.55142913299734,20.76573606438419,50.801027632996735,4.8,-0.03875561624187976,-0.04229042332237586,0.005681199714791866,0.008714774867525671,20000,timestep_20000
5,43.50043914990183,19.002068090363554,43.744975649901406,4.0,0.08001321673523634,0.012113221973844339,0.009470644153413367,0.006158414600322741,40000,timestep_40000
5,77.06160980978845,38.71608206894026,77.75944380978754,9.6,0.062271420921944085,-0.19287004518285394,0.0037497356537699498,0.018911955582148823,60000,timestep_60000
5,61.85971826258541,26.892692149483388,62.352622262585214,7.2,0.06045525087155402,-0.14091684104651211,0.0013439530129575315,0.011547890925029301,60000,final_post_training
