metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,100,46.69348354306902,44.18978503799491,4.418978503799491,50.64862857452617,30.025058654624228,72.91046774871921,42.88540909409498,38.03228567562202,55.35468141051602,0.1,158.67735364465844,belief_weighted,pooled_all_seeds
raw_pnl,100,46.893921293069035,44.16189330315846,4.416189330315846,50.832523574526164,30.14206740462423,73.0442457033924,42.90217829876818,38.23819020564998,55.54965238048809,0.1,159.47649114465844,belief_weighted,pooled_all_seeds
mean_abs_inventory,100,3.05096,1.599313484235841,0.15993134842358409,2.4983750000000002,1.9919375,3.5494375,1.5574999999999999,2.737494557089775,3.3644254429102247,0.0,8.436,belief_weighted,pooled_all_seeds
terminal_abs_inventory,100,4.65,3.508647326336185,0.3508647326336185,4.0,2.0,7.0,5.0,3.962305124038108,5.337694875961892,0.0,18.0,belief_weighted,pooled_all_seeds
full_objective,100,37.022252080872114,44.980474534883605,4.49804745348836,38.14103437051388,11.687590634874525,64.78255961140805,53.09496897653352,28.206079072034928,45.838425089709304,0.17,169.0720779260028,hamilton_ppo,pooled_all_seeds
raw_pnl,100,37.24674368087212,44.95658710238729,4.495658710238729,38.303350620513875,11.752283134874524,65.13185961140806,53.379576476533536,28.435252608804213,46.05823475294003,0.17,169.6835254260028,hamilton_ppo,pooled_all_seeds
mean_abs_inventory,100,3.2088399999999995,1.6674050900253437,0.16674050900253437,2.854625,1.9535624999999999,4.4233125,2.46975,2.882028602355032,3.535651397644967,0.0,8.645,hamilton_ppo,pooled_all_seeds
terminal_abs_inventory,100,5.43,3.8277429591883734,0.3827742959188373,5.0,2.75,8.0,5.25,4.679762379999079,6.180237620000921,0.0,18.0,hamilton_ppo,pooled_all_seeds
full_objective,100,43.005217493740226,57.84458367192896,5.7844583671928955,53.65179970605871,22.944956258954264,76.32871240365527,53.38375614470101,31.66767909404215,54.3427558934383,0.18,178.0122116386009,naive,pooled_all_seeds
raw_pnl,100,43.31691489374023,57.72917430049508,5.7729174300495085,53.76994720605872,23.071960008954267,76.43618552865527,53.36422551970101,32.001996730843196,54.63183305663727,0.18,178.8716541386009,naive,pooled_all_seeds
