metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,training_seed,level
full_objective,100,25.865402170924767,109.28938965061712,10.928938965061713,37.08084324548901,-26.99961015701855,91.98104259328943,118.98065275030798,4.44468179940381,47.286122542445725,0.36,386.6082831178976,hamilton_ppo,0.0,within_training_seed
full_objective,100,21.12643074473005,42.98941409295588,4.298941409295589,25.16614660315488,3.4501076388557177,43.71774672701235,40.26763908815663,12.700505582510697,29.552355906949405,0.24,183.1976873208286,hamilton_ppo,1.0,within_training_seed
full_objective,100,24.911639701713696,40.319237423269286,4.031923742326929,30.18209783895776,-1.476163856870886,46.871879895616985,48.34804375248787,17.009069166752916,32.81421023667448,0.28,140.58806653747934,hamilton_ppo,2.0,within_training_seed
full_objective,100,23.322151061865902,105.47200033418007,10.547200033418006,34.6176395218028,-23.750510471259428,83.28097345743801,107.03148392869744,2.649638996366612,43.99466312736519,0.38,466.93323124666654,hamilton_ppo,3.0,within_training_seed
full_objective,100,30.4418353041831,177.04900262734188,17.70490026273419,35.18911810146065,-76.72764272780867,124.20607858227261,200.9337213100813,-4.259769210775907,65.14343981914212,0.39,559.0552585680788,hamilton_ppo,4.0,within_training_seed
full_objective,5,25.133491796683504,3.467741176662032,1.550820999878282,24.911639701713696,23.322151061865902,25.865402170924767,2.5432511090588648,22.09388263692207,28.173100956444937,0.0,30.4418353041831,hamilton_ppo,ALL,between_training_seeds
raw_pnl,100,27.993981345924748,109.19032003965519,10.919032003965519,38.359873245488984,-25.741367657018543,93.13851821828946,118.879885875308,6.5926786181523305,49.39528407369717,0.34,374.0113581178976,hamilton_ppo,0.0,within_training_seed
raw_pnl,100,21.392257194730064,43.028088878272456,4.302808887827245,25.25909889483041,3.5445057638557174,43.776987352012334,40.23248158815662,12.958751774588663,29.825762614871465,0.24,184.89127482082856,hamilton_ppo,1.0,within_training_seed
raw_pnl,100,25.1206903517137,40.31557148294908,4.031557148294908,30.324492838957767,-1.4135263568708822,46.99122364561698,48.40475000248786,17.21883834105568,33.02254236237172,0.28,141.19659903747936,hamilton_ppo,2.0,within_training_seed
raw_pnl,100,24.620489111865886,105.40484000027233,10.540484000027233,35.66916809814518,-21.65604340677738,84.228911582438,105.88495498921537,3.9611404718125094,45.27983775191926,0.38,470.9308112466665,hamilton_ppo,3.0,within_training_seed
raw_pnl,100,34.689901079183066,176.89466302977937,17.689466302977937,39.02655185146068,-69.76790772780873,129.64350108227256,199.4114088100813,0.0185471253463092,69.36125503301983,0.36,565.3914160680788,hamilton_ppo,4.0,within_training_seed
raw_pnl,5,26.763463816683497,5.012072597352443,2.241467007168799,25.1206903517137,24.620489111865886,27.993981345924748,3.373492234058862,22.370188482632653,31.156739150734342,0.0,34.689901079183066,hamilton_ppo,ALL,between_training_seeds
mean_abs_inventory,100,9.7214175,5.7617393514115856,0.5761739351411586,8.561250000000001,6.9319375,10.9285,3.9965624999999996,8.592116587123328,10.85071841287667,0.0,44.68525,hamilton_ppo,0.0,within_training_seed
mean_abs_inventory,100,3.598155,1.8135671653838978,0.18135671653838978,3.573875,2.4554375000000004,4.4288125,1.9733749999999999,3.2426958355847564,3.953614164415244,0.0,11.0975,hamilton_ppo,1.0,within_training_seed
mean_abs_inventory,100,3.708215,1.388994280000367,0.13889942800003668,3.6723749999999997,2.8722499999999997,4.426375,1.5541250000000004,3.4359721211199283,3.9804578788800717,0.0,7.7735,hamilton_ppo,2.0,within_training_seed
mean_abs_inventory,100,9.078285,3.3997599495658095,0.33997599495658093,9.05125,6.312625,11.1926875,4.8800625,8.4119320498851,9.744637950114898,0.0,19.01775,hamilton_ppo,3.0,within_training_seed
mean_abs_inventory,100,14.5807825,4.712609825322484,0.47126098253224835,14.051124999999999,11.9195,17.6688125,5.749312500000002,13.657110974236794,15.504454025763206,0.0,25.727,hamilton_ppo,4.0,within_training_seed
mean_abs_inventory,5,8.137370999999998,4.613403813749738,2.0631769070402384,9.078285,3.708215,9.7214175,6.013202499999999,4.093544262201131,12.181197737798865,0.0,14.5807825,hamilton_ppo,ALL,between_training_seeds
mean_signed_inventory,100,5.2643025,9.985204293007719,0.9985204293007719,7.93975,5.0493125,9.929437499999999,4.880124999999999,3.3072024585704876,7.221402541429513,0.13,44.68525,hamilton_ppo,0.0,within_training_seed
mean_signed_inventory,100,-3.4901900000000006,1.973191745445163,0.1973191745445163,-3.573875,-4.4288125,-2.3466875,2.0821250000000004,-3.8769355821072526,-3.1034444178927485,0.97,11.0975,hamilton_ppo,1.0,within_training_seed
mean_signed_inventory,100,-3.6950050000000005,1.4010005587548184,0.14010005587548185,-3.6723749999999997,-4.4085624999999995,-2.8722499999999997,1.5363124999999997,-3.969601109515945,-3.420408890484056,1.0,7.7735,hamilton_ppo,2.0,within_training_seed
mean_signed_inventory,100,9.069009999999999,3.4074169011188373,0.3407416901118837,8.986,6.3065,11.1926875,4.8861875,8.401156287380706,9.736863712619291,0.0,19.01775,hamilton_ppo,3.0,within_training_seed
mean_signed_inventory,100,14.558847499999999,4.719980024366944,0.4719980024366944,14.051124999999999,11.881375,17.6688125,5.787437500000001,13.633731415224078,15.48396358477592,0.0,25.727,hamilton_ppo,4.0,within_training_seed
mean_signed_inventory,5,4.341392999999999,7.961091099901798,3.560308174889798,5.2643025,-3.4901900000000006,9.069009999999999,12.559199999999999,-2.6368110227840047,11.319597022784002,0.4,14.558847499999999,hamilton_ppo,ALL,between_training_seeds
terminal_abs_inventory,100,18.2,11.075498483890767,1.1075498483890767,16.0,13.0,20.0,7.0,16.029202297157408,20.37079770284259,0.0,81.0,hamilton_ppo,0.0,within_training_seed
terminal_abs_inventory,100,6.47,3.217549729627541,0.3217549729627541,6.0,4.0,9.0,5.0,5.839360252993002,7.100639747006998,0.0,17.0,hamilton_ppo,1.0,within_training_seed
terminal_abs_inventory,100,3.7,2.139102048934921,0.21391020489349208,3.0,2.0,5.0,3.0,3.2807359984087556,4.119264001591245,0.0,9.0,hamilton_ppo,2.0,within_training_seed
terminal_abs_inventory,100,13.18,4.910059762231706,0.49100597622317055,13.0,9.0,16.0,7.0,12.217628286602585,14.142371713397415,0.0,28.0,hamilton_ppo,3.0,within_training_seed
terminal_abs_inventory,100,30.58,7.885775456190378,0.7885775456190378,31.0,26.0,36.25,10.25,29.034388010586685,32.125611989413315,0.0,51.0,hamilton_ppo,4.0,within_training_seed
terminal_abs_inventory,5,14.425999999999998,10.666446456060237,4.770179870822482,13.18,6.47,18.2,11.73,5.076447453187933,23.775552546812065,0.0,30.58,hamilton_ppo,ALL,between_training_seeds
terminal_signed_inventory,100,9.86,18.948638713398626,1.8948638713398627,15.0,11.0,19.0,8.0,6.146066812173869,13.57393318782613,0.12,81.0,hamilton_ppo,0.0,within_training_seed
terminal_signed_inventory,100,-6.47,3.217549729627541,0.3217549729627541,-6.0,-9.0,-4.0,5.0,-7.100639747006998,-5.839360252993002,0.97,17.0,hamilton_ppo,1.0,within_training_seed
terminal_signed_inventory,100,-3.68,2.173671659853089,0.21736716598530892,-3.0,-5.0,-2.0,3.0,-4.106039645331205,-3.2539603546687945,0.94,9.0,hamilton_ppo,2.0,within_training_seed
terminal_signed_inventory,100,13.18,4.910059762231706,0.49100597622317055,13.0,9.0,16.0,7.0,12.217628286602585,14.142371713397415,0.0,28.0,hamilton_ppo,3.0,within_training_seed
terminal_signed_inventory,100,30.58,7.885775456190378,0.7885775456190378,31.0,26.0,36.25,10.25,29.034388010586685,32.125611989413315,0.0,51.0,hamilton_ppo,4.0,within_training_seed
terminal_signed_inventory,5,8.693999999999999,14.86222998072631,6.646591306827883,9.86,-3.68,13.18,16.86,-4.333318961382652,21.72131896138265,0.4,30.58,hamilton_ppo,ALL,between_training_seeds
fills,100,30.6,21.044445511076955,2.1044445511076955,24.0,20.0,30.25,10.25,26.475288679828918,34.72471132017108,0.0,127.0,hamilton_ppo,0.0,within_training_seed
fills,100,11.95,3.1378272093854367,0.31378272093854365,12.0,9.0,14.0,5.0,11.334985866960453,12.565014133039545,0.0,19.0,hamilton_ppo,1.0,within_training_seed
fills,100,16.7,4.513727658348183,0.45137276583481833,16.0,14.0,20.0,6.0,15.815309378963756,17.584690621036245,0.0,27.0,hamilton_ppo,2.0,within_training_seed
fills,100,23.78,5.689934405189003,0.5689934405189003,23.0,19.0,27.0,8.0,22.664772856582957,24.895227143417046,0.0,40.0,hamilton_ppo,3.0,within_training_seed
fills,100,45.16,7.851809287731656,0.7851809287731656,46.0,40.0,49.25,9.25,43.621045379604595,46.6989546203954,0.0,66.0,hamilton_ppo,4.0,within_training_seed
fills,5,25.637999999999998,13.004146261865866,5.815631006176371,23.78,16.7,30.6,13.900000000000002,14.23936322789431,37.03663677210569,0.0,45.16,hamilton_ppo,ALL,between_training_seeds
mean_quoted_spread,100,4.180752099174074,0.5795834382766984,0.057958343827669845,4.419967897940426,4.14778712149926,4.516847889553471,0.3690607680542115,4.067153745271842,4.294350453076307,0.0,4.651609136470323,hamilton_ppo,0.0,within_training_seed
mean_quoted_spread,100,2.1051309984975837,0.10059771323322915,0.010059771323322916,2.08762570424442,2.0223022370626316,2.154723610489526,0.13242137342689464,2.085413846703871,2.1248481502912964,0.0,2.348584767750421,hamilton_ppo,1.0,within_training_seed
mean_quoted_spread,100,2.6162762226855807,0.16560382297252754,0.016560382297252756,2.6208732381966415,2.5207575983341357,2.717921420459343,0.19716382212520722,2.5838178733829653,2.648734571988196,0.0,3.034760652488456,hamilton_ppo,2.0,within_training_seed
mean_quoted_spread,100,3.7809557459352,0.010511810412421652,0.0010511810412421653,3.782937006118673,3.773985159711728,3.789135694545892,0.015150534834163842,3.7788954310943654,3.7830160607760344,0.0,3.800107112604302,hamilton_ppo,3.0,within_training_seed
mean_quoted_spread,100,4.109907501734127,0.17394768843435482,0.017394768843435483,4.142976064699109,4.035137956939664,4.25359043533749,0.21845247839782544,4.075813754800993,4.14400124866726,0.0,4.369318670548856,hamilton_ppo,4.0,within_training_seed
mean_quoted_spread,5,3.358604513605313,0.9408786505781099,0.4207737242541851,3.7809557459352,2.6162762226855807,4.109907501734127,1.4936312790485462,2.5338880140671103,4.183321013143516,0.0,4.180752099174074,hamilton_ppo,ALL,between_training_seeds
full_objective,100,24.634604508381216,41.03760321905788,4.103760321905788,25.17068644607579,7.56781615092336,45.800877414709184,38.23306126378583,16.59123427744587,32.67797473931656,0.16,179.4482643532842,return_lstm_ppo,0.0,within_training_seed
full_objective,100,27.742052760631818,41.674684486415146,4.1674684486415146,28.233316250181126,10.412426080176012,46.18046648068561,35.7680404005096,19.57381460129445,35.910290919969185,0.15,204.38560796973968,return_lstm_ppo,1.0,within_training_seed
full_objective,100,30.779048704448652,53.78387153588241,5.378387153588241,37.51540858422845,11.257998417589132,52.16722639760875,40.90922798001962,20.2374098834157,41.3206875254816,0.2,195.51467892211207,return_lstm_ppo,2.0,within_training_seed
