seed,cumulative_objective,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,reconciliation_abs_diff,mean_signed_inventory,mean_abs_inventory,terminal_signed_inventory,terminal_abs_inventory,total_fills,bid_action_mean,bid_action_std,ask_action_mean,ask_action_std,frac_bid_near_low,frac_bid_near_high,frac_ask_near_low,frac_ask_near_high,mean_belief,episode_length,treatment
100000,93.44594510401932,96.08479760401997,1.9628524999999335,0.676,93.44594510402003,7.105427357601002e-13,11.58775,11.67475,26.0,26.0,30.0,-0.14184485662262886,0.0839131657561257,0.8290180397657677,0.2675201820391934,0.0,0.0,0.0,0.58325,0.9413689459856924,4000,correct
100000,92.27336086393532,94.68622336393719,1.7878624999999628,0.625,92.27336086393723,1.9042545318370685e-12,11.09325,11.18025,25.0,25.0,29.0,-0.1304005306214094,0.08341472532657426,0.7816696361107752,0.31546736704397965,0.0,0.0,0.0,0.4975,0.9413689459856924,4000,stationary
100000,93.47899885977951,96.11785135978016,1.9628524999999335,0.676,93.47899885978022,7.105427357601002e-13,11.58775,11.67475,26.0,26.0,30.0,-0.14187229081848637,0.08338234284509649,0.8269578634616919,0.27486507466840804,0.0,0.0,0.0,0.5955,0.9413689459856924,4000,shuffled
100000,82.26781717142586,83.75415467142625,1.045337499999989,0.441,82.26781717142626,3.979039320256561e-13,7.70525,7.79225,21.0,21.0,33.0,-0.09914616976166143,0.090271196662044,0.4097150346674025,0.490282663128295,0.0,0.0,0.0,0.17075,0.9413689459856924,4000,complement
100001,-2.006018568401224,-1.3512160684019818,0.5108025000000093,0.14400000000000002,-2.0060185684019913,7.673861546209082e-13,4.87725,5.66125,12.0,12.0,22.0,-0.1545520667564124,0.08913884759342228,0.4967068389970809,0.5464046356755912,0.0,0.0,0.0,0.324,0.632555439676933,4000,correct
100001,4.716707019099553,5.654624519098888,0.7419174999999906,0.196,4.716707019098898,6.545874953189923e-13,6.64425,6.64675,14.0,14.0,20.0,-0.1519204428968951,0.09166681138286335,0.6496791982534341,0.39301442618161353,0.0,0.0,0.0,0.42025,0.632555439676933,4000,stationary
100001,7.934435940846499,8.367270940846765,0.3328349999999884,0.1,7.934435940846777,2.779998453661392e-13,3.699,4.597,10.0,10.0,24.0,-0.16209733209665864,0.09567161094269129,0.47186118896631524,0.4827139618377653,0.0,0.0,0.0,0.22925,0.632555439676933,4000,shuffled
100001,29.764272847284204,29.913475347283907,0.11320250000000397,0.036000000000000004,29.7642728472839,3.019806626980426e-13,1.45525,2.66825,6.0,6.0,28.0,-0.16150992912147194,0.09454855301325996,0.22490390760637818,0.4315287597614897,0.0,0.0,0.0,0.0315,0.632555439676933,4000,complement
100002,-41.559234356456734,-40.64191935645863,0.7483149999999812,0.169,-41.55923435645861,1.8758328224066645e-12,7.8445,7.8445,13.0,13.0,21.0,-0.12160559928463772,0.10193429829466287,0.7718476462089456,0.23630935959039767,0.0,0.0,0.0,0.1785,0.5728042179429199,4000,correct
100002,-48.074118298021126,-46.91645329802191,0.9326649999999984,0.225,-48.07411829802191,7.815970093361102e-13,8.604,8.604,15.0,15.0,21.0,-0.1337976457150653,0.07854825844335306,0.7812582445694134,0.2900862093722934,0.0,0.0,0.0,0.45625,0.5728042179429199,4000,stationary
100002,-47.53631929728106,-46.378654297281855,0.9326649999999984,0.225,-47.53631929728186,7.958078640513122e-13,8.604,8.604,15.0,15.0,21.0,-0.12068550785118715,0.08405608471892026,0.7098704061885365,0.35058893399515095,0.0,0.0,0.0,0.35375,0.5728042179429199,4000,shuffled
