n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag,learner_seed,training_env_seed
10,44.855867278060586,22.630233131966214,45.00935277806114,3.5,-0.001468788172213658,0.0003273966893589179,0.001376353997686761,0.0009992820026483702,0,baseline_untrained,0,70001
10,46.781205031390904,19.47372862295905,46.86715078139198,2.3,0.07902386615760625,0.10471341004852439,0.04663849277116633,0.04960010584225424,16000,timestep_16000,0,70001
10,36.80712144992891,15.479000287719737,36.84766244992996,1.7,0.12359138734823791,0.1574835846696049,0.10444167084480065,0.08485948979183364,32000,timestep_32000,0,70001
10,36.51306370260614,16.470807938867672,36.55195670260742,1.9,0.016732488260907123,0.09462390271718614,0.13777404668441762,0.058282844661844954,48000,timestep_48000,0,70001
10,42.25757961468118,19.144486186309145,42.30188011468231,1.3,0.06128080669901101,0.08727528494852595,0.10721808354047553,0.05238277627570548,64000,timestep_64000,0,70001
10,36.745200479403294,17.120348776709577,36.813463729403814,2.6,0.04378105552152265,0.1432653714175336,0.08558661947561279,0.06820803708537175,80000,timestep_80000,0,70001
10,36.58230050844943,18.017576987988754,36.7191757584497,4.5,-0.055751883770053974,0.11721329499958083,0.06705328750385697,0.06211617293062759,96000,timestep_96000,0,70001
10,41.65513783457031,17.038351100376367,41.72953583457128,3.2,-0.02581686691986397,0.09214857996844221,0.05887042592297447,0.06086955709216039,112000,timestep_112000,0,70001
10,36.442250822730536,16.524526632769764,36.50393032273144,2.6,0.0029626165451540148,0.12068201250552665,0.05416644206054481,0.10490670638953754,128000,timestep_128000,0,70001
10,30.952259879990823,14.517109969559005,31.02116562999124,2.9,0.025381640628224705,0.13866172570392954,0.06930436180828384,0.1214655144466022,144000,timestep_144000,0,70001
10,34.16096896800927,13.32307209262191,34.24101821800905,3.1,0.08995800529035042,0.2881167028806638,0.07408018393175128,0.15276969563557707,160000,timestep_160000,0,70001
10,33.2914424739549,17.23210394084128,33.43910297395497,4.7,0.033536785964824956,0.33747967515406196,0.06118984917131845,0.12479441645248839,176000,timestep_176000,0,70001
10,35.882384353499376,12.421652901810624,35.97796535349912,3.2,0.09024727142863266,0.32358148845592516,0.04135810300719367,0.16448076707264453,192000,timestep_192000,0,70001
10,34.98620395962401,13.67799986655118,35.07166820962408,3.0,0.046689998132949405,0.26678657516352833,0.04451383120544518,0.16090263903028953,200000,final_post_training,0,70001
