n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag,learner_seed,training_env_seed
10,44.44625530918222,22.448936375790062,44.6044608091829,3.5,0.0035818569735962796,0.0034201896343808583,0.0019614175260222163,0.0021393243487342214,0,baseline_untrained,1,70000
10,48.45489042884042,19.52602108135929,48.55999992884125,3.1,-0.030037382655596592,0.048072810960479544,0.03647163061667987,0.024218645468633716,16000,timestep_16000,1,70000
10,44.436748135797686,18.05729794179384,44.56690613579768,4.0,-0.06376998387363855,0.10449764894464751,0.026591443419318857,0.05934003420747436,32000,timestep_32000,1,70000
10,45.168026212011355,25.015330286275436,45.29363121201206,2.7,-0.051330857222218765,-0.02834395799022168,0.10528935058522715,0.0841640401609465,48000,timestep_48000,1,70000
10,52.45237774760892,33.340491823731135,52.68263199760954,3.9,-0.03180425662203925,-0.060190674173727164,0.12669147909825865,0.1506266159500284,64000,timestep_64000,1,70000
10,58.96538678126127,33.02710851272116,59.18733753126109,2.5,-0.07487613921579905,-0.08356255337039474,0.09058479298596378,0.1318384929050885,80000,timestep_80000,1,70000
10,43.279648673223726,19.642524229606572,43.3447206732242,1.6,-0.11026575700930552,-0.06547177045294084,0.16709969175996756,0.10411486277443814,96000,timestep_96000,1,70000
10,36.85648941830578,19.498621112638382,36.90087416830647,1.5,-0.022025379141082522,0.03168722749209264,0.14775645222183065,0.06594424421040149,112000,timestep_112000,1,70000
10,28.575095739747447,17.0649238792032,28.621897239748034,1.7,0.014701059096795506,0.14380940442900172,0.21644818798176962,0.11171618777602478,128000,timestep_128000,1,70000
10,16.217582434362406,26.742233721186192,16.406942934362526,3.9,-0.07095693345686595,0.07028875949215144,0.25159972924280244,0.077937190789656,144000,timestep_144000,1,70000
10,18.486950295368878,23.002501670408357,18.64600379536936,3.1,-0.025703086253606306,0.10609985618361971,0.2542503883641847,0.1122559171718542,160000,timestep_160000,1,70000
10,22.72152586176709,17.924693451770803,22.820170111767176,2.9,-0.02497571710627526,0.16222675395200495,0.19134232975986754,0.13472749250002783,176000,timestep_176000,1,70000
10,21.731011072843113,20.96712385497962,21.861253072843237,3.3,0.01840429822990409,0.22026795685666148,0.2798493483597003,0.17916756743212328,192000,timestep_192000,1,70000
10,17.867803730504853,24.991954344925944,18.023239480504763,3.6,0.033994428061763754,0.2300388823179761,0.2855315885221046,0.14782449238701653,200000,final_post_training,1,70000
