n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag,learner_seed,training_env_seed
10,45.2773909244839,22.132878289240356,45.439257674484416,3.6,0.00033629709556140595,-0.0012295809744153302,0.000921717531362436,0.0012478053816731196,0,baseline_untrained,2,70000
10,38.889204044739344,17.903832538495905,38.96188404473973,2.7,0.0777242533392855,0.17224367306474597,0.04157249990774533,0.05742854850873804,16000,timestep_16000,2,70000
10,40.62034946330605,17.182281589055442,40.686922963306436,2.3,0.12882670871631707,0.19850993367154152,0.03596663919997105,0.05462177628293198,32000,timestep_32000,2,70000
10,40.704647185032776,18.637180057789305,40.79532043503344,3.0,0.04987634151787497,0.16208875297307968,0.02083535427234247,0.05599521790658741,48000,timestep_48000,2,70000
10,41.47131838623646,15.478102481601168,41.55048513623702,3.1,0.0865211560541531,0.21831748787760735,0.03387791988144426,0.05620078984921578,64000,timestep_64000,2,70000
10,37.49225482250296,16.374748923200002,37.58323082250347,3.4,0.13860588797872186,0.3719745668139309,0.05383661278750322,0.10230005802209248,80000,timestep_80000,2,70000
10,36.53456518040586,15.360480746349378,36.69184768040574,5.1,0.07788510132934898,0.4204089644411579,0.030694184389942127,0.12707080958189898,96000,timestep_96000,2,70000
10,35.651197680120916,17.368087432795793,35.903184930121064,6.6,-0.009636981627065689,0.31435630432120526,0.04755364028208879,0.15848284673020618,112000,timestep_112000,2,70000
10,31.24864667166799,23.426491991696036,31.648208921668108,8.5,-0.12083472692223732,0.27507455496503974,0.04096310572488384,0.18787951780186973,128000,timestep_128000,2,70000
10,29.59853273689988,17.652025229215493,29.78493898689995,5.0,-0.04082183126352029,0.2464461995792575,0.10174020435570937,0.12864474595530925,144000,timestep_144000,2,70000
10,29.660178073196455,24.47318780177298,30.01135282319651,7.9,-0.1187784436665359,0.1695247777004726,0.09245055751490745,0.12725480792394422,160000,timestep_160000,2,70000
10,23.177097355295963,35.843094824728176,23.560901355295876,7.6,-0.1537460570748017,0.09607788602409419,0.13385589327708433,0.14905709473747494,176000,timestep_176000,2,70000
10,17.235524975088886,38.78137759495821,17.57293847508896,5.9,-0.13853190980736108,0.08575838729152456,0.175212140836514,0.18651648120179343,192000,timestep_192000,2,70000
10,21.847218418793737,33.4857705242899,22.12705941879374,6.1,-0.14251875305879877,0.05995048624069896,0.161708787620071,0.13767727108544858,200000,final_post_training,2,70000
