episode,policy,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,mean_absolute_inventory,terminal_absolute_inventory,total_fills,spread_revenue,adverse_selection_loss,steps_taken,env_reward_sum,reconciliation_abs_diff
0,oracle,-65.87829655434587,0.3914574999999895,0.1,-66.36975405434585,5.19475,10.0,46.0,48.10858816833301,14.049117625401813,4000,-66.36975405434495,8.952838470577262e-13
0,naive,-150.84408626207596,1.4056899999999837,0.324,-152.57377626207597,9.3985,18.0,58.0,53.16666666666663,29.708708678862514,4000,-152.5737762620755,4.547473508864641e-13
1,oracle,9.290805463562236,0.07868499999999759,0.004,9.208120463562238,2.1605,2.0,76.0,63.72256053396987,10.19896440563386,4000,9.208120463562096,1.4210854715202004e-13
1,naive,6.947607520445899,0.07632249999999872,0.036000000000000004,6.835285020445901,2.01475,6.0,66.0,60.49999999999994,12.772638688314318,4000,6.835285020444946,9.547918011776346e-13
2,oracle,43.87677608480442,0.2005899999999961,0.081,43.59518608480442,3.0935,9.0,53.0,54.58197033246832,17.735688672355355,4000,43.59518608480397,4.476419235288631e-13
2,naive,43.606706873164285,0.10734999999999387,0.009000000000000001,43.49035687316429,2.698,3.0,61.0,55.91666666666662,25.179877988938788,4000,43.490356873163975,3.126388037344441e-13
3,oracle,9.776744217660962,0.0642600000000022,0.009000000000000001,9.703484217660959,2.1355,3.0,57.0,55.547639793524475,24.00749309316879,4000,9.703484217661156,1.971756091734278e-13
3,naive,10.012913203534396,0.06550750000000431,0.0,9.947405703534391,1.93925,0.0,68.0,62.33333333333327,31.593112109491187,4000,9.947405703534589,1.971756091734278e-13
4,oracle,6.1431334294712485,0.06308250000000075,0.004,6.076050929471248,2.06425,2.0,72.0,67.55690793116106,20.32003878659444,4000,6.076050929469754,1.4939161019356106e-12
4,naive,-7.0422106901608,0.5172549999999919,0.1,-7.659465690160792,6.2015,10.0,78.0,71.49999999999997,26.68819203118741,4000,-7.659465690159843,9.485745522397337e-13
5,oracle,69.52449744501223,0.2045449999999895,0.036000000000000004,69.28395244501223,3.928,6.0,70.0,62.31931417844093,16.072541842462396,4000,69.28395244501064,1.5916157281026244e-12
5,naive,46.548144500458235,0.062172500000005695,0.001,46.484972000458235,2.09475,1.0,67.0,61.416666666666615,22.987675323476346,4000,46.48497200045715,1.0871303857129533e-12
6,oracle,40.650893070082304,0.2602599999999937,0.025,40.36563307008231,4.685,5.0,61.0,62.39037421447952,26.153838183256337,4000,40.365633070081074,1.2363443602225743e-12
6,naive,36.72541040445071,0.5101424999999817,0.081,36.13426790445073,6.44225,9.0,67.0,61.41666666666661,33.965256470738815,4000,36.134267904450475,2.5579538487363607e-13
7,oracle,74.26386033783348,0.03474249999999895,0.009000000000000001,74.22011783783348,1.36875,3.0,43.0,44.70040567311257,15.791633558866115,4000,74.22011783783262,8.668621376273222e-13
7,naive,52.48813431492724,0.05436250000000229,0.001,52.432771814927236,1.87925,1.0,61.0,55.91666666666662,26.746369222135208,4000,52.43277181492577,1.4637180356658064e-12
8,oracle,43.14397103379679,0.37327499999999786,0.064,42.70669603379679,5.2935,8.0,86.0,86.12125568175648,26.390753595292182,4000,42.706696033797215,4.263256414560601e-13
8,naive,44.71722700905093,0.10417750000000082,0.064,44.54904950905093,2.32825,8.0,84.0,77.0,32.12308991201414,4000,44.54904950904956,1.3713474800169934e-12
9,oracle,69.14907389894032,0.026519999999999416,0.004,69.1185538989403,1.256,2.0,60.0,57.509499616828656,14.24118917226781,4000,69.11855389893819,2.1174173525650986e-12
9,naive,24.96057621262993,0.09940999999999585,0.001,24.860166212629935,2.627,1.0,67.0,61.41666666666661,20.788012728800737,4000,24.860166212629636,2.984279490192421e-13
10,oracle,111.20386729546959,0.3071174999999977,0.009000000000000001,110.88774979546959,4.55575,3.0,53.0,56.09456666873626,20.879118602907887,4000,110.88774979546982,2.2737367544323206e-13
10,naive,130.5527735805266,0.4012299999999999,0.016,130.13554358052662,5.447,4.0,64.0,58.666666666666615,26.529952341554814,4000,130.1355435805252,1.4210854715202004e-12
11,oracle,50.81060512269244,0.14042499999999955,0.049,50.62118012269244,3.098,7.0,87.0,71.1817996390742,10.656294903278033,4000,50.62118012269181,6.252776074688882e-13
11,naive,20.906018972758602,0.6007024999999915,0.256,20.049316472758612,6.69325,16.0,78.0,71.49999999999997,15.589376099554425,4000,20.049316472759372,7.602807272633072e-13
12,oracle,67.71081075662045,0.05695500000000225,0.025,67.62885575662044,1.983,5.0,69.0,65.5655082121471,14.486893692553233,4000,67.62885575661913,1.3073986337985843e-12
12,naive,76.08862305284491,0.024797499999999306,0.001,76.0628255528449,1.22825,1.0,75.0,68.74999999999997,20.30791018103894,4000,76.06282555284507,1.7053025658242404e-13
13,oracle,48.91624627895226,0.3518349999999913,0.036000000000000004,48.52841127895226,4.441,6.0,76.0,71.50195861452335,22.320560529250457,4000,48.5284112789521,1.6342482922482304e-13
13,naive,45.130889473155094,0.3934949999999909,0.081,44.656394473155096,4.888,9.0,87.0,79.75000000000001,36.2315427634652,4000,44.65639447315446,6.394884621840902e-13
14,oracle,27.896474248070945,0.2447799999999936,0.064,27.58769424807095,4.183,8.0,64.0,62.46242287682198,22.61884577410541,4000,27.587694248070385,5.648814749292796e-13
14,naive,34.39270606892546,0.4051200000000003,0.1,33.88758606892546,5.275,10.0,76.0,69.66666666666664,34.09388423351416,4000,33.88758606892571,2.4868995751603507e-13
15,oracle,38.617115945987166,0.05053750000000058,0.025,38.54157844598717,1.89825,5.0,61.0,58.72706181448036,14.171859273833634,4000,38.541578445987085,8.526512829121202e-14
15,naive,32.87484982234173,0.30012249999999796,0.1,32.47472732234173,4.92125,10.0,64.0,58.666666666666615,17.78879310697637,4000,32.474727322341586,1.4210854715202004e-13
16,oracle,76.27136319352303,0.1479599999999975,0.081,76.04240319352303,2.839,9.0,85.0,75.36665085420971,15.213883696677291,4000,76.04240319352117,1.8616219676914625e-12
16,naive,48.11403716699783,0.14852250000000605,0.009000000000000001,47.956514666997826,3.22475,3.0,81.0,74.24999999999999,20.80800021913384,4000,47.95651466699841,5.826450433232822e-13
17,oracle,38.97132189430852,0.06429499999999838,0.004,38.90302689430852,2.047,2.0,74.0,56.89094540900819,8.252479796682326,4000,38.903026894306855,1.6626700016786344e-12
17,naive,47.075850182307704,0.15153999999999668,0.009000000000000001,46.91531018230771,3.4145,3.0,63.0,57.74999999999995,10.661839618500103,4000,46.915310182307486,2.2026824808563106e-13
18,oracle,62.1739056339764,0.105664999999997,0.025,62.04324063397641,2.458,5.0,59.0,57.93479324538227,22.079161811586623,4000,62.0432406339776,1.1866063687193673e-12
18,naive,66.44627200892705,0.10558999999999852,0.009000000000000001,66.33168200892706,2.5765,3.0,67.0,61.41666666666661,29.481716572515595,4000,66.33168200892618,8.810729923425242e-13
19,oracle,49.10660097491717,0.018164999999999727,0.004,49.08443597491718,1.1665,2.0,60.0,60.514163812749864,21.697819836803276,4000,49.084435974914534,2.6432189770275727e-12
19,naive,54.66230470984874,0.30956999999999235,0.064,54.28873470984875,5.252,8.0,72.0,65.99999999999994,31.30618248583545,4000,54.28873470984818,5.684341886080801e-13
20,oracle,52.84548860210816,0.19249249999999776,0.049,52.60399610210816,3.59975,7.0,79.0,65.35967953019691,13.925169616077287,4000,52.603996102108006,1.5631940186722204e-13
20,naive,55.435812710528694,0.14173750000000182,0.049,55.24507521052869,3.12125,7.0,63.0,57.74999999999995,15.11622857278207,4000,55.245075210528384,3.055333763768431e-13
21,oracle,23.95089656054614,0.04128750000000063,0.009000000000000001,23.90060906054614,1.56075,3.0,69.0,61.53656930750531,15.329754174550178,4000,23.900609060546227,8.526512829121202e-14
21,naive,53.384129256849704,0.13911749999999842,0.001,53.24401175684971,2.90225,1.0,73.0,66.91666666666661,21.351915991300107,4000,53.244011756848714,9.947598300641403e-13
