n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
10,42.9393985271622,18.214716995864855,43.12847477716234,3.8,-0.0003652373510262805,-0.0001198145503759406,0.0005022378043566526,0.00038296706865018954,0,baseline_untrained
10,41.720264924265734,18.269280799037084,41.8785929242661,2.9,0.10039673054981976,0.043375557650160046,0.00863769721433568,0.004386770208688443,8000,timestep_8000
10,45.67246381050387,19.059303970304356,45.86581281050406,3.3,0.05469976992958109,-0.004240161177546543,0.025398336271457003,0.010097716838930456,16000,timestep_16000
10,45.55435067014106,20.524819112606206,45.730253420141054,3.1,0.13278495665509255,0.0421023391901399,0.03588515920179566,0.03562560468899253,24000,timestep_24000
10,48.47776717392826,30.672181277126892,48.76993867392791,4.5,0.1900795860970393,0.056657570869254416,0.06919811409473639,0.09686181321455063,32000,timestep_32000
10,43.713844344626025,20.813751237418995,43.877966594626415,2.6,0.1301450655554421,0.0647439429216669,0.056878407336385245,0.07910559476205391,40000,timestep_40000
10,49.01158670671721,22.066673772414905,49.234517706716545,3.5,0.04361775497800554,-0.029561539745841584,0.023745520010379644,0.03586008333146134,48000,timestep_48000
10,45.82704291862679,19.660195344005956,46.02613016862705,3.0,0.060169489313149825,-0.014527591880157707,0.012709941933029066,0.03385591460391068,56000,timestep_56000
10,35.15730257286738,19.415259658363457,35.27149632286794,3.5,-0.02915056927415426,0.05136850046321051,0.013561328157537429,0.03139998961910473,64000,timestep_64000
10,28.006056036783285,23.87880786385054,28.178044036783888,5.4,-0.12084202548861503,0.04047045390340499,0.012244908185975704,0.019901449071283963,72000,timestep_72000
10,23.99680817571086,37.00546893766017,24.18290042571146,5.4,-0.1889532711867243,-0.01273875628958922,0.012093957087420903,0.034419268927508545,80000,timestep_80000
10,17.941713503310176,36.3758269429406,18.205794503310234,7.0,-0.22698974444791675,0.0035463750084396453,0.02674269435675233,0.0494973257370504,88000,timestep_88000
10,12.28438181898846,47.75902217105098,12.768971318987827,10.0,-0.31024797985479236,-0.013692420129931998,0.024421078244313166,0.038003454136811894,96000,timestep_96000
10,9.033870014138042,46.25524226458908,9.540195764137456,10.3,-0.2865293395772576,0.010267755483149085,0.045039680418342776,0.04518337158610068,100000,final_post_training
