n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,mean_episode_length,total_timesteps,tag,learner_seed,training_env_seed
5,23.78652878309606,34.40849479696014,23.967086030025925,4.8,0.0006771355001047114,0.0017578946905051017,0.00022521334230534977,0.0004985525765898592,276.6,0,baseline_untrained,0,70000
5,19.393384012964145,44.27501105108314,19.73230136344109,7.2,0.05225567110098322,-0.050572895565469546,0.021342365790015812,0.0359505618509658,276.6,16000,timestep_16000,0,70000
5,15.445495426128542,33.42742793224101,15.62237208049097,4.6,0.23691941103315492,0.11090966286400329,0.03130868990612827,0.025873997513557484,276.6,32000,timestep_32000,0,70000
5,11.874267040224655,43.73993602241729,12.159781070236722,5.8,0.2916061665838556,0.07051197438287352,0.034486169706901104,0.014467080149149415,276.6,48000,timestep_48000,0,70000
5,20.80183829021822,29.273265768431596,20.947353578561366,3.4,0.44775111554156843,0.20612795127856068,0.044586747600610335,0.016344087184566338,276.6,64000,timestep_64000,0,70000
5,26.836780001771054,16.084440248762686,26.90032709392903,1.8,0.5089534695003658,0.3810884528783293,0.05194716429457159,0.031825836795365596,276.6,80000,timestep_80000,0,70000
5,30.369052754047402,15.221510298152522,30.42825095812235,1.4,0.432981918751116,0.41562367021089347,0.056686562744240616,0.036370554317201126,276.6,96000,timestep_96000,0,70000
5,27.942927016110083,17.399049476044077,28.001133145391226,1.8,0.45222116220238756,0.46852864765724406,0.03432103437829545,0.040165201414421085,276.6,112000,timestep_112000,0,70000
5,24.299181860147492,15.36031960718706,24.356536375910753,3.6,0.4078603380198765,0.6747933408745113,0.03154288991579795,0.04454984842725759,276.6,128000,timestep_128000,0,70000
5,25.525328020012253,12.095614851449861,25.570429570487462,2.8,0.4692371806974266,0.6492948262095021,0.041340183324679154,0.048888983679018734,276.6,144000,timestep_144000,0,70000
5,29.16823915528031,13.212760771640948,29.21056828409806,2.6,0.4183134894739952,0.6257942887810978,0.05606147125863274,0.06765821384994834,276.6,160000,timestep_160000,0,70000
5,28.428400406266782,30.616006880795613,28.553196689334357,5.2,0.24869074821148932,0.6483451741291661,0.05471418332970452,0.09051769252877069,276.6,176000,timestep_176000,0,70000
5,29.80131848603899,29.262121283084213,29.89523001084005,4.2,0.24647551758816857,0.5184166345446333,0.05284840794931178,0.0767184729317354,276.6,192000,timestep_192000,0,70000
5,31.92245891121116,31.344302776303323,32.044320015360725,4.8,0.20360952938030746,0.5041792334548305,0.05449869685622643,0.0959987696869267,276.6,200000,final_post_training,0,70000
