metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,100,43.40049028880678,47.07607659568126,4.707607659568126,47.76411315537611,29.323432878974728,68.02768894864673,38.704256069672,34.17357927605325,52.627401301560305,0.13,153.49414905248105,belief_weighted,pooled_all_seeds
raw_pnl,100,43.60877103880678,47.060873110995935,4.706087311099593,47.92246315537611,29.39489787897473,68.07497801825289,38.68008013927816,34.38483990905158,52.83270216856198,0.13,154.05015905248104,belief_weighted,pooled_all_seeds
mean_abs_inventory,100,3.20856,1.6877977201344092,0.1687797720134409,2.839125,2.0323125,3.879,1.8466874999999998,2.877751646853656,3.539368353146344,0.0,9.9135,belief_weighted,pooled_all_seeds
terminal_abs_inventory,100,4.38,3.087217046290897,0.3087217046290897,4.0,2.0,7.0,5.0,3.774905458926984,4.985094541073016,0.0,13.0,belief_weighted,pooled_all_seeds
full_objective,100,31.633205558492982,41.58301311301611,4.158301311301611,26.75874228446957,11.912154598653135,48.17016903421746,36.25801443556432,23.482934988341825,39.78347612864414,0.16,179.4839970442688,hamilton_ppo,pooled_all_seeds
raw_pnl,100,31.785887458492983,41.593442562710756,4.159344256271075,26.803614784469573,11.984167098653131,48.233989659217464,36.24982256056433,23.633572716201677,39.93820220078429,0.16,179.89228204426877,hamilton_ppo,pooled_all_seeds
mean_abs_inventory,100,2.597305,1.7254388965806158,0.17254388965806158,2.05775,1.298875,3.6751250000000004,2.3762500000000006,2.2591189762701993,2.9354910237298006,0.0,9.07675,hamilton_ppo,pooled_all_seeds
terminal_abs_inventory,100,3.77,3.1167679452025983,0.3116767945202598,3.0,1.75,6.0,4.25,3.159113482740291,4.380886517259709,0.0,12.0,hamilton_ppo,pooled_all_seeds
full_objective,100,41.441429397671925,68.86733752596432,6.886733752596432,46.121866326238454,24.37349975618151,75.21025805548192,50.836758299300406,27.943431242582918,54.93942755276093,0.16,230.14009529566928,naive,pooled_all_seeds
raw_pnl,100,41.84742427267193,68.6820678184031,6.86820678184031,46.187148826238456,24.578372573886647,75.73114055548191,51.15276798159527,28.385738980264925,55.309109565078934,0.16,231.2577377956693,naive,pooled_all_seeds
