metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,100,44.05438597750853,37.340749604730405,3.7340749604730403,45.603635828354555,27.145062647442288,67.06894685694252,39.92388420950023,36.73559905498137,51.37317290003569,0.09,115.36270225678662,belief_weighted,pooled_all_seeds
raw_pnl,100,44.25254845250854,37.31373515295321,3.7313735152953207,45.8636546099838,27.350645147442286,67.59196342153531,40.241318274093025,36.93905636252971,51.56604054248737,0.09,115.46386475678662,belief_weighted,pooled_all_seeds
mean_abs_inventory,100,3.1154574999999993,1.5906364506860964,0.15906364506860965,2.63825,2.0644375,3.755625,1.6911875000000003,2.8036927556655242,3.4272222443344744,0.0,9.7755,belief_weighted,pooled_all_seeds
terminal_abs_inventory,100,4.41,3.405565854286008,0.3405565854286008,4.0,2.0,6.0,4.0,3.7425090925599425,5.077490907440057,0.0,17.0,belief_weighted,pooled_all_seeds
full_objective,100,23.322151061865902,105.47200033418007,10.547200033418006,34.6176395218028,-23.750510471259428,83.28097345743801,107.03148392869744,2.649638996366612,43.99466312736519,0.38,466.93323124666654,hamilton_ppo,pooled_all_seeds
raw_pnl,100,24.620489111865886,105.40484000027233,10.540484000027233,35.66916809814518,-21.65604340677737,84.228911582438,105.88495498921537,3.9611404718125094,45.27983775191926,0.38,470.9308112466665,hamilton_ppo,pooled_all_seeds
mean_abs_inventory,100,9.078285,3.3997599495658095,0.33997599495658093,9.05125,6.312625,11.1926875,4.8800625,8.4119320498851,9.744637950114898,0.0,19.01775,hamilton_ppo,pooled_all_seeds
terminal_abs_inventory,100,13.18,4.910059762231706,0.49100597622317055,13.0,9.0,16.0,7.0,12.217628286602585,14.142371713397415,0.0,28.0,hamilton_ppo,pooled_all_seeds
full_objective,100,42.99649041021562,58.940433953266506,5.8940433953266504,51.61699098752799,26.226100965853732,74.81603368102441,48.589932715170676,31.444165355375386,54.54881546505585,0.14,293.9729878975726,naive,pooled_all_seeds
raw_pnl,100,43.36199556021562,58.730083124618844,5.873008312461884,51.87934473752799,26.495735340853727,74.85915368102441,48.36341834017068,31.850899267790325,54.87309185264091,0.14,291.07653539757257,naive,pooled_all_seeds
mean_abs_inventory,100,4.131955,2.626408626712473,0.2626408626712473,3.18175,2.342625,5.215625,2.873,3.617178909164355,4.646731090835644,0.0,13.34325,naive,pooled_all_seeds
terminal_abs_inventory,100,5.95,4.436704118413063,0.4436704118413063,5.0,3.0,8.0,5.0,5.080405992791039,6.819594007208961,0.0,24.0,naive,pooled_all_seeds
full_objective,100,44.74023482097998,36.82985647452135,3.682985647452135,45.47331657335086,29.65433075184531,73.4324606418006,43.778129889955295,37.52158295197379,51.958886689986166,0.1,118.01299303698744,oracle,pooled_all_seeds
raw_pnl,100,44.95349084597998,36.808570212778086,3.6808570212778084,45.86141282335085,29.83361825184531,73.53565751680061,43.7020392649553,37.739011084275475,52.16797060768448,0.1,118.33091553698743,oracle,pooled_all_seeds
mean_abs_inventory,100,3.194147500000001,1.7226678720351674,0.17226678720351674,2.66875,2.095625,4.0801875,1.9845625,2.8565045970811083,3.531790402918894,0.0,10.86875,oracle,pooled_all_seeds
terminal_abs_inventory,100,4.59,3.795518356688529,0.37955183566885287,4.0,2.0,7.0,5.0,3.846078402089048,5.333921597910951,0.0,20.0,oracle,pooled_all_seeds
full_objective,100,43.674071684927505,38.28977217191132,3.8289772171911323,44.46346600400878,27.23391578090161,69.59154596003853,42.35763017913692,36.16927633923289,51.17886703062212,0.11,129.2724678174379,randomised,pooled_all_seeds
raw_pnl,100,43.88650013492751,38.26160453670438,3.8261604536704383,44.55518100400877,27.34459953090161,69.69889033503854,42.35429080413693,36.38722564573345,51.38577462412157,0.11,129.4015778174379,randomised,pooled_all_seeds
mean_abs_inventory,100,3.2026150000000007,1.6676452685424197,0.16676452685424198,2.813125,1.9377499999999999,4.0694375,2.1316875000000004,2.875756527365686,3.529473472634315,0.0,8.96925,randomised,pooled_all_seeds
terminal_abs_inventory,100,4.57,3.745043862941199,0.37450438629411986,4.0,2.0,7.0,5.0,3.8359714028635254,5.304028597136475,0.0,18.0,randomised,pooled_all_seeds
full_objective,100,33.61183208658328,87.05041672391978,8.705041672391978,41.08684407466832,2.9034222637794147,69.5900621934091,66.68663992962968,16.549950408695,50.67371376447156,0.24,367.96079943317517,return_lstm_ppo,pooled_all_seeds
raw_pnl,100,34.48650141158327,86.8777849678896,8.68777849678896,41.98633907466831,3.9713816387794054,69.9990615684091,66.0276799296297,17.45845555787691,51.51454726528963,0.24,369.9691919331751,return_lstm_ppo,pooled_all_seeds
mean_abs_inventory,100,6.391982499999999,3.4009834321674557,0.3400983432167456,5.825,3.899375,8.24525,4.345875,5.725389747295178,7.058575252704821,0.0,19.149,return_lstm_ppo,pooled_all_seeds
terminal_abs_inventory,100,12.14,6.008445234951729,0.6008445234951729,13.0,7.75,16.0,8.25,10.962344733949461,13.31765526605054,0.0,30.0,return_lstm_ppo,pooled_all_seeds
full_objective,100,25.77651722656303,122.82993074018069,12.28299307401807,36.82986786611486,-40.61696489886624,97.25531516836683,137.87228006723308,1.7018508014876161,49.85118365163844,0.37,411.8678775457574,return_mlp_ppo,pooled_all_seeds
raw_pnl,100,27.651018701563004,122.63775728879064,12.263775728879065,38.692331634923335,-39.09588927386625,98.13041579336681,137.22630506723306,3.6140182729600383,51.68801913016597,0.37,414.6636600457573,return_mlp_ppo,pooled_all_seeds
mean_abs_inventory,100,11.067962499999998,2.9831331430156336,0.2983133143015634,10.874125,8.827125,12.763124999999999,3.935999999999998,10.483268403968934,11.652656596031063,0.0,20.53425,return_mlp_ppo,pooled_all_seeds
terminal_abs_inventory,100,16.6,4.572645941803379,0.4572645941803379,16.0,13.0,19.0,6.0,15.70376139540654,17.496238604593465,0.0,30.0,return_mlp_ppo,pooled_all_seeds
