n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,mean_episode_length,total_timesteps,tag,learner_seed,training_env_seed
5,23.709196848104597,34.41564302372798,23.889754095034462,4.8,0.00035196025626860975,-0.0012136389892471124,0.000819469282119903,0.0012879180916021693,276.6,0,baseline_untrained,2,70000
5,27.66549548707767,32.859844801801295,27.811258511092984,4.4,-0.05691512188751625,0.06767540445857845,0.04707161626192586,0.029991531375197954,276.6,16000,timestep_16000,2,70000
5,47.05015536703836,46.04983029120074,47.478025458996605,9.2,-0.13882509984220132,0.2418926076738626,0.057887433041768445,0.07308026987200884,276.6,32000,timestep_32000,2,70000
5,35.72261473158059,36.42024777195766,36.02853181711821,8.4,-0.05542720674162708,0.2552338874160123,0.03016472689718317,0.11113763904938796,276.6,48000,timestep_48000,2,70000
5,28.046413337387644,35.267559736375105,28.229772420744165,5.8,0.00862357589979848,0.11952675155256905,0.029694839066292805,0.05370785313450196,276.6,64000,timestep_64000,2,70000
5,29.395782018522123,46.752115694278054,29.81230557342817,8.8,-0.10064189614753682,0.08314236693916909,0.0664807693875971,0.09272306949660959,276.6,80000,timestep_80000,2,70000
5,32.1306562298603,55.802040000846524,32.784250952973046,13.0,-0.143125233277463,0.20158675088683872,0.13370705565395485,0.17778344586206113,276.6,96000,timestep_96000,2,70000
5,41.38370114602173,72.46141321912685,42.40782159841201,17.0,-0.22721759104644657,0.27869610051558485,0.16635949438787642,0.19701929580807878,276.6,112000,timestep_112000,2,70000
5,28.762522521342884,62.694916033954,29.535002204556736,14.2,-0.17073185023779638,0.22056463862609707,0.1547621008912573,0.14830863416027593,276.6,128000,timestep_128000,2,70000
5,29.006104877637277,54.516400268263894,30.192791893521395,15.4,0.12912087873518682,-0.10543890921813143,0.16425293506413277,0.21115474956261335,276.6,144000,timestep_144000,2,70000
5,28.87337182946367,45.870565463024384,29.304680820549482,10.2,0.05253457125520101,0.07582268294752377,0.15131903136336364,0.11331634228456632,276.6,160000,timestep_160000,2,70000
5,27.77164278689701,47.52518028187618,28.20647188683507,10.2,-0.0029546749385495332,0.12217145402217452,0.1812835609843551,0.08652927845433872,276.6,176000,timestep_176000,2,70000
5,16.994054451712106,46.524758249643455,17.642923675510975,11.2,0.1613769459959715,0.020627740864855436,0.09841199531570177,0.12157216388606717,276.6,192000,timestep_192000,2,70000
5,19.453775956284446,32.57015290618278,19.682250507074325,6.6,0.16112336345469486,0.15148768022209297,0.12291387142041485,0.10686300900695123,276.6,200000,final_post_training,2,70000
