n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag,learner_seed,training_env_seed
10,44.957033192596114,22.627975596370824,45.11051869259666,3.5,0.002705135384813184,0.0010987652066156443,0.0002516173903915567,0.00015375287841600855,0,baseline_untrained,3,70000
10,46.36058224099838,16.657317759468107,46.46055724099928,3.1,-0.011886539568690933,0.06166072348952294,0.009694070479480935,0.006866663937343645,16000,timestep_16000,3,70000
10,45.70117294915555,20.17729474552751,45.80615644915675,3.0,0.032884069391409865,0.0592381928088842,0.009534602051730132,0.018314794027164225,32000,timestep_32000,3,70000
10,45.83725338824722,24.13024214902474,45.99526213824788,3.7,0.020872665057738778,0.0041060221077801546,0.011806108940693812,0.0033624396688026574,48000,timestep_48000,3,70000
10,40.46097161474443,17.973196372767358,40.61656786474507,4.8,-0.09187930600341643,0.12347077917158604,0.06479067441484278,0.024034247331823744,64000,timestep_64000,3,70000
10,39.94302306079486,19.684224059490546,40.112834560795385,5.3,-0.1798913017513929,-0.011923286498797824,0.08246289846479687,0.007986178034834056,80000,timestep_80000,3,70000
10,42.440526441583316,18.4481952624672,42.568981941583985,4.5,-0.0850781420822721,0.06763644949570953,0.02454007972625785,0.032434941324647505,96000,timestep_96000,3,70000
10,44.350110847903444,19.03472468607828,44.45826709790326,3.9,-0.048673147016967414,0.10289675467824272,0.019685695065226102,0.07118385726156608,112000,timestep_112000,3,70000
10,36.301969610239624,23.001663859688456,36.55871436023977,7.1,-0.13337835831306874,0.16071630730535835,0.02872869239190518,0.062394557969126026,128000,timestep_128000,3,70000
10,32.41509482101143,19.87891858769684,32.74948407101174,8.2,-0.03942178753721528,0.3950661694605835,0.0027177762154855243,0.156828247158509,144000,timestep_144000,3,70000
10,27.867508703646205,28.167356757244757,28.46871445364625,11.0,-0.1276686436776072,0.45510055916421116,0.006038123632023391,0.1253488967984818,160000,timestep_160000,3,70000
10,30.370959462135858,19.88727285828437,30.68796846213571,7.6,0.029766794742341153,0.5392780635111034,0.02340081558154525,0.1057939961341946,176000,timestep_176000,3,70000
10,23.00912667929149,24.190751063039663,23.41372192929119,8.8,0.012757148268632591,0.6214234013549983,0.01558062449831227,0.11613380386378949,192000,timestep_192000,3,70000
10,21.548586952593617,28.260573342133696,22.05456695259299,10.1,-0.002223309689143207,0.7303223885789514,0.01427323249885459,0.14792553416228255,200000,final_post_training,3,70000
