n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,mean_episode_length,total_timesteps,tag,learner_seed,training_env_seed
5,24.094531300496072,34.53408264316783,24.27480095747117,4.6,0.0037580555080958503,-0.0008097560603911767,0.001613142435329224,0.0011551563816283993,276.6,0,baseline_untrained,4,70000
5,37.340945722913126,36.113367527984316,37.50249397362355,5.6,0.013514462600186714,0.2199871750657574,0.018784242906766464,0.06549270737406429,276.6,16000,timestep_16000,4,70000
5,41.16698216715543,48.18424262224386,41.4934532184389,7.8,-0.054777099163219635,0.24284519040344293,0.02803158164995088,0.08124455787219073,276.6,32000,timestep_32000,4,70000
5,38.77985217603582,57.436388093478506,39.21130713194926,9.4,-0.06865206847682162,0.24805816105046374,0.08738754529382214,0.10043430362084806,276.6,48000,timestep_48000,4,70000
5,33.95084513251932,48.56100524918651,34.233692077743605,8.2,-0.03398559954000902,0.1977642741988986,0.09152831871514659,0.12305291342723038,276.6,64000,timestep_64000,4,70000
5,39.24633696817667,46.52470410562891,39.45171841066054,5.8,0.09110362387403027,0.3874570926488394,0.09967272108894691,0.09941643817732301,276.6,80000,timestep_80000,4,70000
5,36.702315829708674,35.60228105789887,36.86677000976156,6.0,0.12950359791297053,0.35607388664632283,0.235934392631927,0.08005782617734424,276.6,96000,timestep_96000,4,70000
5,36.86543495858555,32.44894666044157,36.96907930281335,4.2,0.2155449131715151,0.40104938576985166,0.2136429057502979,0.09119990652966506,276.6,112000,timestep_112000,4,70000
5,31.995562100355954,25.194018422411137,32.17892185708441,5.2,0.3686938435398177,0.2239217987083389,0.22961912418731933,0.11036265303907623,276.6,128000,timestep_128000,4,70000
5,13.572398640964575,29.93487367157295,13.807885329282499,6.4,0.4967216480670151,0.11848115907013632,0.2986969259457441,0.06802819457027061,276.6,144000,timestep_144000,4,70000
5,7.626453935398463,40.74386134017673,8.075728665019795,8.4,0.500168226342123,0.08449933313328938,0.2822480641703141,0.0690316715070194,276.6,160000,timestep_160000,4,70000
5,5.547584691356593,83.44728202208562,6.86902461703271,15.6,0.6439695352902576,-0.05607755379704186,0.23256919659684586,0.07274279047987345,276.6,176000,timestep_176000,4,70000
5,-5.225138052958612,100.42913107555474,-3.2506289269070066,19.8,0.7135495800075113,-0.15253332550068394,0.2102823751998559,0.09646096524619403,276.6,192000,timestep_192000,4,70000
5,-10.185590646809677,107.26948006551117,-7.909646741856614,21.0,0.8165511608403917,-0.18233641578303414,0.18374156730774158,0.06307982376498904,276.6,200000,final_post_training,4,70000
