config,training_seed,n,full_obj_mean,full_obj_std,raw_pnl_mean,raw_pnl_std,mean_signed_inv,mean_abs_inv,term_signed_inv_mean,term_signed_inv_std,term_abs_inv_mean,term_inv_min,term_inv_max,frac_terminal_positive,bid_mean,ask_mean,bid_std,ask_std,mean_quoted_spread,spread_std_across_eps,max_reconciliation,recurrent_state_verified
400/400,0,30,92.8658729693068,573.1226084946347,122.50780555264028,571.150462138682,42.785875,42.786791666666666,76.93333333333334,8.729392811105175,76.93333333333334,61.0,93.0,1.0,-0.7850053455193837,0.24660377024350064,0.0692297204584562,0.01714837173785457,4.653691971826985,0.0023369545034666,2.4556356947869062e-11,True
400/400,1,30,38.58079674618791,57.31554517891508,38.807589746187894,57.323426631616755,2.1289500000000006,3.229366666666666,3.6666666666666665,4.751285367527209,4.533333333333333,-8.0,13.0,0.7666666666666667,-0.06689138074632109,0.03377511806356095,0.0034867010779395732,0.0071993736175915155,3.2246422436744195,0.00189300223653378,5.4143356464919634e-12,True
4000/400,0,30,30.502814788967097,60.29944650931653,30.88188628896709,60.22082680647666,-3.161766666666666,3.9076666666666666,-7.333333333333333,5.664976083178861,7.866666666666666,-20.0,4.0,0.06666666666666667,0.24247650357373057,-0.05793996632269114,0.04789922316734172,0.013953745822489436,2.608957133809797,0.04747252277200741,5.9117155615240335e-12,True
4000/400,1,30,35.22493086462482,67.12896656821908,35.62133919795815,66.99093669596967,-3.5999,4.228183333333333,-7.1,5.3969978883539085,7.233333333333333,-18.0,2.0,0.03333333333333333,0.060058340062573504,-0.14408970943534122,0.0011204272272789264,0.008070875396520634,2.756734620300255,0.012782751120690505,3.0411229090532288e-12,True
