env,metric,n,mean,std,se,ci_lo,ci_hi
fixed_step,n_buy_arrivals,500,140.586,11.359784037858006,0.5080249863673509,139.59027102672002,141.58172897328
fixed_step,n_sell_arrivals,500,140.33,11.517569570774699,0.515081369916706,139.32044051496328,141.33955948503674
fixed_step,n_fills,500,71.122,8.14541660219086,0.3642741045510825,70.40802275507988,71.83597724492012
fixed_step,time_in_regime_1,500,0.7185609999999486,0.1522542050812547,0.006809015048437588,0.705215330505011,0.7319066694948863
fixed_step,terminal_price,500,99.18102757934898,9.877310818986109,0.4417267685229412,98.31524311304402,100.04681204565394
fixed_step,running_penalty,500,0.3600019949999977,0.40666703162972756,0.018186702538642557,0.32435605802425826,0.3956479319757371
fixed_step,terminal_inventory,500,-0.11,8.593112542398863,0.384295675662198,-0.863219524297908,0.6432195242979081
fixed_step,raw_pnl,500,43.519494560586466,60.62798292626824,2.711365823236648,38.205217547042636,48.833771574130296
fixed_step,full_objective,500,43.08578656558646,60.687494726736226,2.7140272718628444,37.76629311273528,48.40528001843764
event_driven,n_buy_arrivals,500,140.402,11.48914256128747,0.5138100754044964,139.39493225220718,141.4090677477928
event_driven,n_sell_arrivals,500,140.892,11.77257503888135,0.5264855611431185,139.86008830015948,141.92391169984052
event_driven,n_fills,500,70.754,8.478989948164944,0.37919195809268463,70.01078376213835,71.49721623786166
event_driven,time_in_regime_1,500,0.714977548295504,0.16466959496970898,0.007364248163592534,0.7005436218948626,0.7294114746961453
event_driven,terminal_price,500,99.6515918318385,10.16876572083718,0.4547610279812317,98.76026021699529,100.54292344668171
event_driven,running_penalty,500,0.3590412014135113,0.39841782424790256,0.017817786769317483,0.32411833934564904,0.3939640634813736
event_driven,terminal_inventory,500,0.342,8.466427628792864,0.378630154091264,-0.4001151020188774,1.0841151020188775
event_driven,raw_pnl,500,41.76125694562985,58.39422392065283,2.61146908359848,36.64277754177683,46.879736349482876
event_driven,full_objective,500,41.33056174421635,58.5601105582936,2.618887759564953,36.19754173546904,46.463581752963655
