n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
10,45.2773909244839,22.132878289240356,45.439257674484416,3.6,0.00033629709556140595,-0.0012295809744153302,0.000921717531362436,0.0012478053816731196,0,baseline_untrained
10,46.95379736319832,24.284271940240295,47.097536113198146,2.9,0.09224832344683818,0.010691537912431522,0.05125892611531709,0.037468390482415855,16000,timestep_16000
10,45.7226802032459,28.737090509331253,45.893978703245395,3.5,0.12158710647881962,0.013336455792968627,0.07057597024599786,0.06595286548687207,32000,timestep_32000
10,48.671161247412996,44.83755879650962,49.316613497411595,9.7,0.23582063966060524,-0.053339040612028474,0.1075478129164718,0.1172994777100654,48000,timestep_48000
10,52.44729822760913,46.64397194931438,53.09873347760797,9.8,0.20052712385728955,-0.0826419710976159,0.11184464858487607,0.1197509143426946,64000,timestep_64000
10,64.2636884896647,63.83183485737317,65.10710023966347,10.4,0.17616619326327929,-0.06739919811831496,0.10725735420500941,0.22022239038283895,80000,timestep_80000
10,68.46654758149027,83.08732730105636,69.91116708149575,14.4,0.23520051395497285,-0.17082323791095988,0.12705831121604852,0.1912998668010755,96000,timestep_96000
10,87.5605808111059,123.1672661660477,91.63909606110505,23.8,0.2078688309553312,-0.3088719927672413,0.10614362977086184,0.22614954994216985,112000,timestep_112000
10,87.50472224295852,109.16871298348205,90.24104974295983,19.1,0.15320253597227856,-0.2583003490373609,0.09147354441497277,0.2219420370617485,128000,timestep_128000
10,90.78180869552094,129.10205665413662,95.13598819551991,24.2,0.18256610628897324,-0.29028481405021156,0.09584725547371929,0.26646934970063096,144000,timestep_144000
10,119.93576880054482,188.2278775196511,129.3162300505464,34.4,0.12693740751992447,-0.4084952634903137,0.06221549794889198,0.31421023159726363,160000,timestep_160000
10,127.1222562802283,287.2775859015138,153.42162003023427,61.1,0.03051597199328244,-0.6537605853429995,0.0732682659447039,0.30763068476089195,176000,timestep_176000
10,130.112259397198,282.2211503490011,154.2821626472039,57.6,-0.08003519406784326,-0.651598670388665,0.08392634971152951,0.3127882969275906,192000,timestep_192000
10,125.2470341109134,289.30309564775985,152.0442391109171,62.7,-0.1191192311138846,-0.7235774101272225,0.0798807795812837,0.2513774798909985,200000,final_post_training
