n_episodes,mean_objective,std_objective,mean_raw_pnl,std_raw_pnl,mean_running_inventory_penalty,mean_terminal_inventory_penalty,mean_abs_inventory,mean_terminal_abs_inventory,mean_fills,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,frac_near_bound_bid,frac_near_bound_ask,frac_near_bound_any,max_reconciliation_abs_diff,total_timesteps,tag
5,43.406255569133805,17.490116633474052,43.63314106913373,17.495156497607812,0.2000854999999976,0.0268,3.38195,4.0,25.6,-0.0020946393345244586,0.0008478101541986689,0.001319599180498739,0.0009865122666947203,0.0,0.0,0.0,3.126388037344441e-12,0,baseline_untrained
5,31.232696591071043,18.26750521560537,31.383892591071753,18.227544240483816,0.11879599999999887,0.032400000000000005,2.5124,5.2,21.2,-0.022031344671850094,0.22013217824874445,0.014254081192835107,0.1308131648930929,0.0,0.0,0.0,3.439026841078885e-12,40000,timestep_40000
5,31.216187641025357,20.122604536185868,31.390647141025845,20.138718071125638,0.14285949999999742,0.0316,2.59925,4.4,18.0,0.05196956923776306,0.224261279037036,0.08445508175031655,0.17196408908866817,0.0,0.0,0.0,1.2718714970105793e-12,80000,timestep_80000
5,31.927236052788004,15.697723019545595,32.066670052788105,15.696355169692868,0.11763399999999676,0.021800000000000003,2.463,3.4,15.4,0.11278290168549865,0.36482813695808874,0.10276153164128095,0.32172108268762045,0.0,0.00875,0.00875,5.435651928564766e-13,120000,timestep_120000
5,48.59660834083114,25.287922519261578,48.97603084083148,25.36827120938491,0.32522249999999897,0.054200000000000005,4.09625,5.8,27.4,-0.040578504059230906,0.06693497134796343,0.16208832826496863,0.35759874174927275,0.0,0.0,0.0,2.0605739337042905e-12,160000,timestep_160000
5,61.103814093369536,52.75722452698295,61.55997059337127,52.97293273445939,0.3653565000000005,0.0908,4.27885,8.4,32.0,-0.17723738497765734,0.26658323811050505,0.09017670491680856,0.48033226702852005,0.0,0.1074,0.1074,4.234834705130197e-12,200000,timestep_200000
5,70.63994628545281,47.4627247290329,71.1360012854549,47.76344875193859,0.3964549999999979,0.0996,4.325200000000001,8.8,33.6,-0.19841122242016718,0.23657967984033748,0.07683340772838103,0.5063092285132971,0.0,0.1199,0.1199,5.8264504332328215e-12,200000,final_post_training
