agent_type,training_seed,symmetry_mean_abs_err,symmetry_max_abs_err,ask_at_q20_tau1,ask_at_q20_tau05,ask_at_q20_tau005,ask_terminal_slope,ask_more_aggressive_near_terminal,bid_at_qm20_tau1,bid_at_qm20_tau05,bid_at_qm20_tau005,bid_terminal_slope,bid_more_aggressive_near_terminal
hamilton_ppo,0,0.7379049789850358,1.2663775384426117,0.7852327823638916,1.0,1.0,-0.22982469783937734,False,-0.3201911151409149,-0.2663775384426117,-0.20345163345336914,-0.12260217948153448,False
hamilton_ppo,1,0.5356542214199349,0.7840659990906715,0.03701671212911606,0.011408902704715729,-0.017183814197778702,0.056945481423522265,True,0.8210827112197876,0.7590899467468262,0.6638358235359192,0.1647566649306746,True
hamilton_ppo,2,0.5490921194906588,1.036994069814682,-0.29425761103630066,-0.23593229055404663,-0.16642233729362488,-0.13423295148624267,False,0.34100252389907837,-0.026574159041047096,-0.37459444999694824,0.7529259022888879,True
hamilton_ppo,3,0.4913495842419151,1.0889191031455994,0.35136425495147705,0.4562840759754181,0.5360013246536255,-0.19464050821712522,False,-0.7375548481941223,-0.44191762804985046,-0.10874336957931519,-0.6606036391645339,False
hamilton_ppo,4,0.4864634447213676,0.7481324374675751,0.23414504528045654,0.18455086648464203,0.13307857513427734,0.1062529646822448,True,-0.014167556539177895,-0.034500304609537125,-0.052884601056575775,0.040753136330535046,True
return_mlp_ppo,0,1.1480297132360715,1.801879644393921,1.0,1.0,1.0,6.8432122129447245e-16,True,0.06291953474283218,-0.2568526268005371,-0.5286678671836853,0.6230339267706955,True
return_mlp_ppo,1,0.4368214650010621,0.8646729588508606,-0.06976670026779175,-0.19469906389713287,-0.31902557611465454,0.2621468962118634,True,0.7949062585830688,0.6211665272712708,0.4119269549846649,0.40210923365561274,True
return_mlp_ppo,2,0.5666721057560709,1.2755771279335022,-0.6964465379714966,-0.6961361169815063,-0.6786845922470093,-0.018363280489875913,False,0.12767472863197327,-0.3966768682003021,-0.8475427627563477,1.026953555561079,True
return_mlp_ppo,3,0.6571928857032348,1.0391811430454254,0.5125472545623779,0.31128761172294617,0.09605824947357178,0.43774729835151305,True,-0.5112555027008057,-0.38235315680503845,-0.23382580280303955,-0.2913997764956909,False
return_mlp_ppo,4,0.5105716917249892,1.0906844735145569,0.454098105430603,0.2872115969657898,0.12608495354652405,0.34506475133649533,True,0.4008937180042267,0.4357057809829712,0.45256543159484863,-0.05467232632900942,False
return_lstm_ppo,0,0.11186751426646004,0.18090640753507614,0.2056272029876709,0.13181225955486298,0.06549306213855743,0.1475118408563832,True,0.03702984005212784,0.03176777809858322,0.027100633829832077,0.010453130486266641,True
return_lstm_ppo,1,0.0997168146962024,0.1420839987695217,0.1494949758052826,0.1395261585712433,0.130215585231781,0.020287518571663703,True,0.02311374433338642,0.004686457570642233,-0.011868413537740707,0.03682390063300014,True
return_lstm_ppo,2,0.21785694822944976,0.26360101252794266,-0.010748781263828278,-0.03485638648271561,-0.055685218423604965,0.04731837068976509,True,0.15954716503620148,0.16434653103351593,0.167839914560318,-0.008745252866146592,False
return_lstm_ppo,3,0.1746272228796173,0.20618861541152,0.030531572178006172,0.028668319806456566,0.027006935328245163,0.0037104459101423774,True,-0.12773674726486206,-0.12140411138534546,-0.11567763984203339,-0.012693270985930686,False
return_lstm_ppo,4,0.37399538827163203,0.48093070089817047,0.06948316097259521,0.06776716560125351,0.06626764684915543,0.0033856232777732765,True,-0.24191153049468994,-0.21753281354904175,-0.19528476893901825,-0.04907483544296887,False
