agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count
oracle,,,160014,50.17174694287178,50.02743194287178,59.57617015011283,9.75490475369666,0.13531499999999866,0.009000000000000001,3.177,7.0,-2.9225,-3.0,3.0,75.0,-0.4129807524933199,-0.3835683814199627,0.1588110054194997,0.1671807222971622,1.8473653496013662,4000,9.308109838457312e-13,exogenous_paired_fills_not_claimed_paired,,,,0.668956625904957,False,False,7500.0,analytic,,,,,,,
oracle,,,160015,51.90383482387824,51.61004982387824,53.945282085759864,22.807804975190408,0.1727849999999977,0.121,3.0285,11.0,2.5675,11.0,11.0,55.0,-0.3215893555634475,-0.34052415916838524,0.15437033949429035,0.1421399292457775,2.053731651397787,4000,2.7711166694643907e-13,exogenous_paired_fills_not_claimed_paired,,,,0.943706087706877,False,False,5500.0,analytic,,,,,,,
oracle,,,160016,131.34146739527245,131.08134739527245,53.53439342056686,17.690671006818,0.24412000000000042,0.016,4.6125,8.0,4.5865,4.0,4.0,50.0,-0.24994833253930684,-0.3009179981369633,0.10699075024559616,0.10510421026745352,2.2245023898270557,4000,2.6432189770275727e-12,exogenous_paired_fills_not_claimed_paired,,,,2.6268293479054488,False,False,5000.0,analytic,,,,,,,
oracle,,,160017,57.05327547604456,56.99148797604457,61.221475181755594,12.590274887266046,0.060787499999998905,0.001,1.91425,6.0,-1.48525,-1.0,1.0,67.0,-0.3368026644650514,-0.3231327687157754,0.14774425480295106,0.14768083463797985,2.057075130138234,4000,1.7408297026122455e-12,exogenous_paired_fills_not_claimed_paired,,,,0.8515414250155905,False,False,6700.0,analytic,,,,,,,
oracle,,,160018,35.35687187806852,35.30216437806852,70.20406031323283,26.067357566187095,0.05070750000000201,0.004,1.85575,5.0,-1.85575,-2.0,2.0,64.0,-0.2679234712521228,-0.24621647286695048,0.07750133912694414,0.08152222341724236,2.2808794766311475,4000,7.247535904753022e-13,exogenous_paired_fills_not_claimed_paired,,,,0.5524511230948206,False,False,6400.0,analytic,,,,,,,
oracle,,,160019,38.334405770395804,38.2935007703958,50.50867666016557,12.399300747397263,0.04090500000000307,0.0,1.694,4.0,-0.1205,0.0,0.0,54.0,-0.3188173941507,-0.3172015718542313,0.13879149656353218,0.144901891279378,2.0937882640024337,4000,5.542233338928781e-13,exogenous_paired_fills_not_claimed_paired,,,,0.7098964031554779,False,False,5400.0,analytic,,,,,,,
oracle,,,160020,19.66966801900537,19.60603551900537,51.71721290390921,15.260707109249223,0.03863250000000099,0.025,1.61075,5.0,-0.85625,5.0,5.0,55.0,-0.3301643158727892,-0.3184262030751808,0.14608561668840822,0.1431390939870551,2.074490217067482,4000,2.8492763703980017e-12,exogenous_paired_fills_not_claimed_paired,,,,0.3576303276182795,False,False,5500.0,analytic,,,,,,,
oracle,,,160021,49.5172535483739,49.4407235483739,51.56394774198848,16.102474572929133,0.05152999999999952,0.025,1.783,6.0,1.2265,5.0,5.0,51.0,-0.299020746662125,-0.30729232602613454,0.1335002075525304,0.12988576763103787,2.139388495419126,4000,1.1368683772161603e-13,exogenous_paired_fills_not_claimed_paired,,,,0.9709265401641942,False,False,5100.0,analytic,,,,,,,
oracle,,,160022,72.42074324034422,71.68149074034424,61.379621291363414,8.708302407150653,0.6392524999999776,0.1,7.20975,12.0,6.98625,10.0,10.0,74.0,-0.36563366348203874,-0.4342602708002067,0.16822862605545053,0.15942353546137814,1.842230891288956,4000,1.3500311979441904e-12,exogenous_paired_fills_not_claimed_paired,,,,0.978658692437084,False,False,7400.0,analytic,,,,,,,
oracle,,,160023,82.58971970060907,82.30765470060908,62.19843037891879,18.344881553533273,0.2730649999999939,0.009000000000000001,4.5925,10.0,4.5695,3.0,3.0,69.0,-0.3595998717395547,-0.40655329235759563,0.1572625177882634,0.16849812139373363,1.8940248875918477,4000,7.815970093361102e-13,exogenous_paired_fills_not_claimed_paired,,,,1.196952459429117,False,False,6900.0,analytic,,,,,,,
