group,learner_seed,n_updates,num_timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,log_std_mean,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,actor_grad_norm_mean,critic_grad_norm_mean,actor_param_update_norm,critic_param_update_norm,frac_sampled_action_clipped,frac_sampled_action_near_bound
A_random_init,0,10,4000,-0.0023014174597857993,182.59650939941406,-2.8375926399230957,0.0037326652090996504,0.030125000197440386,-0.0023168325424194336,0.9982763528823853,-1.3577070236206055,13.541633605957031,-81.74646759033203,89.00286865234375,-1.2984449863433838,13.52597427368164,0.18877783739720816,3.3122515749000105,0.09912329912185669,1.4179222583770752,0.3255,0.577
A_random_init,0,20,8000,-0.0010164050291081362,233.37972076416017,-2.8357814884185792,0.001637613633647561,0.0017499999748542905,0.0005731582641601562,0.9994425773620605,-0.6915963292121887,15.305559158325195,-76.66696166992188,85.30815124511719,-2.176211357116699,15.309947967529297,0.1876873093268156,3.592511828213246,0.18569520115852356,1.105018973350525,0.3145,0.5655
A_random_init,0,30,12000,-0.002689789105622182,113.136508102417,-2.831066470146179,0.0037916272412985563,0.01799999992828816,0.020940959453582764,0.9925464391708374,0.07669683545827866,10.668723106384277,-107.98165893554688,45.25090026855469,-2.0335886478424072,10.782215118408203,0.1883530511627827,2.742548504399398,0.26742178201675415,0.9321227073669434,0.314125,0.5575
A_random_init,0,40,16000,-0.0010042613803301714,86.49235580444336,-2.827892165184021,0.0030700075440108776,0.007049999991431832,0.04400092363357544,0.997877299785614,-0.2769884467124939,9.334589958190918,-54.60459899902344,43.0648193359375,-2.3211967945098877,9.546991348266602,0.18512070150251642,2.536456364863466,0.22578486800193787,0.8302502632141113,0.316625,0.5695
A_random_init,0,50,20000,-0.00016195902523177263,294.07771087646483,-2.8341532254219057,0.0012180154444649816,0.00014999999664723872,-0.010056614875793457,0.999434232711792,1.4929195642471313,17.17534828186035,-59.34579849243164,106.33728790283203,-1.4934358596801758,17.089632034301758,0.17781779961348934,5.986214737892181,0.10253778100013733,1.0474777221679688,0.319125,0.56575
A_random_init,0,60,24000,-0.0017521400727329817,218.10521392822267,-2.8341761565208436,0.0024596652947366238,0.009999999986030161,-0.0032268762588500977,0.9955028295516968,0.7452999353408813,14.785806655883789,-92.36643981933594,97.49193572998047,-0.7049525380134583,14.762008666992188,0.1740809170899522,3.042257104398569,0.2094319462776184,0.8046039342880249,0.317,0.5635
A_random_init,0,70,28000,-0.001156328628357004,334.3135827636719,-2.827457010746002,0.0022221168037503958,0.0019999999599531293,-0.00026738643646240234,0.9951341152191162,0.48565539717674255,18.3438777923584,-78.322021484375,77.05625915527344,0.15091967582702637,18.3414249420166,0.18672362962767317,4.575953173506862,0.18594123423099518,1.3314052820205688,0.3145,0.5605
A_random_init,0,80,32000,-0.0007895378356798588,93.07242065429688,-2.832926049232483,0.0016622080001980066,0.002374999956227839,0.01372075080871582,1.0004382133483887,0.9745106101036072,9.632060050964355,-45.86522674560547,52.71148681640625,0.8791161179542542,9.698827743530273,0.17676308704805724,2.5743793554447456,0.17235104739665985,0.5655843615531921,0.308625,0.55875
A_random_init,0,90,36000,-0.000479186529973048,176.98097579956055,-2.8360907649993896,0.0013461133930832148,0.00047499998938292263,0.008491218090057373,0.9975275993347168,2.4768903255462646,13.227524757385254,-77.95504760742188,80.71543884277344,2.9690005779266357,13.28404426574707,0.17659671452203185,5.318383537515558,0.1938711702823639,1.1551992893218994,0.318875,0.5735
A_random_init,0,100,40000,-0.002937629628901779,264.8607011413574,-2.831041522026062,0.004005775321274996,0.020200000116601585,0.0011205077171325684,0.9974315166473389,-2.163785696029663,16.253816604614258,-128.01736450195312,90.29668426513672,0.8768161535263062,16.262929916381836,0.17553782995515466,5.760651874581191,0.19743260741233826,1.188337802886963,0.31175,0.567
A_random_init,0,110,44000,-0.0012186924806854237,138.78089347839355,-2.8339958596229553,0.0030630449764430523,0.013324999925680458,0.004559457302093506,0.9990941286087036,-0.25268322229385376,11.850190162658691,-65.4613265991211,89.78166961669922,0.5691821575164795,11.877298355102539,0.17550332428212947,3.349588078708665,0.15165609121322632,1.2630776166915894,0.319625,0.5725
A_random_init,0,120,48000,-0.0009166997612695926,103.51924415588378,-2.8305644607543945,0.0027217906899750233,0.00814999993890524,0.04693758487701416,0.9942120313644409,0.5019611120223999,10.249041557312012,-55.96406173706055,41.915470123291016,0.5395549535751343,10.49838638305664,0.17324200727367153,3.6924269308764126,0.20652291178703308,1.2535223960876465,0.320875,0.57575
