group,learner_seed,update_index,num_timesteps,actor_distance_from_clone,deterministic_objective,deterministic_objective_change_from_t0,bid_action_depth_mse,ask_action_depth_mse,mean_quoted_spread_error_signed,mean_inventory_skew_error_signed,frac_wrong_inventory_skew,corr_bid,corr_ask,frac_wider_than_analytical,n_states
B_clone_init,0,1,4000,0.09999588876962662,34.25743867094512,4.843982874047853,0.0208237307033975,0.010003823724857598,0.11709579562326226,-0.060723216039433855,0.8888888888888888,0.9325900108720093,0.9480371915916367,1.0,270
B_clone_init,0,2,8000,0.1636084020137787,29.782951927089226,0.36949613019195837,0.012901958013322345,0.0093226119933756,-0.007180351572373252,0.007966728992105904,0.8888888888888888,0.9327471755032748,0.9458564313499089,0.44074074074074077,270
B_clone_init,0,3,12000,0.2471316158771515,30.3002363169574,0.8867805200601317,0.038379712729667864,0.015793392401832227,-0.1180357083115185,0.03875608642017244,0.8888888888888888,0.9276621830944418,0.923818081074134,0.29259259259259257,270
B_clone_init,0,4,16000,0.27388685941696167,28.266717077628336,-1.1467387192689316,0.01978724129986443,0.021474703468433994,-0.05962335117684254,0.04784163042838694,0.8888888888888888,0.9247044218327054,0.8718069091124475,0.4148148148148148,270
B_clone_init,0,5,20000,0.24931645393371582,30.92595095256661,1.5124951556693418,0.014541568348576506,0.024271713158830536,0.003569782318737851,-0.07658878611167762,0.8888888888888888,0.9271242131908195,0.8631526725719724,0.5074074074074074,270
B_clone_init,0,6,24000,0.29716095328330994,23.018326360558156,-6.395129436339111,0.05818301495889516,0.030006726666661234,0.045853349358995925,0.015833080127134264,0.8666666666666667,0.6064640181747956,0.8503211694405434,0.5111111111111111,270
B_clone_init,0,7,28000,0.3188527524471283,28.73653641041641,-0.6769193864808578,0.03373612959722004,0.04956178387991891,-0.10500591463984203,-0.04426031264700326,0.8888888888888888,0.7942261395798366,0.8169573765156631,0.4074074074074074,270
B_clone_init,0,8,32000,0.33136916160583496,25.881650241426293,-3.5318055554709744,0.07926509923894427,0.05782374236784087,-0.20769186198431355,-0.04406224434634297,0.8629629629629629,0.5666600714924782,0.8388286522044707,0.42962962962962964,270
B_clone_init,0,9,36000,0.39444148540496826,22.564982642967305,-6.848473153929962,0.08141049342626798,0.050942405988316286,-0.10642444935193099,0.02356256766755296,0.8296296296296296,0.6194441348236731,0.8140504937716428,0.4666666666666667,270
B_clone_init,0,10,40000,0.445029079914093,25.204583799433532,-4.208871997463735,0.10103998847010649,0.09013496786904378,-0.2614063243007411,0.11197842988003424,0.8666666666666667,0.714345303882524,0.802168378258469,0.3296296296296296,270
B_clone_init,0,11,44000,0.4063332974910736,19.76892989125178,-9.644525905645487,0.11752830064785987,0.06814531297589486,-0.3358710673683059,0.14928725583488736,0.8740740740740741,0.7258943539801755,0.8430922938798461,0.22592592592592592,270
B_clone_init,0,12,48000,0.5024290680885315,11.153609140923155,-18.259846655974112,0.1350897378602975,0.08042829769573885,-0.27165691905365336,0.1985845288679906,0.8555555555555555,0.7423547148150746,0.8516993616175031,0.2851851851851852,270
B_clone_init,0,13,52000,0.492963045835495,27.358822603628646,-2.0546331932686215,0.08746941449966565,0.09965557106958892,-0.27257603927036006,0.04339607777731928,0.8888888888888888,0.8647507373057369,0.8630687309553798,0.23703703703703705,270
B_clone_init,0,14,56000,0.4950069487094879,33.06841914845277,3.6549633515555016,0.07105847290114095,0.09215111532069789,-0.06602278399059655,0.07068367868111577,0.8888888888888888,0.8819231503800662,0.8756898515081663,0.4185185185185185,270
B_clone_init,0,15,60000,0.5202915668487549,34.46666820284229,5.053212405945025,0.08390413208328448,0.09872654719740491,0.15233101397362747,0.1345349292978032,0.8888888888888888,0.8654919812872629,0.8825654141471118,0.6222222222222222,270
B_clone_init,0,16,64000,0.5573850870132446,36.002749695232545,6.589293898335278,0.09591684643326279,0.1332949129162768,0.14446526383512615,0.02948966226038682,0.8888888888888888,0.7917140587182511,0.8869680050391682,0.5814814814814815,270
B_clone_init,1,1,4000,0.09910788387060165,32.4680636420186,3.054607845121332,0.01916390339311987,0.012877529907729552,0.1333612402681778,-0.04500681874415773,0.8888888888888888,0.9408240273311319,0.9447960084831166,1.0,270
B_clone_init,1,2,8000,0.17089369893074036,30.59925487527594,1.1857990783786718,0.013484170486795174,0.014286696942421507,-0.05926806079955625,-0.06235840957592143,0.8851851851851852,0.9327765714766638,0.9509971480931061,0.2037037037037037,270
