group,learner_seed,timestep,actor_distance_from_clone,det_mean_objective,det_se_objective,det_mean_raw_pnl,det_mean_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_loss_rate,det_frac_near_bound,stoch_mean_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_mean_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_loss_rate,stoch_frac_near_bound,n_eval_seeds,bid_action_depth_mse,ask_action_depth_mse,mean_quoted_spread_error_signed,mean_inventory_skew_error_signed,frac_wrong_inventory_skew,corr_bid,corr_ask,frac_wider_than_analytical,n_states,log_std_init
E_reduced_log_std,0,0,2.1213202476501465,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,26.600126769783742,15.5099729525281,26.928337761473244,3.0566408832810503,74.3,3.9011244060113626,0.5867071623892716,0.3,0.027008171309154377,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,-1.5
E_reduced_log_std,0,4000,2.1065738201141357,28.32523239153061,15.664655197315673,28.691740319439482,3.0422997442469444,63.95,4.328812062638317,0.15083523194403026,0.2,0.0,21.514645659537305,15.021383527302598,21.855195320268407,3.0331897171980478,71.75,4.012078306633688,0.27291013679716314,0.2,0.02541825167502241,20,0.019384243343555076,0.015013543320848899,0.015894388023257492,-0.026250942511111864,0.8888888888888888,0.9106283639003343,0.9378673561367782,0.6666666666666666,270,-1.5
E_reduced_log_std,0,8000,2.1089677810668945,28.079762641609356,15.600452046664019,28.44767324483248,3.0589769044660753,65.3,4.207401908232575,0.7595140063769616,0.25,0.0,17.233832816773372,17.403197470152424,17.69043252402877,3.0604005324130874,72.85,4.621061870439158,0.6302722364950559,0.35,0.029156746217311118,20,0.019830034287730756,0.013109964817360861,-0.013789222822661845,0.00455661071373097,0.8888888888888888,0.8951186160677506,0.9444764111507199,0.4074074074074074,270,-1.5
E_reduced_log_std,0,16000,2.1155474185943604,29.75382690849505,14.890653349826895,30.153023767399418,3.053562513570107,63.85,4.363637308240611,1.1657459062541649,0.25,0.0,31.93109002933545,12.214846895820788,32.237772095574,3.0585081318668763,72.35,3.758085502340724,1.1826876843223095,0.25,0.021551063792008565,20,0.015182022874283805,0.02216617194799871,0.00907493511718074,0.0042369190237743415,0.8888888888888888,0.9264526469121441,0.9184082482505468,0.5851851851851851,270,-1.5
E_reduced_log_std,0,24000,2.1233103275299072,28.109555408187987,17.212865975923243,28.586793139370513,3.083352972928922,63.35,4.722746522194804,1.581675180383407,0.25,0.0,20.45118332326693,16.02855825848235,20.86614583641572,3.080458441018631,72.7,4.366335531219447,1.3707601751198695,0.25,0.02438935577095066,20,0.018944311558577114,0.030613535828447985,0.013862483109450244,0.022179245218292835,0.8740740740740741,0.9209265040045026,0.8614626718113813,0.6074074074074074,270,-1.5
E_reduced_log_std,0,32000,2.130836009979248,27.69615770103645,17.536607306360573,28.208855670749962,3.085264445291686,66.35,4.911173774190195,1.4474305185484997,0.25,0.0,18.77590284685358,20.080712569231604,19.34410083485623,3.080972503919974,76.85,4.867411984084427,1.960606253423677,0.25,0.024759444417661727,20,0.019170087223885777,0.03600947171299055,-0.046506885295945995,0.022108241130013025,0.8555555555555555,0.9262783660898769,0.8255405525498172,0.3037037037037037,270,-1.5
E_reduced_log_std,1,0,2.1213202476501465,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,26.600126769783742,15.5099729525281,26.928337761473244,3.0566408832810503,74.3,3.9011244060113626,0.5867071623892716,0.3,0.027008171309154377,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,-1.5
E_reduced_log_std,1,4000,2.1069414615631104,26.049699219144657,16.878500860678333,26.48620283301475,3.0835899341294652,63.05,4.534885278420399,1.2071884325036335,0.25,0.0,17.447406043832075,16.550800708021598,17.8347849582941,3.077386462647934,70.85,4.140524088254346,1.1167380315052797,0.2,0.0243358540229175,20,0.02048961715993225,0.01729522795448469,0.03481329778042239,0.021662648292353297,0.8888888888888888,0.9066937467051406,0.9266712220823022,0.9185185185185185,270,-1.5
E_reduced_log_std,1,8000,2.1102559566497803,27.468910772818248,15.954738817100443,27.882803360663445,3.053749022980442,63.55,4.5394103546252165,0.5214184914887687,0.2,0.0,16.84413135649631,18.086342650281985,17.315853214046843,3.054983193681794,70.95,4.657918329980772,0.3288706358518033,0.35,0.025444382248595195,20,0.02116321121698269,0.017564569558186815,0.02186530012578183,-0.013756506574286589,0.8888888888888888,0.8975496339328386,0.9270144560041158,0.8037037037037037,270,-1.5
E_reduced_log_std,1,16000,2.1211020946502686,27.00581294776635,15.53172039526262,27.405076306417175,3.0801901413431496,59.85,4.408765915659286,0.978379462245843,0.2,0.0,30.07990803491158,12.344392569676561,30.421217672420585,3.0816188272342897,67.95,3.879536064338572,1.3473707967572728,0.25,0.017158855322172033,20,0.01905772272670004,0.0251243791120086,0.09475479617998435,0.026925014929361314,0.8814814814814815,0.9112004040951504,0.9154178164218337,1.0,270,-1.5
