learner_seed,log_std_bid,log_std_ask,action_std_bid,action_std_ask,actor_clone_max_abs_diff,det_mean_objective,det_se_objective,det_mean_raw_pnl,det_mean_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_loss_rate,det_frac_near_bound,stoch_mean_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_mean_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_loss_rate,stoch_frac_near_bound,n_eval_seeds
0,0.0,0.0,1.0,1.0,4.172325134277344e-07,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-15.151419242127275,15.197857599753116,-14.59628190285539,3.034223942152244,115.6,5.087698330585336,0.44388036682182463,0.5,0.6122862921756695,20
1,0.0,0.0,1.0,1.0,4.172325134277344e-07,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,4.9083328184284944,15.13243521338631,5.3120661391761965,3.076072826027262,119.5,4.767274204604616,1.2426529454002533,0.3,0.6108995711353357,20
2,0.0,0.0,1.0,1.0,4.172325134277344e-07,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-7.2783846328477635,18.329615170285734,-6.78778925963753,3.077908318047883,118.95,4.575230415079756,1.8820397069880528,0.35,0.6063349076192812,20
