group,learner_seed,timestep,actor_distance_from_clone,det_mean_objective,det_se_objective,det_mean_raw_pnl,det_mean_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_loss_rate,det_frac_near_bound,stoch_mean_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_mean_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_loss_rate,stoch_frac_near_bound,n_eval_seeds,bid_action_depth_mse,ask_action_depth_mse,mean_quoted_spread_error_signed,mean_inventory_skew_error_signed,frac_wrong_inventory_skew,corr_bid,corr_ask,frac_wider_than_analytical,n_states,model_path,actor_clone_verify_max_abs_diff
A_random_init,0,0,13.854742050170898,20.49252877616096,11.43157852378114,20.78408056137222,3.0744128440090406,27.3,3.4392467312112616,1.217402552937548,0.1,0.0,-22.19455743418173,16.80729687279583,-21.632535665431007,3.038024561275664,84.7,5.262432844389204,-0.6645110421288145,0.55,0.5742182005120051,20,0.4629652234264239,0.4640271216022568,1.2249195264438677,0.0036656579748536667,0.4740740740740741,-0.7136985540864706,0.7259972490580887,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t000000.zip,
A_random_init,0,4000,13.85606861114502,21.569233097525323,10.056753904192316,21.813064025594976,2.9443380030589816,25.6,3.2792178944287196,-0.11626953619230677,0.3,0.0,-1.3065501221521998,12.94111550308746,-0.6711109762811738,2.9592019371160534,81.45,5.575708415609942,-3.1380235756712334,0.5,0.5758153509949321,20,0.566777033728295,0.42603900981504605,1.2823024467206585,-0.10359557026205338,0.4444444444444444,0.14360341237014587,0.56178333289615,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t004000.zip,
A_random_init,0,8000,13.864030838012695,26.086385236999696,10.97532048422593,26.356860122153638,2.945241066042371,27.55,3.5444194180679247,-0.353406096752679,0.3,0.0,-9.790693510058299,16.232815034074743,-8.85400797003874,2.9926738629045913,83.3,6.680124312183908,-1.6338590149882175,0.6,0.5510408261038988,20,0.4779105672925347,0.4157066725035326,1.2105598412661809,-0.09260389557239743,0.5333333333333333,0.8467096862795884,-0.6604833504368508,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t008000.zip,
A_random_init,0,16000,13.887604713439941,29.067151397308955,10.640182668544018,29.379923237531795,2.8788375024431314,29.95,3.7284391881924868,-1.587765113110437,0.2,0.0,6.057095994817638,13.18514542386666,6.653354937982108,2.957069795974511,87.45,5.490110191565879,-3.7120880641546123,0.4,0.5740030685137014,20,0.466517689589238,0.3760039347674327,1.1492951919408887,-0.15689409948949615,0.4703703703703704,0.858950871087986,-0.5450586364957135,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t016000.zip,
A_random_init,0,24000,13.87319278717041,27.96276039979012,11.234896512584946,28.299256726814757,2.895215380702681,29.05,3.862082928621472,-1.477264418086056,0.3,0.0,-12.820541768841505,15.576356305176585,-11.931467468278676,2.9337610427130967,86.65,6.385198289918131,-3.098285884648991,0.55,0.5727307329153757,20,0.4946004623582132,0.3749811909947765,1.1507929155873313,-0.13322098601928178,0.362962962962963,0.2702240602806433,-0.5168323294036915,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t024000.zip,
A_random_init,0,32000,13.88196086883545,30.70613459770717,12.464282555883115,31.06242934413716,2.942689011061341,32.8,4.03822404909046,-1.2484506317042476,0.15,0.0,6.040852297549958,17.41760252772803,6.864502197236773,2.998872945579449,89.4,6.6491954550342856,-1.7353345245743443,0.5,0.570467735430433,20,0.4456114363766123,0.2989055328463405,1.0273894200554774,-0.1115508852824945,0.3,-0.43607129350853024,0.15807219522960256,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t032000.zip,
A_random_init,0,48000,13.909111022949219,26.087484213809518,13.642617737509303,26.524324335557584,3.0457190846824633,34.15,4.324182702252741,-0.23328352020624096,0.25,0.0,-3.5272795935604635,20.681624118082397,-2.5976803494921987,3.0631495601821177,90.8,6.907541006051747,-0.4394253610632758,0.4,0.5640329165856854,20,0.3317878008706016,0.33507744515046106,0.92992253792127,-0.02152632379778109,0.0,0.022725434287680084,-0.12065368842809183,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t048000.zip,
A_random_init,0,64000,13.917020797729492,29.346358349101717,9.705531938887793,29.597231430578848,3.0410508691604012,23.9,3.158678894553198,0.6173977423426211,0.15,0.0,12.100059951521493,9.946066268511055,12.444797326624158,3.0501872561426504,76.15,4.1504881353126235,-0.8417820495861512,0.35,0.56725577628131,20,0.5438928352049316,0.5337143191894885,1.355005825030477,-0.04432910810488205,0.28888888888888886,0.6535626363361939,0.1911166306205479,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\A_random_init_seed0_t064000.zip,
B_clone_init,0,0,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-15.151419242127275,15.197857599753116,-14.59628190285539,3.034223942152244,115.6,5.087698330585336,0.44388036682182463,0.5,0.6122862921756695,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t000000.zip,4.172325134277344e-07
B_clone_init,0,4000,0.09999588876962662,34.25743867094512,11.800238146542396,34.49970765259626,3.032448975943658,58.0,3.5911804650944026,-0.7882528438496479,0.15,0.0,-6.386720697949298,11.426347329774798,-5.995411660711298,3.0348243032669444,110.35,4.493353505650382,-1.2095472096439253,0.6,0.5968409204710425,20,0.0208237307033975,0.010003823724857598,0.11709579562326226,-0.060723216039433855,0.8888888888888888,0.9325900108720093,0.9480371915916367,1.0,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t004000.zip,
B_clone_init,0,8000,0.1636084020137787,29.782951927089226,10.768804110688476,29.97575074795801,3.0223003058886904,64.8,3.220021709696862,0.6246980469408007,0.15,0.0,-16.322241231080817,14.596252434739599,-15.735442773284479,3.05883860095229,114.15,5.491493647120881,0.20161239871815645,0.65,0.5965986978610708,20,0.012901958013322345,0.0093226119933756,-0.007180351572373252,0.007966728992105904,0.8888888888888888,0.9327471755032748,0.9458564313499089,0.44074074074074077,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t008000.zip,
