learner_seed,det_objective_at_200k,best_det_objective_before_200k,best_det_objective_before_200k_timestep,best_det_objective_after_200k,best_det_objective_after_200k_timestep,final_det_objective_at_1m,improvement_1m_minus_200k,improvement_best_after_minus_best_before,slope_final_200k,mean_explained_variance_final_200k,mean_clip_fraction_final_200k,mean_approx_kl_final_200k,mean_value_loss_final_200k,std_value_loss_final_200k,final_log_std_bid,final_log_std_ask,final_action_saturation_rate_det,final_stoch_frac_near_bound,final_mean_fills,final_mean_abs_inventory,final_mean_signed_inventory,classification
0,43.662001239247694,44.04269986878516,144000,47.61094960691963,1000000,47.61094960691963,3.948948367671939,3.568249738134476,1.875297215821603e-05,0.47829096223793777,0.03355245095668538,0.004490529652684875,109.24509205462886,45.19431088226083,-1.95441997051239,-2.1110732555389404,0.0,0.0,41.42,4.242969701409018,2.232271854757571,A_BUDGET_LIMITED
1,42.84729696720921,44.826935831765056,192000,49.6464916676855,800000,48.785593588323245,5.938296621114034,4.819555835920447,-4.30449039681137e-06,0.43759509628894283,0.032065196041218595,0.00423074007837791,174.4164126100727,60.18842308797447,-2.0763285160064697,-2.069277048110962,0.0,0.0,38.42,4.610099118805596,1.9589404604602232,A_BUDGET_LIMITED
2,42.453200198437344,42.33467258159288,192000,46.99641862849026,400000,43.019647336312346,0.5664471378750022,4.6617460468973775,2.039772702650333e-05,0.36329206765866745,0.03381862744688983,0.0046414525896383355,178.12694022459144,75.79535201227925,-2.001718521118164,-2.058265447616577,0.0,6.557377049180328e-05,52.96,5.338129100914599,1.1900020003000829,A_BUDGET_LIMITED
3,44.355464375161446,44.25063292824348,192000,48.68643049771324,900000,45.99967313634719,1.6442087611857445,4.435797569469756,5.834945514554647e-06,0.44948196060517254,0.031560784298287396,0.0044534967290054475,129.2577636232563,47.61756107440763,-2.061269044876098,-2.0111000537872314,0.0,0.0,35.8,4.0526767080035775,-0.1528855791542341,A_BUDGET_LIMITED
4,45.32932865183561,46.148823716812416,192000,47.51976396218824,400000,46.46238346653155,1.1330548146959387,1.3709402453758273,1.0503306602922182e-05,0.3232104626356387,0.03126029410636887,0.004097726899107831,208.4084489291322,74.08159892282745,-2.0642025470733643,-2.051512718200684,0.0,0.0,44.36,5.341883760249259,-0.689454450784885,A_BUDGET_LIMITED
