learner_seed,timestep,policy_hash,wall_clock_elapsed_seconds,log_std_bid,log_std_ask,action_std_bid,action_std_ask,n_eval_seeds,det_mean_objective,det_std_objective,det_se_objective,det_mean_raw_pnl,det_loss_rate,det_mean_quoted_spread,det_median_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_terminal_abs_inventory,det_terminal_signed_inventory,det_running_penalty,det_terminal_penalty,det_frac_near_bound,stoch_mean_objective,stoch_std_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_loss_rate,stoch_mean_quoted_spread,stoch_median_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_terminal_abs_inventory,stoch_terminal_signed_inventory,stoch_running_penalty,stoch_terminal_penalty,stoch_frac_near_bound
0,16000,5b21268bd9224004a22ea65fb6c97e3b80c9e2bf612175d5d3b33dfdbe41d8c2,56.98522305488586,-1.5197045803070068,-1.49713134765625,0.2187765091657638,0.2237711548805236,50,41.94057756718819,44.90955202130951,6.351169754863595,42.099537943633415,0.08,3.12177721608439,3.1254931267298254,29.08,2.797119404018862,0.5024352293515658,4.12,1.16,0.1342003764452165,0.02476,0.0,33.88999972500308,47.40318623634153,6.703822887513183,34.0974579186443,0.12,3.1288550657606597,3.140469599745012,32.46,3.0367738944068883,0.9545387236115884,4.7,1.74,0.1726781936412122,0.03478,0.0
0,32000,db1887d196e57991ecd445f22fadc26f142d3c0a57568e7fa92d1e011459d9e9,105.84785866737366,-1.5345863103866575,-1.4934295415878296,0.2155448347330093,0.2246010601520538,50,39.9937633542481,38.4976711411242,5.444392864755715,40.14822711840527,0.08,3.127235108124174,3.130518415551143,28.6,2.7872074131744724,0.6530479264678009,4.04,1.32,0.1305437641571672,0.02392,0.0,39.855570457524216,48.755987781496046,6.895137916748862,40.12640856677326,0.1,3.1392494959196835,3.14000455958645,33.26,3.416957849512636,1.4843430480888085,5.3,2.94,0.224978109249042,0.04586,0.0
0,48000,50504449d453f590ffa4337aa7fd31acbd9d0efb163819118387d5df329dcbc9,146.7203118801117,-1.5629674196243286,-1.4986835718154907,0.2095134258270263,0.2234240770339965,50,43.0053607170584,45.80364734764724,6.477613928519716,43.18501425601178,0.08,3.1371359855192806,3.136790964975357,30.04,2.947558842052755,0.6398862653850553,4.44,1.48,0.151213538953377,0.02844,0.0,40.90321868927864,44.72613822962857,6.325231127691449,41.09750213004566,0.04,3.149358727616532,3.15114190008479,34.96,2.9754083981947854,1.2040699477632166,4.8,2.56,0.1604034407670226,0.03388,0.0
0,64000,d7b6eeaf578741b107657ddce8ed44466be8548b847b907e03081218105ad61b,188.60878014564517,-1.580245018005371,-1.5100773572921753,0.2059246301651001,0.2208928912878036,50,43.1250501918764,46.997519661148736,6.646452970269273,43.31200023352282,0.06,3.069393601223916,3.0705995843914997,30.1,2.9250848911408207,0.1934880931177362,4.5,0.34,0.1556900416464194,0.0312599999999999,0.0,38.29893623227153,43.79808738054684,6.193984917957124,38.53433829792779,0.14,3.063023818343324,3.050491821834815,34.06,3.3437742221113367,-0.3196618342856592,4.74,-0.34,0.1994220656562626,0.03598,7.06713780918728e-05
0,80000,bd46821102a1367841c1fb8a5369ebdfa11157d79db29cdd4d100e7d8e5fc9e5,229.5859944820404,-1.588238000869751,-1.5015008449554443,0.2042852491140365,0.2227955162525177,50,42.25562198195146,46.74627396185255,6.610921462726015,42.43178487607904,0.06,3.0710065035435044,3.07163760976504,30.3,2.875293668836508,0.1768827287851339,4.22,0.34,0.1482228941275817,0.0279399999999999,0.0,37.12051055397389,38.328795503726,5.420510243079421,37.33481036850087,0.14,3.0678705701124427,3.0717982179540977,34.1,3.196339294489874,-0.4098804113988925,5.02,-0.46,0.1775998145269769,0.0367,0.000152964230353
0,96000,e4b74db1707422c7b5fb319a7ee23549d2b7136c084c75c651dc1f77fc931aef,271.60638976097107,-1.6117595434188845,-1.5168132781982422,0.1995362192392349,0.2194099724292755,50,42.95798841810725,47.43142179678793,6.707815998765632,43.1513136402947,0.06,3.118813154510784,3.1190341581583656,30.08,3.0219183413609354,0.8741776473187752,4.6,1.4,0.1626052221874553,0.03072,0.0,40.15749153487167,42.70929515823641,6.040006445217349,40.411484479728216,0.12,3.123989427564608,3.1286713350990234,34.14,3.4418015329268714,1.3264874648212546,5.06,1.9,0.2139329448565476,0.04006,7.06713780918728e-05
0,112000,0224233a17a177592b33d713eed2b53d950e1daa1e91bf4cf80b8bf0f04559bf,314.8724436759949,-1.6357636451721191,-1.5241336822509766,0.1948035359382629,0.2178096622228622,50,42.94090743658879,41.09518102692705,5.811736235645773,43.08693725584722,0.08,3.033953982216452,3.0352123786412606,29.92,2.6119889733592627,0.0242130486650613,3.76,-0.24,0.1227098192584313,0.0233199999999999,0.0,40.30591598871402,47.84362882338035,6.7661108755168815,40.4900301771114,0.08,3.034254305147527,3.0282316976529406,32.92,2.985471944568812,-0.2708826220268168,4.32,-0.72,0.1553941883973867,0.02872,0.0
0,128000,56883e67335aa6c010bf1bfe70b1602c7846db64a2e9ab95675ef2b114225acd,355.8381497859955,-1.6231833696365356,-1.5226391553878784,0.1972697228193283,0.2181354463100433,50,43.949089193182445,43.93320946386004,6.213094066236888,44.125926730169446,0.04,3.0053241470234284,2.996752336218353,29.94,2.851232168330592,-0.3417763950190731,4.3,-0.78,0.1471775369870201,0.02966,0.0,41.83450407099889,43.99045420066048,6.2211896945526535,42.04093826216626,0.14,2.998602018205037,2.9954000614052454,33.74,3.366047015534674,-0.6984301922704048,5.26,-1.58,0.172334191167373,0.0341,0.0
0,144000,b0c54b254761ab4ec592366a86bb14084133272bd106721ea87dfefba65a14ae,398.1116075515747,-1.6443182229995728,-1.5336211919784546,0.1931442022323608,0.215752974152565,50,44.04269986878516,38.94909166091383,5.508233366897716,44.18775597497166,0.06,3.012181456683278,3.013786670992889,30.76,2.59233194382003,-0.3139621795045855,3.72,-0.88,0.1221761061865034,0.0228799999999999,0.0,41.56637327707495,40.8514443007769,5.777266657268776,41.75866934909606,0.06,3.007627397864371,3.008539100931177,34.18,3.1832245773855914,-1.1597864482691636,4.38,-2.26,0.1631960720211039,0.0291,0.0
0,160000,e424f557dc46420bf363a9e2a3874bcd76a641edc834cbd461b98972dd237d45,438.921555519104,-1.669993877410889,-1.5585869550704956,0.1882482171058654,0.2104332149028778,50,42.76591983495759,39.9225265014862,5.645897842260109,42.894393463413664,0.04,3.0214973067181905,3.022433344610125,31.58,2.502485800960582,-0.5035798144482524,3.38,-0.86,0.1098136284560718,0.01866,0.0,38.56040342314531,38.61195634251352,5.460555232934047,38.734909136116414,0.14,3.0231709232372204,3.028611087961944,35.08,2.965660764792338,-0.6671326037293055,4.08,-1.24,0.1497057129711057,0.0248,0.0
