n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
10,44.855867278060586,22.630233131966214,45.00935277806114,3.5,-0.001468788172213658,0.0003273966893589179,0.001376353997686761,0.0009992820026483702,0,baseline_untrained
10,41.98021552166125,19.315951064662638,42.11330252166124,3.9,-0.08573421334450831,0.003501374131636112,0.06224413207385775,0.03517413190746289,16000,timestep_16000
10,42.10890337868055,22.162310809524126,42.233177378680566,2.7,-0.10983838329841965,-0.060376127125069616,0.08204173745917138,0.07232907438476416,32000,timestep_32000
10,50.24419953505874,29.055354651346374,50.52424528505942,4.9,-0.018770674427459017,-0.09610215255463846,0.01742403244024995,0.04859791636621698,48000,timestep_48000
10,58.454695676144524,33.45186234904102,58.697865426143935,3.3,-0.04287662060102448,-0.09555110990966786,0.02586848127083647,0.1101350507038456,64000,timestep_64000
10,72.90183564130054,53.88462730055499,73.46564714130086,6.7,-0.06441397723651025,-0.18905122673665756,0.02813902495943499,0.11320724052247498,80000,timestep_80000
10,71.21417664996595,59.06810994495606,72.07956664996637,9.8,-0.00590237679455895,-0.22842551305766684,0.010653640257494414,0.09273950321211039,96000,timestep_96000
10,67.47934875248416,70.71216290794875,68.99175775248696,15.0,0.14806782142398878,-0.24588015437354332,0.028724293000536128,0.12916496620303478,112000,timestep_112000
10,60.49313171975384,40.178051847594745,61.15574371975286,9.6,0.10179284726828337,-0.16170418218795676,0.03937212387761284,0.05540916094348371,128000,timestep_128000
10,59.802979954035855,38.318123435650286,60.42592295403581,8.6,0.0530421752830036,-0.1744059776368318,0.04347054777822059,0.05897810408631067,144000,timestep_144000
10,60.43856013444686,42.182273426935396,61.122584384445986,9.7,0.07749077354902402,-0.17187630426038522,0.022573945174472462,0.07479649093148814,160000,timestep_160000
10,43.49004933172,44.4147158103969,44.49488908171943,13.8,0.23146173758232036,-0.19527212123454082,0.04827645776171867,0.06450291073722493,176000,timestep_176000
10,48.52720984878062,81.30614933753478,51.535074098780775,24.5,0.48923244739170185,-0.3096590971611207,0.08386171379117911,0.06512268286559499,192000,timestep_192000
10,52.189180859017156,84.12154635451152,55.57223260901706,25.6,0.4494170616791118,-0.3322137212200556,0.0824386351482536,0.07321473855452786,200000,final_post_training
