n_updates,num_timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,log_std_mean,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,actor_grad_norm_mean,critic_grad_norm_mean,actor_param_update_norm,critic_param_update_norm,frac_sampled_action_clipped,frac_sampled_action_near_bound,log_std_bid,log_std_ask,action_std_bid,action_std_ask,learning_rate,total_loss
10,4000,-0.0021294008267570418,49.010526428222654,0.16695864453911782,0.0036727290134876966,0.025374999903142452,0.003063976764678955,0.2219400256872177,2.389352560043335,6.841020584106445,-40.75056457519531,39.81977462768555,2.4763247966766357,6.85152530670166,0.6078403774393439,3.7298931046526973,0.11522920429706573,1.4629791975021362,0.0,0.0,-1.5043936967849731,-1.5063034296035767,0.22215193510055542,0.2217281013727188,0.0003,26.2272891998291
20,8000,-0.0008761287968314723,68.77132953643799,0.1743845036625862,0.0024060860741883516,0.009824999957345426,0.017814338207244873,0.22170281410217285,1.5324931144714355,8.306156158447266,-50.8411750793457,48.72303771972656,3.5866196155548096,8.381143569946289,0.6622930303192643,3.552427861696099,0.08639538288116455,1.4697203636169434,0.0,0.0,-1.5112096071243286,-1.501648187637329,0.22064293920993805,0.22276270389556885,0.0003,35.515899658203125
30,12000,-0.0019957055874787245,97.20570377349854,0.17193600699305533,0.004598633851855993,0.020374999777413905,0.052948951721191406,0.2223021388053894,2.1076323986053467,9.83724308013916,-84.05552673339844,77.01567077636719,5.810522556304932,10.108499526977539,0.7039389729935861,6.7438319453095845,0.07885316759347916,1.0461331605911255,0.0,0.0,-1.513800859451294,-1.4937355518341064,0.2200719118118286,0.2245323359966278,0.0003,56.30214309692383
40,16000,-0.001619560078144282,40.96461627960205,0.17267272531986236,0.002434726804494858,0.011799999899230897,0.09108036756515503,0.22127383947372437,1.8879177570343018,6.3595476150512695,-28.913986206054688,36.43610763549805,8.07362174987793,6.670578479766846,0.6635479844517058,5.000275327579529,0.1193619817495346,1.0176070928573608,0.0,0.0,-1.5197045803070068,-1.49713134765625,0.21877650916576385,0.22377115488052368,0.0003,22.51494598388672
50,20000,-0.002182896981129492,85.92873428344727,0.18126271814107894,0.004755258094519377,0.016725000026635826,0.05165815353393555,0.22055698931217194,3.440683126449585,9.093932151794434,-40.4583854675293,74.67156219482422,11.119077682495117,9.33833122253418,0.6523877457849829,11.863528411989329,0.10465392470359802,1.0162173509597778,0.0,0.0,-1.5281893014907837,-1.4952797889709473,0.21692809462547302,0.22418586909770966,0.0003,40.912635803222656
60,24000,-0.00116546003589574,83.11886627197265,0.18624121084809303,0.0028994958847761154,0.009974999949336052,0.048088133335113525,0.22058111429214478,2.812412738800049,9.018233299255371,-32.17687225341797,69.73594665527344,13.787605285644531,9.243215560913086,0.6265668648537264,11.27457809177019,0.062233779579401016,0.8953164219856262,0.0,0.0,-1.530112862586975,-1.4932072162628174,0.21651124954223633,0.22465099394321442,0.0003,49.04542922973633
70,28000,-0.002236847125087662,190.74839637756347,0.18475681245326997,0.002092077862471342,0.0071499999705702064,0.0774914026260376,0.22080928087234497,-1.4453102350234985,14.275835037231445,-104.84488677978516,29.814102172851562,12.451865196228027,14.863336563110352,0.6707276430307058,22.454261140355843,0.07741568237543106,1.4902836084365845,0.0,0.0,-1.5301319360733032,-1.4911595582962036,0.21650710701942444,0.2251114696264267,0.0003,93.45877838134766
80,32000,-0.002101048892283872,68.12303871154785,0.1861900022625923,0.0037573568988591433,0.018474999950267374,0.3088833689689636,0.22007295489311218,0.2738938629627228,8.435559272766113,-45.80239486694336,36.685142517089844,10.922773361206055,10.147013664245605,0.6994733886661443,7.949374328795923,0.0649547278881073,0.9072455763816833,0.0,0.0,-1.5345863103866577,-1.4934295415878296,0.21554483473300934,0.22460106015205383,0.0003,34.112117767333984
90,36000,-0.0025183315096801453,105.17818466186523,0.19525369957089425,0.004004151560366154,0.02392499999143183,0.26863527297973633,0.2189379334449768,0.9243243336677551,10.268758773803711,-70.00898742675781,49.46649169921875,11.764273643493652,12.007453918457031,0.6740181709748267,7.85504830830128,0.09422039985656738,0.5877107977867126,0.0,0.0,-1.544490933418274,-1.4940783977508545,0.21342048048973083,0.22445537149906158,0.0003,60.6221809387207
100,40000,-0.0009355409363517531,48.8794853591919,0.20488836601376534,0.00266668270342052,0.0126999999769032,0.42963504791259766,0.21792921423912048,0.36058104038238525,7.0223188400268555,-35.45051956176758,34.27760696411133,13.33112907409668,9.298312187194824,0.6035710341938567,4.454609146561652,0.09123369306325912,0.4368259906768799,0.0,0.0,-1.5551137924194336,-1.4930198192596436,0.21116536855697632,0.22469308972358704,0.0003,18.448925018310547
