Policy,Number of seeds,Mean objective,Cross-seed SD,Mean fills,Mean quoted spread,Mean absolute inventory
Hamilton Ppo (5-Seed Aggregate),5.0,35.35418489629323,1.3106679433054196,37.1852,2.699023800125695,4.070744148655658
Oracle,,43.728964752423735,,63.698,2.0574990903001806,3.199248528732169
Belief-weighted policy,,43.6656539217792,,63.66,2.057634990370749,3.205639458303789
Frozen supervised clone,,43.69749492961025,,63.624,2.0584371801300256,3.1935629149566265
