agent_type,environment_type,learner_seed,run_tag,status,total_transitions,completed_episodes_expected,completed_episodes_is_exact,total_simulated_market_time_expected,n_ppo_updates,total_observed_arrivals_expected,train_elapsed_seconds,total_elapsed_seconds,n_candidate_checkpoints,candidate_timesteps,selected_checkpoint_timestep,selected_validation_mean_objective,selected_validation_std_objective,validation_seed_start,validation_seed_count,hash_verified,save_reload_equivalence_ok,improvement_over_baseline
return_mlp_ppo,event,2,phase3_event_env70000_learner_2,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,115.7812340259552,118.79621386528015,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",96000,29.980276999976017,39.78715900055312,195001,50,True,True,-15.007831984201239
return_mlp_ppo,fixed,3,offlinecv_env70000_learner_3,OK,200000,50.0,True,50.0,5000,14000.0,325.1344780921936,377.7708697319031,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",32000,43.277714709710665,32.463826100375655,91001,50,True,True,-23.88043075188467
return_mlp_ppo,event,3,phase3_event_env70000_learner_3,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,121.21643900871277,126.00787734985352,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",16000,27.765993046180647,30.566171865542643,195001,50,True,True,-30.78155041085901
return_mlp_ppo,fixed,4,offlinecv_env70000_learner_4,OK,200000,50.0,True,50.0,5000,14000.0,457.60825300216675,537.6460134983063,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",64000,45.948672410886594,54.10070373522023,91001,50,True,True,-21.41179744208146
return_mlp_ppo,event,4,phase3_event_env70000_learner_4,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,129.29793858528137,132.6335597038269,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",80000,26.27184863649895,40.970071253462244,195001,50,True,True,-34.28012194730575
return_lstm_ppo,fixed,0,offlinecv_env70000_learner_0,OK,200000,50.0,True,50.0,5000,14000.0,976.4842693805695,1126.9339272975922,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",160000,93.28624602226417,374.6004452840697,91001,50,True,True,-39.18225473243614
return_lstm_ppo,event,0,phase3_event_env70000_learner_0,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,2706.489147424698,2719.3460075855255,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",32000,26.418031757068466,27.75532716179087,195001,50,True,True,8.135930128115099
return_lstm_ppo,fixed,1,offlinecv_env70000_learner_1,OK,200000,50.0,True,50.0,5000,14000.0,993.2388405799866,1109.5410261154175,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",48000,57.22653161810889,73.86542240573065,91001,50,True,True,-9.356529349908435
return_lstm_ppo,event,1,phase3_event_env70000_learner_1,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,2419.227800130844,2428.037729024887,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",200000,25.3345351147733,57.460067717522925,195001,50,True,True,18.737374552753355
return_lstm_ppo,fixed,2,offlinecv_env70000_learner_2,OK,200000,50.0,True,50.0,5000,14000.0,995.8075768947601,1122.603982925415,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",16000,36.92843774408058,33.92459603790591,91001,50,True,True,3.5475532127987535
return_lstm_ppo,event,2,phase3_event_env70000_learner_2,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,2241.608197450638,2246.8795380592346,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",112000,28.11711458988663,36.393041819217004,195001,50,True,True,9.946379269369327
return_lstm_ppo,fixed,3,offlinecv_env70000_learner_3,OK,200000,50.0,True,50.0,5000,14000.0,980.3025028705597,1093.5454206466675,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",80000,51.5905286658381,35.45527028962294,91001,50,True,True,-23.408446240002498
return_lstm_ppo,event,3,phase3_event_env70000_learner_3,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,2207.5870587825775,2212.8384573459625,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",200000,27.67654284926526,39.09758214853675,195001,50,True,True,0.5885223859106254
return_lstm_ppo,fixed,4,offlinecv_env70000_learner_4,OK,200000,50.0,True,50.0,5000,14000.0,995.8995432853699,1111.4765634536743,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",112000,62.58682900360291,67.7896992800601,91001,50,True,True,24.537827152831362
return_lstm_ppo,event,4,phase3_event_env70000_learner_4,OK,200000,714.2857142857143,False,714.2857142857143,5000,199285.7142857143,2101.38888835907,2106.3503065109253,13,"[16000, 32000, 48000, 64000, 80000, 96000, 112000, 128000, 144000, 160000, 176000, 192000, 200000]",32000,26.341820927758818,28.927658979778162,195001,50,True,True,-14.028838012551736
