environment_type,agent_type,n_seeds,seed_mean_0,seed_mean_1,seed_mean_2,seed_mean_3,seed_mean_4,across_seed_mean,across_seed_std,across_seed_se,min_seed_result,max_seed_result,selected_checkpoint_timesteps,mean_selected_validation_objective,mean_holdout_objective,mean_validation_to_holdout_diff,std_validation_to_holdout_diff
fixed,hamilton_ppo,5,34.39470350247385,34.56641403329345,32.84184148934884,24.12418385116046,30.31838680413729,31.249105936082778,4.332057144790619,1.9373548516330947,24.12418385116046,34.56641403329345,"[16000, 144000, 176000, 176000, 16000]",48.257244857735245,31.249105936082778,17.008138921652478,14.665171898827992
fixed,return_mlp_ppo,5,19.33172055134773,34.472242497107345,32.01855136695597,31.761195281533436,29.63908780516288,29.44455950042147,5.90713942314143,2.6417530605426265,19.33172055134773,34.472242497107345,"[160000, 96000, 128000, 32000, 64000]",54.517900152708386,29.44455950042147,25.07334065228692,29.62853862986157
fixed,return_lstm_ppo,5,-11.651782637098384,33.309137969996954,30.67143019094327,34.8248182458495,36.57443116650161,24.745606987238588,20.46173866060535,9.150767716589812,-11.651782637098384,36.57443116650161,"[160000, 48000, 16000, 80000, 112000]",60.32371461077893,24.745606987238588,35.57810762354035,39.53450043352454
event,hamilton_ppo,5,34.1541027561894,35.8626221782569,32.4027655268463,33.81495992551094,34.996478527432515,34.24618578284721,1.3008111975850623,0.5817404527386218,32.4027655268463,35.8626221782569,"[128000, 32000, 16000, 16000, 80000]",28.86733642881028,34.24618578284721,-5.37884935403693,1.886275198613656
event,return_mlp_ppo,5,33.391061251777415,28.808186739320362,22.008535510606794,35.43004918360793,24.98407666523147,28.924381870108796,5.6045376521349635,2.5064254345261694,22.008535510606794,35.43004918360793,"[16000, 96000, 96000, 16000, 80000]",27.207569548020086,28.924381870108796,-1.7168123220887062,6.348896806031084
event,return_lstm_ppo,5,30.42599796801289,24.069233293738776,31.901465202763895,40.50012975237019,29.432979275711997,31.26596109851955,5.948360860643194,2.660187847819467,24.069233293738776,40.50012975237019,"[32000, 200000, 112000, 200000, 32000]",26.77760904775049,31.26596109851955,-4.4883520507690555,5.129795603700041
