policy,environment_type,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,recurrent_state_reset_verified
analytical_belief_weighted,fixed,225001.0,67.11529295865455,67.01388045865455,64.05373621476235,25.25614145929379,0.10141249999999646,0.0,2.56025,8.0,-2.37975,0.0,0.0,62.0,-0.3108855312856913,-0.2761303095317688,0.09880698636241773,0.10858157319017546,2.169010841046961,4000,2.8421709430404007e-13,
analytical_belief_weighted,fixed,225002.0,-1.6062292647166032,-2.016761764716602,53.14381327628111,18.226253953637066,0.31053249999999843,0.1,4.44325,12.0,-4.44325,-10.0,10.0,50.0,-0.3218706891190424,-0.28143382803878086,0.1087351758401845,0.11885230353333949,2.1440067988296776,4000,2.7000623958883807e-13,
analytical_belief_weighted,fixed,225003.0,11.351329667709763,11.301852167709763,52.671983356840286,23.37399586378466,0.04047750000000019,0.009000000000000001,1.65625,4.0,-0.57625,3.0,3.0,49.0,-0.28460538352618625,-0.2709577597306269,0.08762922933138438,0.09245493440921268,2.217292516072025,4000,1.2967404927621828e-13,
analytical_belief_weighted,fixed,225004.0,21.761403201238238,21.312463201238238,59.22384807470866,18.630614237714923,0.4449399999999982,0.004,6.1275,10.0,6.1275,2.0,2.0,60.0,-0.29517247935633967,-0.3657482355681778,0.13082821894903895,0.13217237744677002,2.0555626667679534,4000,6.359357485052897e-13,
analytical_belief_weighted,fixed,225005.0,76.77229989639437,76.68730239639437,66.16783651122302,9.507179374303751,0.06899750000000177,0.016,2.19775,6.0,1.26025,4.0,4.0,76.0,-0.37888880027538346,-0.3929933858263244,0.14570029305499405,0.15011677166009937,1.8852305138150953,4000,7.815970093361102e-13,
analytical_belief_weighted,fixed,225006.0,25.249028193246986,25.158778193246988,45.186309095971836,15.488434903071983,0.09024999999999772,0.0,2.3855,6.0,-1.4405,0.0,0.0,44.0,-0.30246865466484957,-0.2787857872984616,0.09626284198565392,0.11190097800346552,2.177854915124532,4000,8.171241461241152e-14,
analytical_belief_weighted,fixed,225007.0,33.322133108377784,33.147503108377784,61.08987300101588,14.277542213080753,0.11062999999999774,0.064,2.8005,8.0,2.7935,8.0,8.0,68.0,-0.35265429980802865,-0.3811587946131023,0.1432034912255224,0.14368404354705863,1.943668729153442,4000,6.465938895416912e-13,
analytical_belief_weighted,fixed,225008.0,68.1282513796126,68.0075913796126,62.52044082698775,17.02674521807324,0.08465999999999925,0.036000000000000004,2.24,9.0,-1.219,-6.0,6.0,74.0,-0.3996594663265725,-0.3897573094466911,0.14790753060249742,0.15414207883574582,1.8583139239554343,4000,2.7569058147491887e-12,
analytical_belief_weighted,fixed,225009.0,-2.244539237440904,-2.469011737440905,60.666920698340604,18.19698685684243,0.16047250000000096,0.064,3.49675,9.0,-3.41075,-8.0,8.0,64.0,-0.3686195361472972,-0.33415009928900596,0.13639009120255827,0.1438468953283595,1.9913221997490664,4000,3.3084646133829665e-13,
analytical_belief_weighted,fixed,225010.0,31.616867051420513,31.55628955142051,51.55556678894968,7.802899297426621,0.0515775000000042,0.009000000000000001,1.80125,6.0,1.20375,3.0,3.0,61.0,-0.35619010849527977,-0.3740613386662399,0.15080189018087786,0.1379374048354153,1.9491360597444314,4000,4.369837824924616e-13,
analytical_belief_weighted,fixed,225011.0,57.329318413226815,57.245975913226815,60.885428475986366,19.482511202370503,0.06734250000000101,0.016,2.15425,6.0,1.64025,4.0,4.0,58.0,-0.2917755724018111,-0.3109741374149303,0.11419440485292516,0.10946762679652675,2.144858459571717,4000,1.3784529073745944e-12,
analytical_belief_weighted,fixed,225012.0,55.2539094906943,55.2082119906943,51.63875855541153,19.716815132272274,0.029697500000000127,0.016,1.26275,5.0,-0.10375,-4.0,4.0,54.0,-0.3245643857191714,-0.3284911652422204,0.13517419222625046,0.13112362010962283,2.067636139631585,4000,8.597567102697212e-13,
analytical_belief_weighted,fixed,225013.0,28.227266566302205,28.11661656630221,64.12324489477325,19.271739529541335,0.09464999999999733,0.016,2.475,8.0,-2.0325,-4.0,4.0,68.0,-0.36495966086452053,-0.34515237723927256,0.14884762456429634,0.13537252270170996,1.9800511951297852,4000,6.110667527536862e-13,
analytical_belief_weighted,fixed,225014.0,66.72739167478551,66.3882616747855,55.585851568183074,28.056518523023414,0.30313000000000623,0.036000000000000004,4.8165,10.0,4.716,6.0,6.0,52.0,-0.2472171550753978,-0.2991072873751702,0.0835970837248711,0.07478330731364742,2.2314744459087534,4000,4.263256414560601e-13,
analytical_belief_weighted,fixed,225015.0,30.96230781945033,30.82663281945033,61.504622624905586,26.72712232671718,0.1316749999999963,0.004,3.2975,6.0,-3.2975,-2.0,2.0,54.0,-0.27317318525423384,-0.23024955684765772,0.028264157517645543,0.029662623850231138,2.2973309897000598,4000,8.917311333789257e-13,
analytical_belief_weighted,fixed,225016.0,64.26136987405766,64.19707737405766,50.5991333328855,18.376838349135465,0.06329250000000328,0.001,1.91575,6.0,-0.56575,1.0,1.0,53.0,-0.32351457977302783,-0.3107658587518257,0.1215988196457127,0.12868868658804966,2.096457002308692,4000,5.542233338928781e-13,
analytical_belief_weighted,fixed,225017.0,18.117074731673384,17.947644731673385,52.09820564846823,16.446916008906104,0.16842999999999805,0.001,3.7325,8.0,3.7325,1.0,1.0,51.0,-0.2765183044627793,-0.31901826827643104,0.11070164892717571,0.10262215825083901,2.1559310341773474,4000,1.3500311979441904e-13,
analytical_belief_weighted,fixed,225018.0,34.00784187607837,33.83857187607837,43.80981820944918,12.130094648683851,0.16027000000000424,0.009000000000000001,3.462,7.0,-3.3335,-3.0,3.0,51.0,-0.3803567643755884,-0.3472163308434333,0.14354241926906777,0.1483395224014317,1.9532474819154895,4000,3.765876499528531e-13,
analytical_belief_weighted,fixed,225019.0,91.11192387429259,91.07824637429258,57.99855360921962,28.490964353186584,0.0296774999999996,0.004,1.45725,4.0,0.95425,2.0,2.0,60.0,-0.3265267467769727,-0.3373362695933621,0.1307698698960708,0.12879784316623835,2.0510460671357973,4000,7.531752999057062e-13,
analytical_belief_weighted,fixed,225020.0,79.100855956435,78.846420956435,70.41794231144216,12.257523791037777,0.25443500000000263,0.0,4.425,10.0,4.424,0.0,0.0,80.0,-0.351563196593024,-0.3992283416121589,0.13997026171706073,0.14969408888052582,1.917605854780512,4000,8.952838470577262e-13,
analytical_belief_weighted,fixed,225021.0,61.51083754961893,61.39117754961893,68.04304948720576,20.109667866731908,0.11965999999999904,0.0,2.7745,7.0,2.4195,0.0,0.0,70.0,-0.3141668877229749,-0.34606172261937346,0.12282233865283569,0.13992719567945533,2.0566250865637503,4000,2.0961010704922955e-12,
analytical_belief_weighted,fixed,225022.0,41.454200656171395,41.360498156171396,56.31583170875545,17.336391538757436,0.07770249999999919,0.016,2.49175,6.0,-2.32525,4.0,4.0,60.0,-0.34686976160162863,-0.3174685438962539,0.12837758154909487,0.1347387635306479,2.0503164713624953,4000,3.268496584496461e-13,
analytical_belief_weighted,fixed,225023.0,35.75342289408792,35.63000039408792,63.80095699508254,17.91126116567019,0.10742249999999881,0.016,2.86275,6.0,-2.80175,-4.0,4.0,70.0,-0.3826784219729011,-0.3522672785434867,0.14653462449000865,0.14329957789403713,1.9419301145459935,4000,1.0658141036401503e-12,
analytical_belief_weighted,fixed,225024.0,-9.402619174021538,-9.671839174021535,44.35346003147922,16.020994046293403,0.24421999999999647,0.025,4.2285,9.0,4.1565,5.0,5.0,47.0,-0.3308589659998575,-0.37109038657351956,0.14526049743751993,0.13811441738861804,1.9925813804772077,4000,6.519229600598919e-13,
analytical_belief_weighted,fixed,225025.0,91.46585389737504,91.22901139737505,61.183797832647194,25.424663761575236,0.17284249999999765,0.064,3.06475,9.0,-2.74075,-8.0,8.0,54.0,-0.2732597824566408,-0.2509823171971478,0.05830885681992201,0.058764901935351506,2.265372094803586,4000,1.5063505998114124e-12,
analytical_belief_weighted,fixed,225026.0,48.05772043132447,47.98504543132447,65.70203273350955,22.750903542525766,0.06867500000000018,0.004,2.1845,5.0,1.937,-2.0,2.0,68.0,-0.29513938900435766,-0.3219717639578787,0.11703707980894892,0.11463931153085188,2.122812829637918,4000,7.815970093361102e-13,
analytical_belief_weighted,fixed,225027.0,58.14216609584662,58.01781859584662,53.60538297901702,17.439186384531904,0.07534750000000173,0.049,2.21225,7.0,0.81225,7.0,7.0,57.0,-0.32106327742877644,-0.3216982981968657,0.12604484793994916,0.13171339222122233,2.083437975735415,4000,2.0392576516314875e-12,
analytical_belief_weighted,fixed,225028.0,111.69195548468224,111.10924548468226,64.62864707069303,18.32322058167187,0.501709999999977,0.081,6.5435,11.0,6.5435,9.0,9.0,69.0,-0.3072965462848848,-0.3758491472342243,0.13753958708711939,0.13731732744843195,2.021446063831941,4000,2.7853275241795927e-12,
