policy,bid_action_mse,ask_action_mse,mean_abs_action_error,max_abs_action_error,mean_quoted_spread_error_signed,mean_quoted_spread_error_abs,mean_inventory_skew_error_signed,mean_inventory_skew_error_abs,corr_bid,corr_ask,frac_near_action_bound,frac_wider_than_analytical,frac_wrong_inventory_skew,zero_inventory_asymmetry,sensitivity_dq_bid,sensitivity_dq_ask,sensitivity_dtau_bid,sensitivity_dtau_ask,sensitivity_dbelief_bid,sensitivity_dbelief_ask,frac_ask_monotonicity_violations,frac_bid_monotonicity_violations
fixed_seed0,0.2088115883326078,0.1495599388860471,0.38379626967879193,0.7892984026182096,1.1564867824762877,1.1564867824762877,-0.163422007965734,0.41935390439718867,0.6105093130976147,-0.46477947939539027,0.0,1.0,0.5143939393939394,0.17099791594183616,0.00043517927980536166,0.0019214352377785377,0.11325244419035374,0.24779326508511113,0.1385226068059533,0.012224471414543414,1.0,0.0017316017316017316
fixed_seed1,0.10448015218443057,0.27430001731301357,0.3726707468611207,0.8619596744540032,1.0558041708679433,1.0558041708679433,0.4994359384624369,0.6712809819001846,0.697917033441888,0.7843648201368116,0.0,1.0,0.13170995670995672,0.5657333265642611,0.013560378232637199,0.009309241604138697,0.9325248575630083,0.1311826537581926,0.3438761866891166,0.17875502946118949,0.0,0.0
fixed_seed2,0.0681580678024346,0.41428705880238775,0.4050398306480263,1.0317186714136422,1.198576183484343,1.198576183484343,0.6599558303175493,0.752622329764742,0.6020000159466949,0.7239180774060603,0.0,1.0,0.17824675324675324,0.7413576650619326,0.0099557130620307,0.013283018854317635,0.40759440271310227,0.3838378139829193,0.14500017092613993,0.11238150462789798,0.0,0.0
fixed_seed3,0.10337492251136643,0.7720372179167656,0.5315333309897999,1.563515585886974,1.4450728909813286,1.4450728909813286,0.9887872370912394,1.0883229666371628,-0.6367225837466348,-0.5453300698322244,0.0,1.0,0.5581168831168831,1.0433696850218008,0.005213315653965577,0.010121270852046288,0.3833028796312291,0.5314325057238551,0.061292186034236806,0.20343421182319915,1.0,1.0
fixed_seed4,0.2370652625323581,0.38817427384150577,0.5252797279798422,1.1339445533628651,1.6126683617311364,1.6126683617311364,0.1641453025062321,0.3959206447373295,0.871523253495337,-0.3704543356620597,0.0,1.0,0.5114718614718615,0.17195586185064765,0.0027244567167224536,0.003461871855496487,0.03111858100003606,0.27795766256807375,0.13223663637984684,0.16365539455841824,1.0,0.0
event_seed0,0.3337505782905995,0.3978934590309136,0.504853430824305,1.0851482792324887,1.4967989327918187,1.4967989327918187,-0.07367545003433228,0.9792600706704893,-0.5059792730878141,-0.5053343393811788,0.0,1.0,0.9906926406926407,0.12621191345635882,0.00559265961680965,0.013156125488373773,0.13354316080898565,0.14032597158627147,0.20805477419274682,0.5177012240175458,1.0,1.0
event_seed1,0.13670873494292823,0.1776744946731833,0.36143597498213037,0.8003504584009835,1.107977157935352,1.107977157935352,0.08363789808760701,0.19889453609612434,0.7587135683843129,0.6560969474176946,0.0,1.0,0.016774891774891776,0.10126890055475843,0.010459922027539916,0.0005093015773217635,0.2727475881780108,0.04619277058012883,0.15329466704366987,0.01474792445885198,0.0,0.0
event_seed2,0.15328377395576068,0.22746942074668725,0.40840937360833357,0.869078359606404,1.2533129870658681,1.2533129870658681,0.13703035424991056,0.2543279228971873,0.5498890446520733,0.7961259601261317,0.0,1.0,0.15876623376623378,0.1433839910583311,0.0041205915510217715,0.0010700191007703946,0.02702611647724562,0.07691144963796392,0.13251786734725224,0.07732267784748624,0.0,0.0
event_seed3,0.24056153475019523,0.18218681140162288,0.427965045552324,0.9552174555535504,1.3130694269159788,1.3130694269159788,-0.05363475269569121,0.2759880183263047,-0.5940474244769716,0.7517307279261696,0.0,1.0,0.0633116883116883,0.05542337610138394,0.001943249819853035,0.0045320339195653505,0.0892160548405665,0.019310708926138842,0.028269311024427424,0.03224782557794614,0.0,1.0
event_seed4,0.510444181693605,0.2850049794574775,0.5338680976437403,1.0964873728660824,1.5989778597333573,1.5989778597333573,-0.33271414970303076,0.382090075086448,0.7926889633146663,-0.35175034574684505,0.0,1.0,0.22738095238095238,0.3727718373273006,0.019763796503527383,0.008919266890420252,0.39122940537408835,0.3258922615211428,0.4706609691485248,0.5966791480903355,1.0,0.0
