policy,environment_type,n,mean_full_objective,se_full_objective,mean_raw_pnl,mean_fills,mean_quoted_spread,mean_abs_inventory,mean_signed_inventory,mean_terminal_abs_inventory,mean_running_penalty,mean_terminal_penalty,mean_adverse_selection_loss
analytical_belief_weighted,event,50,35.093540027091,6.412631256669649,35.311847450409005,64.06,2.046028089336738,3.305548874366794,-0.23328844087709655,4.94,0.18304742331800572,0.03526,17.22196442469931
analytical_belief_weighted,fixed,50,48.986775910738,4.7533690241642175,49.15646961073799,60.82,2.0615600196730592,2.91015,0.46303,4.22,0.14311369999999887,0.026580000000000003,17.941895784866865
hamilton_ppo_event_seed0,event,50,29.413543254931998,6.2337622733671125,29.782245170483993,23.14,3.4513788057070385,3.82295738637385,-1.5081969083361855,7.82,0.27772191555199793,0.09098,7.016479645652332
hamilton_ppo_event_seed1,event,50,31.74693443907009,3.729187619913525,31.844516764579144,30.16,3.005098492400084,2.1480164191633997,0.7756836358505358,2.8,0.08378232550905357,0.013800000000000002,10.77942641586235
hamilton_ppo_event_seed2,event,50,33.47860555879797,5.105737402992159,33.6369150161872,27.98,3.104911667198649,2.6674380351697295,1.7070151561847815,3.98,0.13208945738923428,0.026220000000000004,10.347026201455629
hamilton_ppo_event_seed3,event,50,28.94372284065785,4.357047864540221,29.096896649773115,25.9,3.1951285083759933,2.687336830001659,-1.0416468907694645,4.1,0.12591380911527006,0.02726,9.512846833588974
hamilton_ppo_event_seed4,event,50,28.95113001985533,7.732957394984811,29.188911589823743,25.82,3.361653479570646,3.434486765977791,-3.160412915612611,4.46,0.2090815699684079,0.0287,7.090561270857171
hamilton_ppo_fixed_seed0,fixed,50,36.83145942701015,5.507714391295374,37.02273297701014,28.36,2.8643014840626444,3.046065,-2.022825,4.56,0.15911354999999863,0.03216,10.23482619959435
hamilton_ppo_fixed_seed1,fixed,50,39.266420750129924,8.095479962279144,39.64087310012993,29.5,3.148024146034725,5.166205,5.148885,4.82,0.3443123499999986,0.030140000000000004,9.9167856295665
hamilton_ppo_fixed_seed2,fixed,50,42.11025628866257,9.274015496117856,42.65399763866256,31.22,3.344296741370944,6.144065,6.126665,7.14,0.4836413499999928,0.06010000000000001,11.749408390919243
hamilton_ppo_fixed_seed3,fixed,50,43.85934894444749,23.54268761169445,48.289881094447445,35.42,4.59325513778195,15.987305,15.979375,29.86,3.514872149999958,0.91566,13.2734740179807
hamilton_ppo_fixed_seed4,fixed,50,33.388948472887485,3.9061386523392048,33.51656537288748,18.24,3.252703167714775,2.41135,1.68765,3.96,0.10469689999999934,0.022920000000000003,6.676354917360926
supervised_clone,event,50,35.51133569718174,6.201151589215664,35.7263465752096,64.06,2.0468554263581082,3.278580627976419,-0.21797288154529285,4.94,0.17963087802785452,0.03538,17.239763881448965
supervised_clone,fixed,50,48.624586119852076,4.761964910150143,48.79260871985207,60.84,3.0619685380016763,2.9066199999999998,0.42075,4.16,0.14218259999999924,0.025840000000000002,17.922107159888125
