policy,mean_p_fill_bid,mean_p_fill_ask,mean_p_fill_total,mean_fill_imbalance,mean_quoted_spread,p_fill_total_ratio_vs_analytical,spread_ratio_vs_analytical
analytical,0.2716618371886624,0.2716618371886624,0.5433236743773248,-1.0362550456853958e-17,1.8419229975081999,,
event_seed0,0.08115966962391707,0.1103884011564046,0.19154807078032168,-0.029228731532487524,3.338721930300019,0.35254872889506433,1.8126283969616137
event_seed1,0.1354968403808251,0.10284221391686076,0.23833905429768587,0.03265462646396435,2.9499001554435518,0.43866863443937715,1.6015328324985634
event_seed2,0.11144787622091609,0.08879041023893412,0.2002382864598502,0.022657465981981973,3.0952359845740687,0.36854327522048985,1.6804372325886492
event_seed3,0.09068207789417583,0.10045298942341913,0.19113506731759497,-0.009770911529243292,3.154992424424179,0.35178858630933946,1.712879652782626
event_seed4,0.09753989628837566,0.11232610320328144,0.2098659994916571,-0.014786206914905802,3.4409008572415574,0.3862633074698497,1.8681024461372682
fixed_seed0,0.09365994737596438,0.1206178959173831,0.21427784329334745,-0.026957948541418718,2.9984097799844878,0.3943834097399128,1.627869234512416
fixed_seed1,0.2257150573227535,0.08812582480982308,0.31384088213257655,0.1375892325129304,2.8977271683761434,0.5776315241412099,1.5732075511822492
fixed_seed2,0.19351724066768844,0.07946810275571636,0.2729853434234048,0.11404913791197206,3.040499180992543,0.502435944349856,1.6507200274418676
fixed_seed3,0.18774674998616736,0.048094115514280104,0.23584086550044742,0.13965263447188722,3.286995888489529,0.4340706592083116,1.7845457670794385
fixed_seed4,0.08577515695281877,0.06808360313583034,0.15385876008864913,0.01769155381698843,3.4545913592393362,0.28318066622990196,1.8755351683608896
